Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,1500,0,16,16,16,,134.88744992100692,None,1500,136.90693241100234,None,None,136.90693241100234,None,1.55,17,138.42307130999689,None,None,0,138.42307130999689,None,You did not win $5.00!,9.8,1,14,0.45,41.17647058823529,0.35007244514417835,"[0, 0]",100.0,12,3,,,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
SmallPun,3500,0,17,17,17,,140.38766999400104,None,3500,142.4076284860057,None,None,142.4076284860057,None,1.55,18,145.9078867950011,None,1,1,145.9078867950011,None,You did not lose $0.20!,9.8,5,15,0.43,44.44444444444444,0.35068531087563315,[],66.66666666666666,15,3,Adjusting RT...,0.3549753709958168,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
LgPun,1500,0,18,18,18,,147.88782277400605,None,1500,149.8952179390035,None,None,149.8952179390035,None,1.57,19,151.40867450399674,None,None,0,151.40867450399674,None,You lost $5.00!,4.800000000000001,4,16,0.43,42.10526315789473,0.35068531087563315,[0],66.66666666666666,15,3,,,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
LgPun,3500,0,19,19,19,,153.34688081100467,None,3500,155.35951733200636,None,None,155.35951733200636,None,1.57,20,158.86457131399948,None,None,0,158.86457131399948,None,You lost $5.00!,-0.1999999999999993,4,17,0.43,40.0,0.35068531087563315,"[0, 0]",66.66666666666666,15,3,,,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
SmallReward,2500,0,20,20,20,,160.80528173600032,None,2500,162.81413694500225,None,None,162.81413694500225,None,1.57,21,165.33423083300295,None,None,0,165.33423083300295,None,You did not win $0.20!,-0.1999999999999993,2,18,0.48,38.095238095238095,0.35068531087563315,[],16.666666666666664,18,3,Adjusting RT...,,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
LgPun,2000,0,21,21,21,,167.26434937100566,None,2000,169.27680980799778,None,None,169.27680980799778,None,1.52,22,171.2813888679957,None,None,0,171.2813888679957,None,You lost $5.00!,-5.199999999999999,4,19,0.48,36.36363636363637,0.35068531087563315,[0],16.666666666666664,18,3,,,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
Triangle,2000,0,22,22,22,,173.2228406540089,None,2000,175.23156871499668,None,None,175.23156871499668,None,1.52,23,177.24583916799747,None,1,1,177.24583916799747,None,You did not win or lose anything!,-5.199999999999999,3,19,0.48,39.130434782608695,0.34994473355699385,[0],16.666666666666664,18,3,,0.3440201150078792,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
LgPun,4000,0,23,23,23,,179.18143670700374,None,4000,181.19616440600657,None,None,181.19616440600657,None,1.52,24,185.19954113999847,None,None,0,185.19954113999847,None,You lost $5.00!,-10.2,4,20,0.48,37.5,0.34994473355699385,"[0, 0]",16.666666666666664,18,3,,,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
LgPun,2000,0,24,24,24,,187.14010280900402,None,2000,189.14890240400564,None,None,189.14890240400564,None,1.52,25,191.16392616400844,None,None,0,191.16392616400844,None,You lost $5.00!,-15.2,4,21,0.5,36.0,0.34994473355699385,[],0.0,21,3,Adjusting RT...,,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
SmallPun,1500,0,25,25,25,,193.09861130399804,None,1500,195.11412915799883,None,None,195.11412915799883,None,1.5,26,196.61642619399936,None,None,0,196.61642619399936,None,You lost $0.20!,-15.399999999999999,5,22,0.5,34.61538461538461,0.34994473355699385,[0],0.0,21,3,,,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
LgPun,3000,0,26,26,26,,198.60073429800104,None,3000,200.61525474800146,None,None,200.61525474800146,None,1.5,27,203.61695667300955,None,1,1,203.61695667300955,None,You did not lose $5.00!,-15.399999999999999,4,23,0.5,37.03703703703704,0.3516410178010119,"[0, 1]",0.0,21,3,,0.3669075759971747,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
LgReward,2000,0,27,27,27,,205.5991914650076,None,2000,207.61615322700527,None,None,207.61615322700527,None,1.5,28,209.63325133100443,None,1,1,209.63325133100443,None,You won $5.00!,-10.399999999999999,1,24,0.5,39.285714285714285,0.34991140381978103,[],33.33333333333333,24,3,Adjusting RT...,0.33261526400747243,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
Triangle,1500,0,28,28,28,,211.59967467500246,None,1500,213.61615313100629,None,None,213.61615313100629,None,1.5,29,215.11672656200244,None,None,0,215.11672656200244,None,You did not win or lose anything!,-10.399999999999999,3,24,0.5,37.93103448275862,0.34991140381978103,[],33.33333333333333,24,3,,,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
Triangle,2000,0,29,29,29,,217.1015594019991,None,2000,219.11780305500724,None,None,219.11780305500724,None,1.5,30,221.11746953999682,None,1,1,221.11746953999682,None,You did not win or lose anything!,-10.399999999999999,3,24,0.5,40.0,0.35111014625120635,[],33.33333333333333,24,3,,0.3642963129968848,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
SmallReward,4000,0,30,30,30,,223.1014737890073,None,4000,225.1184880869987,None,None,225.1184880869987,None,1.5,31,229.1347593100072,None,1,1,229.1347593100072,None,You won $0.20!,-10.2,2,25,0.5,41.935483870967744,0.34772861177043524,[1],33.33333333333333,24,3,,0.3071501980011817,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
Triangle,4000,0,31,31,31,,231.09967066100216,None,4000,233.11877434400958,None,None,233.11877434400958,None,1.5,32,237.11966944100277,None,1,1,237.11966944100277,None,You did not win or lose anything!,-10.2,3,25,0.5,43.75,0.35061923492945163,[1],33.33333333333333,24,3,,0.38819733599666506,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
SmallReward,3500,0,32,32,32,,239.10041072500462,None,3500,241.12034941800812,None,None,241.12034941800812,None,1.5,33,244.6369222450012,None,1,1,244.6369222450012,None,You won $0.20!,-10.0,2,26,0.5,45.45454545454545,0.3494363612679687,"[1, 1]",33.33333333333333,24,3,,0.3328761300072074,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
Triangle,1500,0,33,33,33,,246.60102325299522,None,1500,248.62213232999784,None,None,248.62213232999784,None,1.5,34,250.1216958330042,None,None,0,250.1216958330042,None,You did not win or lose anything!,-10.0,3,26,0.5,44.11764705882353,0.3494363612679687,"[1, 1]",33.33333333333333,24,3,,,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
SmallReward,1500,0,34,34,34,,252.101369238997,None,1500,254.10832470400783,None,None,254.10832470400783,None,1.5,35,255.63827067500097,None,1,1,255.63827067500097,None,You won $0.20!,-9.8,2,27,0.47,45.714285714285715,0.35007148518889153,[],83.33333333333333,27,3,Adjusting RT...,0.35959834400273394,039,Scanner,2,2019_Aug_22_0947,MID,3.1.5,23.99670490662503,
