Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,probeResp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,1500,0,0,0,0,TimeVersion7.csv,35.480350438985624,None,1500,37.46421899399138,None,None,37.46421899399138,None,1.57,1,38.99801493099949,None,None,0,38.99801493099949,None,You did not win $5.00!,0,1,1,0.42999999999999994,0.0,nan,[0],0,0,3,,,,040,Scanner,2,2019_Aug_22_1141,MID,3.1.5,23.995254103173764,
LgReward,4000,0,1,1,1,,40.9202668779908,None,4000,42.93217759099207,None,None,42.93217759099207,None,1.57,2,46.95142511698941,None,None,0,46.95142511698941,None,You did not win $5.00!,0,1,2,0.42999999999999994,0.0,nan,"[0, 0]",0,0,3,,,,040,Scanner,2,2019_Aug_22_1141,MID,3.1.5,23.995254103173764,
SmallReward,2500,0,2,2,2,,48.88466300399159,None,2500,50.886704008997185,None,None,50.886704008997185,None,1.57,3,53.415729533997364,None,None,0,53.415729533997364,None,You did not win $0.20!,0,2,3,0.49999999999999994,0.0,nan,[],0.0,3,3,Adjusting RT...,,,040,Scanner,2,2019_Aug_22_1141,MID,3.1.5,23.995254103173764,
SmallReward,4000,0,3,3,3,,55.33766316199035,None,4000,57.350359516000026,None,None,57.350359516000026,None,1.5,4,61.36776004798594,None,1,1,61.36776004798594,None,You won $0.20!,0.2,2,4,0.49999999999999994,25.0,0.28049049200490117,[1],0.0,3,3,,0.28049049200490117,,040,Scanner,2,2019_Aug_22_1141,MID,3.1.5,23.995254103173764,
LgReward,2000,0,4,4,4,,63.33988043499994,None,2000,65.35226409799361,None,None,65.35226409799361,None,1.5,5,67.36926590299117,None,None,0,67.36926590299117,None,You did not win $5.00!,0.2,1,5,0.49999999999999994,20.0,0.28049049200490117,"[1, 0]",0.0,3,3,,,,040,Scanner,2,2019_Aug_22_1141,MID,3.1.5,23.995254103173764,
Triangle,3000,0,5,5,5,,69.33855238198885,None,3000,71.35292886999378,None,None,71.35292886999378,None,1.5,6,74.35672842299391,None,1,1,74.35672842299391,None,You did not win or lose anything!,0.2,3,5,0.49999999999999994,33.33333333333333,0.28598823850188637,"[1, 0]",0.0,3,3,,0.2914859849988716,,040,Scanner,2,2019_Aug_22_1141,MID,3.1.5,23.995254103173764,
SmallPun,1500,0,6,6,6,,76.33840985498682,None,1500,78.35389567598759,None,None,78.35389567598759,None,1.5,7,79.85571359199821,None,1,1,79.85571359199821,None,You did not lose $0.20!,0.2,5,6,0.5,42.857142857142854,0.3238359876704635,[],33.33333333333333,6,3,Adjusting RT...,0.3995314860076178,,040,Scanner,2,2019_Aug_22_1141,MID,3.1.5,23.995254103173764,
LgPun,2000,0,7,7,7,,81.840570809989,None,2000,83.84453821099305,None,None,83.84453821099305,None,1.5,8,85.85715822198836,None,1,1,85.85715822198836,None,You did not lose $5.00!,0.2,4,7,0.5,50.0,0.3161492672552413,[1],33.33333333333333,6,3,,0.2930891060095746,,040,Scanner,2,2019_Aug_22_1141,MID,3.1.5,23.995254103173764,
LgReward,3000,0,8,8,8,,87.83918305499537,None,3000,89.85461660899455,None,None,89.85461660899455,None,1.5,9,92.87166938099836,None,1,1,92.87166938099836,None,You won $5.00!,5.2,1,8,0.5,55.55555555555556,0.31643589840386993,"[1, 1]",33.33333333333333,6,3,,0.3175824229983846,,040,Scanner,2,2019_Aug_22_1141,MID,3.1.5,23.995254103173764,
LgPun,2000,0,9,9,9,,94.83972323298804,None,2000,96.85606009598996,None,None,96.85606009598996,None,1.5,10,98.8563532709959,None,1,1,98.8563532709959,None,You did not lose $5.00!,5.2,4,9,0.47,60.0,0.3168472950031476,[],83.33333333333333,9,3,Adjusting RT...,0.31890427799953613,,040,Scanner,2,2019_Aug_22_1141,MID,3.1.5,23.995254103173764,
Triangle,4000,0,10,10,10,,100.83927540699369,None,4000,102.85713875899091,None,None,102.85713875899091,None,1.53,11,106.85772902199824,None,1,1,106.85772902199824,None,You did not win or lose anything!,5.2,3,9,0.47,63.63636363636363,0.31294317957404666,[],83.33333333333333,9,3,,0.28951848699944094,,040,Scanner,2,2019_Aug_22_1141,MID,3.1.5,23.995254103173764,
SmallPun,3500,0,11,11,11,,108.84034320998762,None,3500,110.8583050169982,None,None,110.8583050169982,None,1.53,12,114.35929623099219,None,None,0,114.35929623099219,None,You lost $0.20!,5.0,5,10,0.47,58.333333333333336,0.31294317957404666,[0],83.33333333333333,9,3,,,,040,Scanner,2,2019_Aug_22_1141,MID,3.1.5,23.995254103173764,
SmallPun,1500,0,12,12,12,,116.34068115799164,None,1500,118.35836846199527,None,None,118.35836846199527,None,1.53,13,119.8594268369925,None,1,1,119.8594268369925,None,You did not lose $0.20!,5.0,5,11,0.47,61.53846153846154,0.31841296500169847,"[0, 1]",83.33333333333333,9,3,,0.35670146299526095,,040,Scanner,2,2019_Aug_22_1141,MID,3.1.5,23.995254103173764,
LgPun,1500,0,13,13,13,,121.84039735299302,None,1500,123.85913860199798,None,None,123.85913860199798,None,1.53,14,125.35972685698653,None,1,1,125.35972685698653,None,You did not lose $5.00!,5.0,4,12,0.43999999999999995,64.28571428571429,0.32130095178015633,[],83.33333333333333,12,3,Adjusting RT...,0.3444048460078193,,040,Scanner,2,2019_Aug_22_1141,MID,3.1.5,23.995254103173764,
SmallReward,2000,0,14,14,14,,127.3412528839981,None,2000,129.35982090598554,None,None,129.35982090598554,None,1.56,15,131.36790580599336,None,None,0,131.36790580599336,None,You did not win $0.20!,5.0,2,13,0.43999999999999995,60.0,0.32130095178015633,[0],83.33333333333333,12,3,,,,040,Scanner,2,2019_Aug_22_1141,MID,3.1.5,23.995254103173764,
SmallPun,2000,0,15,15,15,,133.29964907099202,None,2000,135.3110285619914,None,None,135.3110285619914,None,1.56,16,137.3173633159895,None,None,0,137.3173633159895,None,You lost $0.20!,4.8,5,14,0.43999999999999995,56.25,0.32130095178015633,"[0, 0]",83.33333333333333,12,3,,,,040,Scanner,2,2019_Aug_22_1141,MID,3.1.5,23.995254103173764,
LgPun,1500,0,16,16,16,,139.2571873969864,None,1500,141.2783560879907,None,None,141.2783560879907,None,1.56,17,142.77846675999172,None,None,0,142.77846675999172,None,You lost $5.00!,-0.20000000000000018,4,15,0.4799999999999999,52.94117647058824,0.32130095178015633,[],33.33333333333333,15,3,Adjusting RT...,,,040,Scanner,2,2019_Aug_22_1141,MID,3.1.5,23.995254103173764,
LgReward,3500,0,17,17,17,,144.71692077399348,None,3500,146.72917113799485,None,None,146.72917113799485,None,1.52,18,150.24607915499655,None,1,1,150.24607915499655,None,You won $5.00!,4.8,1,16,0.4799999999999999,55.55555555555556,0.3168872362017282,[1],33.33333333333333,15,3,,0.27716379599587526,,040,Scanner,2,2019_Aug_22_1141,MID,3.1.5,23.995254103173764,
