Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,1500,0,0,0,0,TimeVersion3.csv,37.259011178975925,None,1500,39.27719802298816,None,None,39.27719802298816,None,1.62,1,40.8272813759977,None,1,1,0.26752448099432513,40.8272813759977,None,You won $5.00!,5,1,1,0.37999999999999995,100.0,0.26752448099432513,[1],0,0,3,None,0.26752448099432513,,,,021,Scanner,1,2019_Aug_31_1121,MID,3.1.5,59.92843025161763,
Triangle,2500,0,1,1,1,,42.87922713300213,None,2500,44.911103357968386,None,None,44.911103357968386,None,1.62,2,47.443613777984865,None,None,0,,47.443613777984865,None,You did not win or lose anything!,5,3,1,0.37999999999999995,50.0,0.26752448099432513,[1],0,0,3,None,0.26752448099432513,,,,021,Scanner,1,2019_Aug_31_1121,MID,3.1.5,59.92843025161763,
SmallPun,1500,0,2,2,2,,49.496388369996566,None,1500,51.52912524197018,None,None,51.52912524197018,None,1.62,3,53.061272652004845,None,1,1,0.26366330398013815,53.061272652004845,None,You did not lose $0.20!,5,5,2,0.37999999999999995,66.66666666666666,0.26559389248723164,"[1, 1]",0,0,3,None,0.26366330398013815,,,,021,Scanner,1,2019_Aug_31_1121,MID,3.1.5,59.92843025161763,
LgPun,2500,0,3,3,3,,55.11368912801845,None,2500,57.14581548498245,None,None,57.14581548498245,None,1.62,4,59.67897278198507,None,1,1,0.26387417898513377,59.67897278198507,None,You did not lose $5.00!,5,4,3,0.32999999999999996,75.0,0.265020654653199,[],100.0,3,3,None,0.26387417898513377,Adjusting RT...,,,021,Scanner,1,2019_Aug_31_1121,MID,3.1.5,59.92843025161763,
Triangle,1500,0,4,4,4,,61.713670452998485,None,1500,63.747068497003056,None,None,63.747068497003056,None,1.67,5,65.28006500098854,None,None,0,,65.28006500098854,None,You did not win or lose anything!,5,3,3,0.32999999999999996,60.0,0.265020654653199,[],100.0,3,3,1,0.32228380300337445,,-0.007716196996625513,,021,Scanner,1,2019_Aug_31_1121,MID,3.1.5,59.92843025161763,
SmallReward,2000,0,5,5,5,,67.34713784500491,None,2000,69.38148288597586,None,None,69.38148288597586,None,1.67,6,71.44822977797594,None,1,1,0.2756774590234272,71.44822977797594,None,You won $0.20!,5.2,2,4,0.32999999999999996,66.66666666666666,0.26768485574575607,[1],100.0,3,3,None,0.2756774590234272,,,,021,Scanner,1,2019_Aug_31_1121,MID,3.1.5,59.92843025161763,
SmallPun,3500,0,6,6,6,,73.48172408196842,None,3500,75.51449494902045,None,None,75.51449494902045,None,1.67,7,79.04852984898025,None,1,1,0.2823869950370863,79.04852984898025,None,You did not lose $0.20!,5.2,5,5,0.32999999999999996,71.42857142857143,0.2706252836040221,"[1, 1]",100.0,3,3,None,0.2823869950370863,,,,021,Scanner,1,2019_Aug_31_1121,MID,3.1.5,59.92843025161763,
Triangle,1500,0,7,7,7,,81.098807397997,None,1500,83.13250324700493,None,None,83.13250324700493,None,1.67,8,84.66530548100127,None,None,0,,84.66530548100127,None,You did not win or lose anything!,5.2,3,5,0.32999999999999996,62.5,0.2706252836040221,"[1, 1]",100.0,3,3,1,0.33118630100041624,,0.0011863010004162788,,021,Scanner,1,2019_Aug_31_1121,MID,3.1.5,59.92843025161763,
SmallReward,1500,0,8,8,8,,86.73164189001545,None,1500,88.76634628901957,None,None,88.76634628901957,None,1.67,9,90.31551223096903,None,1,1,0.27539694402366877,90.31551223096903,None,You won $0.20!,5.4,2,6,0.27999999999999997,66.66666666666666,0.2714205603406299,[],100.0,6,3,None,0.27539694402366877,Adjusting RT...,,,021,Scanner,1,2019_Aug_31_1121,MID,3.1.5,59.92843025161763,
LgReward,2000,0,9,9,9,,92.36633674998302,None,2000,94.39997129200492,None,None,94.39997129200492,None,1.72,10,96.4504939269973,None,None,0,,96.4504939269973,None,You did not win $5.00!,5.4,1,7,0.27999999999999997,60.0,0.2714205603406299,[0],100.0,6,3,1,0.3026349530275911,,0.02263495302759111,,021,Scanner,1,2019_Aug_31_1121,MID,3.1.5,59.92843025161763,
Triangle,2000,0,10,10,10,,98.49947083601728,None,2000,100.53398370201467,None,None,100.53398370201467,None,1.72,11,102.56709820299875,None,1,1,0.23169586498988792,102.56709820299875,None,You did not win or lose anything!,5.4,3,7,0.27999999999999997,63.63636363636363,0.26574560386195245,[0],100.0,6,3,None,0.23169586498988792,,,,021,Scanner,1,2019_Aug_31_1121,MID,3.1.5,59.92843025161763,
SmallReward,1500,0,11,11,11,,104.6337877389742,None,1500,106.6668863989762,None,None,106.6668863989762,None,1.72,12,108.20049587998074,None,None,0,,108.20049587998074,None,You did not win $0.20!,5.4,2,8,0.27999999999999997,58.333333333333336,0.26574560386195245,"[0, 0]",100.0,6,3,1,0.27986115295905617,,-0.0001388470409438014,,021,Scanner,1,2019_Aug_31_1121,MID,3.1.5,59.92843025161763,
SmallPun,4000,0,12,12,12,,110.25029847200494,None,4000,112.28436966997106,None,None,112.28436966997106,None,1.72,13,116.31746966199717,None,None,0,,116.31746966199717,None,You lost $0.20!,5.2,5,9,0.3,53.84615384615385,0.26574560386195245,[],50.0,9,3,1,0.3033882569987327,Adjusting RT...,0.003388256998732686,,021,Scanner,1,2019_Aug_31_1121,MID,3.1.5,59.92843025161763,
