Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
Triangle,1500,0,14,14,14,,116.47963140100182,None,1500,118.50797736300592,None,None,118.50797736300592,None,1.6,15,120.04090443700261,None,None,0,120.04090443700261,None,You did not win or lose anything!,-9.8,3,10,0.3999999999999999,40.0,0.2823273590001918,[0],49.99999999999999,9,3,1,0.0771793460007757,0.4771793460007756,,,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
LgPun,1500,0,15,15,15,,122.0804469020004,None,1500,124.10880221800471,None,None,124.10880221800471,None,1.6,16,125.6421016220047,None,None,0,125.6421016220047,None,You lost $5.00!,-14.8,4,11,0.3999999999999999,37.5,0.2823273590001918,"[0, 0]",49.99999999999999,9,3,1,0.0009450380021007732,0.4009450380021007,,,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
SmallPun,2000,0,16,16,16,,127.6797662060053,None,2000,129.7094703890034,None,None,129.7094703890034,None,1.6,17,131.7430644670021,None,1,1,131.7430644670021,None,You did not lose $0.20!,-14.8,5,12,0.4399999999999999,41.17647058823529,0.28979667257122593,[],33.33333333333333,12,3,None,,0.33461255399743095,Adjusting RT...,0.33461255399743095,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
SmallReward,3000,0,17,17,17,,133.79266495000047,None,3000,135.82702743600385,None,None,135.82702743600385,None,1.56,18,138.8768161150001,None,1,1,138.8768161150001,None,You won $0.20!,-14.600000000000001,2,13,0.4399999999999999,44.44444444444444,0.2870417787489714,[1],33.33333333333333,12,3,None,,0.2677575219931896,,0.2677575219931896,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
LgPun,3500,0,18,18,18,,140.91448378900532,None,3500,142.94449321100547,None,None,142.94449321100547,None,1.56,19,146.47811709300004,None,1,1,146.47811709300004,None,You did not lose $5.00!,-14.600000000000001,4,14,0.4399999999999999,47.368421052631575,0.28642629033210043,"[1, 1]",33.33333333333333,12,3,None,,0.28150238299713237,,0.28150238299713237,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
Triangle,1500,0,19,19,19,,148.52833444300632,None,1500,150.56258746100502,None,None,150.56258746100502,None,1.56,20,152.09562976000598,None,None,0,152.09562976000598,None,You did not win or lose anything!,-14.600000000000001,3,14,0.4399999999999999,45.0,0.28642629033210043,"[1, 1]",33.33333333333333,12,3,1,0.04260516099748202,0.4826051609974819,,,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
LgPun,1500,0,20,20,20,,154.13188843399985,None,1500,156.16269867200026,None,None,156.16269867200026,None,1.56,21,157.69647334800538,None,1,1,157.69647334800538,None,You did not lose $5.00!,-14.600000000000001,4,15,0.4199999999999999,47.61904761904761,0.2869052157991973,[],66.66666666666666,15,3,None,,0.29121554500306956,Adjusting RT...,0.29121554500306956,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
SmallPun,3500,0,21,21,21,,159.73278119000315,None,3500,161.76391688100557,None,None,161.76391688100557,None,1.58,22,165.29700873900583,None,1,1,165.29700873900583,None,You did not lose $0.20!,-14.600000000000001,5,16,0.4199999999999999,50.0,0.28378524572657293,[1],66.66666666666666,15,3,None,,0.25258554500032915,,0.25258554500032915,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
SmallReward,1500,0,22,22,22,,167.34827034400223,None,1500,169.38063013300416,None,None,169.38063013300416,None,1.58,23,170.93174603800435,None,None,0,170.93174603800435,None,You did not win $0.20!,-14.600000000000001,2,17,0.4199999999999999,47.82608695652174,0.28378524572657293,"[1, 0]",66.66666666666666,15,3,1,0.3127847239957191,0.732784723995719,,,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
SmallPun,2500,0,23,23,23,,172.96621174900065,None,2500,174.998738950002,None,None,174.998738950002,None,1.58,24,177.53196857400326,None,1,1,177.53196857400326,None,You did not lose $0.20!,-14.600000000000001,5,18,0.3899999999999999,50.0,0.28444688124970224,[],83.33333333333333,18,3,None,,0.29172487200412434,Adjusting RT...,0.29172487200412434,046,Scanner,2,2019_Sep_06_1535,MID,3.1.5,60.03888093804232,
