Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,feedback_resp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,4000,0,0,0,0,TimeVersion15.csv,35.86960601899773,None,4000,37.88695021200692,None,None,37.88695021200692,None,1.6,1,41.937208266987,None,1,1,0.3453263830160722,41.937208266987,None,You won $0.20!,0.2,2,1,0.3999999999999999,100.0,0.3453263830160722,[1],0,0,3,None,0.3453263830160722,,,,012,Scanner,1,2019_Sep_01_1120,MID,3.1.5,60.063937359473464,
SmallPun,3500,0,1,1,1,,43.98878858197713,None,3500,46.02169181400677,None,None,46.02169181400677,None,1.6,2,49.554838983982336,None,1,1,0.36461810098262504,49.554838983982336,None,You did not lose $0.20!,0.2,5,2,0.3999999999999999,100.0,0.3549722419993486,"[1, 1]",0,0,3,None,0.36461810098262504,,,,012,Scanner,1,2019_Sep_01_1120,MID,3.1.5,60.063937359473464,
Triangle,2500,0,2,2,2,,51.606119264964946,None,2500,53.63977984798839,None,None,53.63977984798839,None,1.6,3,56.17244135396322,None,None,0,,56.17244135396322,None,You did not win or lose anything!,0.2,3,2,0.3999999999999999,66.66666666666666,0.3549722419993486,"[1, 1]",0,0,3,1,0.4318253680015913,0.031825368001591414,,,012,Scanner,1,2019_Sep_01_1120,MID,3.1.5,60.063937359473464,
SmallReward,2000,0,3,3,3,,58.23884818999795,None,2000,60.274047143000644,None,None,60.274047143000644,None,1.6,4,62.323776669974905,None,1,1,0.27776584797538817,62.323776669974905,None,You won $0.20!,0.4,2,3,0.3499999999999999,75.0,0.32923677732469514,[],100.0,3,3,None,0.27776584797538817,,Adjusting RT...,,012,Scanner,1,2019_Sep_01_1120,MID,3.1.5,60.063937359473464,
SmallPun,4000,0,4,4,4,,64.35677974496502,None,4000,66.39071191899711,None,None,66.39071191899711,None,1.6500000000000001,5,70.42394622700522,None,None,0,,70.42394622700522,None,You lost $0.20!,0.2,5,4,0.3499999999999999,60.0,0.32923677732469514,[0],100.0,3,3,1,0.35197868200484655,0.0019786820048466325,,,012,Scanner,1,2019_Sep_01_1120,MID,3.1.5,60.063937359473464,
LgPun,2000,0,5,5,5,,72.45740435697371,None,2000,74.49117870396003,None,None,74.49117870396003,None,1.6500000000000001,6,76.52409542596433,None,None,0,,76.52409542596433,None,You lost $5.00!,-4.8,4,5,0.3499999999999999,50.0,0.32923677732469514,"[0, 0]",100.0,3,3,1,0.36521213701926164,0.015212137019261718,,,012,Scanner,1,2019_Sep_01_1120,MID,3.1.5,60.063937359473464,
SmallPun,1500,0,6,6,6,,78.55774394696346,None,1500,80.59160459897248,None,None,80.59160459897248,None,1.6500000000000001,7,82.1246752049774,None,None,0,,82.1246752049774,None,You lost $0.20!,-5.0,5,6,0.36999999999999994,42.857142857142854,0.32923677732469514,[],50.0,6,3,1,0.378255332999397,0.00825533299939707,Adjusting RT...,,012,Scanner,1,2019_Sep_01_1120,MID,3.1.5,60.063937359473464,
SmallReward,1500,0,7,7,7,,84.17436469299719,None,1500,86.20896318397718,None,None,86.20896318397718,None,1.6300000000000001,8,87.74163302697707,None,1,1,0.21774392697261646,87.74163302697707,None,You won $0.20!,-4.8,2,7,0.36999999999999994,50.0,0.30136356473667547,[1],50.0,6,3,None,0.21774392697261646,,,,012,Scanner,1,2019_Sep_01_1120,MID,3.1.5,60.063937359473464,
Triangle,2000,0,8,8,8,,89.77550787600921,None,2000,91.80962452897802,None,None,91.80962452897802,None,1.6300000000000001,9,93.8418805449619,None,1,1,0.29164374398533255,93.8418805449619,None,You did not win or lose anything!,-4.8,3,7,0.36999999999999994,55.55555555555556,0.2994196005864069,[1],50.0,6,3,None,0.29164374398533255,,,,012,Scanner,1,2019_Sep_01_1120,MID,3.1.5,60.063937359473464,
SmallReward,1500,0,9,9,9,,95.89191799896071,None,1500,97.92625342396786,None,None,97.92625342396786,None,1.6300000000000001,10,99.47540238697547,None,None,0,,99.47540238697547,None,You did not win $0.20!,-4.8,2,8,0.36999999999999994,50.0,0.2994196005864069,"[1, 0]",50.0,6,3,1,0.4093507379922084,0.03935073799220845,,,012,Scanner,1,2019_Sep_01_1120,MID,3.1.5,60.063937359473464,
