Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,2000,0,0,0,0,TimeVersion5.csv,16.129336860001786,None,2000,18.14600114201312,None,None,18.14600114201312,None,1.68,1,20.14605524300714,None,1,1,0.07157113900757395,20.14605524300714,None,You did not lose $0.20!,0,5,1,0.32,100.0,0.07157113900757395,[1],0,0,3,None,0.07157113900757395,,0000,Scanner,2,2019_Aug_28_2337,MID,3.1.5,59.93677964081383,
,4.0,,,,,,22.162790868984303,None,4.0,24.179993244004436,None,1,24.179993244004436,None,1.68,2,28.197480417991756,None,None,0,,28.197480417991756,None,You did not win $5.00!,0,1,2,0.32,50.0,0.07157113900757395,"[1, 0]",0,0,3,None,,1.269814012979623,,,,,,,,
