cue,probe,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,jitter,fixationResp.keys,jitterTarget,feedbackDur,rt_list,Trial counter,probeResp.keys,probeResp.corr,probeResp.rt,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc,meanrt,fixationResp.rt,participant,session,PracticeRT,date,expName,psychopyVersion,frameRate,
images/Neutral.BMP,images/NeutralProbe.BMP,Neutral,0,0,0,2,3.798,None,0.308,1.5,[0.3677357690175995],1,space,1,0.3677357690175995,You did not win or lose anything!,0,3,0,0.5,100.0,0.3677357690175995,,,001,.5,2019_Apr_21_2357,MID,3.0.7,59.71064412344409,
images/WinSmall.BMP,images/WinProbe.BMP,WinSmall,0,1,1,4,3.896,None,0.316,1.5,"[0.3677357690175995, 0.3199759980197996]",2,space,1,0.3199759980197996,You won $0.20!,0.2,2,1,0.5,100.0,0.34385588351869956,,,001,.5,2019_Apr_21_2357,MID,3.0.7,59.71064412344409,
images/WinBig.BMP,images/WinProbe.BMP,WinBig,0,2,2,3,2.545,None,0.291,1.5,"[0.3677357690175995, 0.3199759980197996, 0.24724333104677498]",3,space,1,0.24724333104677498,You won $5.00!,5.2,1,2,0.5,100.0,0.31165169936139137,,,001,.5,2019_Apr_21_2357,MID,3.0.7,59.71064412344409,
images/LoseBig.BMP,images/LoseProbe.BMP,LoseBig,0,3,3,0,2.299,None,0.463,1.5,"[0.3677357690175995, 0.3199759980197996, 0.24724333104677498]",4,None,0,,You lost $5.00!,0.20000000000000018,4,3,0.48,75.0,0.31165169936139137,,,001,.5,2019_Apr_21_2357,MID,3.0.7,59.71064412344409,
images/LoseSmall.BMP,images/LoseProbe.BMP,LoseSmall,0,4,4,1,2.824,None,0.292,1.52,"[0.3677357690175995, 0.3199759980197996, 0.24724333104677498]",5,None,0,,You lost $0.20!,1.6653345369377348e-16,5,4,0.48,60.0,0.31165169936139137,,,001,.5,2019_Apr_21_2357,MID,3.0.7,59.71064412344409,
images/LoseBig.BMP,images/LoseProbe.BMP,LoseBig,1,0,5,0,2.095,space,0.428,1.52,"[0.3677357690175995, 0.3199759980197996, 0.24724333104677498]",6,None,0,,You lost $5.00!,-5.0,4,5,0.48,50.0,0.31165169936139137,0.23513686103979126,,001,.5,2019_Apr_21_2357,MID,3.0.7,59.71064412344409,
images/WinBig.BMP,images/WinProbe.BMP,WinBig,1,1,6,3,1.501,space,0.168,1.52,"[0.3677357690175995, 0.3199759980197996, 0.24724333104677498]",7,None,0,,You did not win $5.00!,-5.0,1,6,0.5,42.857142857142854,0.31165169936139137,0.08649997401516885,,001,.5,2019_Apr_21_2357,MID,3.0.7,59.71064412344409,
images/Neutral.BMP,images/NeutralProbe.BMP,Neutral,1,2,7,2,1.735,space,0.203,1.5,"[0.3677357690175995, 0.3199759980197996, 0.24724333104677498]",8,None,0,,You did not win or lose anything!,-5.0,3,6,0.5,37.5,0.31165169936139137,1.6508938380284235,,001,.5,2019_Apr_21_2357,MID,3.0.7,59.71064412344409,
images/LoseSmall.BMP,images/LoseProbe.BMP,LoseSmall,1,3,8,1,2.014,None,0.394,1.5,"[0.3677357690175995, 0.3199759980197996, 0.24724333104677498, 0.22996789700118825]",9,space,1,0.22996789700118825,You did not lose $0.20!,-5.0,5,7,0.5,44.44444444444444,0.2912307487713406,,,001,.5,2019_Apr_21_2357,MID,3.0.7,59.71064412344409,
images/WinSmall.BMP,images/WinProbe.BMP,WinSmall,1,4,9,4,3.495,None,0.386,1.5,"[0.3677357690175995, 0.3199759980197996, 0.24724333104677498, 0.22996789700118825, 0.3018657669890672]",10,space,1,0.3018657669890672,You won $0.20!,-4.8,2,8,0.5,50.0,0.29335775241488593,,,001,.5,2019_Apr_21_2357,MID,3.0.7,59.71064412344409,
images/Neutral.BMP,images/NeutralProbe.BMP,Neutral,2,0,10,2,3.728,None,0.335,1.5,"[0.3677357690175995, 0.3199759980197996, 0.24724333104677498, 0.22996789700118825, 0.3018657669890672, 0.3871167849865742]",11,space,1,0.3871167849865742,You did not win or lose anything!,-4.8,3,8,0.5,54.54545454545454,0.30898425784350064,,,001,.5,2019_Apr_21_2357,MID,3.0.7,59.71064412344409,
images/WinSmall.BMP,images/WinProbe.BMP,WinSmall,2,1,11,4,2.141,None,0.401,1.5,"[0.3677357690175995, 0.3199759980197996, 0.24724333104677498, 0.22996789700118825, 0.3018657669890672, 0.3871167849865742]",12,None,0,,You did not win $0.20!,-4.8,2,9,0.5,50.0,0.30898425784350064,,,001,.5,2019_Apr_21_2357,MID,3.0.7,59.71064412344409,
