Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,4000,0,14,14,14,,123.98850220800523,None,4000,126.01198475000274,None,None,126.01198475000274,None,1.74,15,130.07237759300187,None,None,0,,130.07237759300187,None,You did not win $0.20!,0.6000000000000001,2,10,0.26,60.0,0.2784627851118178,[0],66.66666666666666,9,3,1,0.2723620000013034,,0.012362000001303386,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
LgReward,1500,0,15,15,15,,132.1309447099993,None,1500,134.162791019,None,None,134.162791019,None,1.74,16,135.71348004099855,None,None,0,,135.71348004099855,None,You did not win $5.00!,0.6000000000000001,1,11,0.26,56.25,0.2784627851118178,"[0, 0]",66.66666666666666,9,3,1,0.27002298499952304,,0.010022984999523032,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
LgReward,3000,0,16,16,16,,137.77271493200533,None,3000,139.79743615900225,None,None,139.79743615900225,None,1.74,17,142.8808246260014,None,1,1,0.22103648199845338,142.8808246260014,None,You won $5.00!,5.6,1,12,0.28,58.82352941176471,0.2727201548004814,[],49.99999999999999,12,3,None,0.22103648199845338,Adjusting RT...,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
SmallReward,1500,0,17,17,17,,144.93195482800365,None,1500,146.9653361180026,None,None,146.9653361180026,None,1.72,18,148.51508000700414,None,None,0,,148.51508000700414,None,You did not win $0.20!,5.6,2,13,0.28,55.55555555555556,0.2727201548004814,[0],49.99999999999999,12,3,1,0.2851496040032362,,0.005149604003236163,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
LgPun,1500,0,18,18,18,,150.5736339340001,None,1500,152.59938202099875,None,None,152.59938202099875,None,1.72,19,154.13992606900138,None,None,0,,154.13992606900138,None,You lost $5.00!,0.5999999999999996,4,14,0.28,52.63157894736842,0.2727201548004814,"[0, 0]",49.99999999999999,12,3,1,0.27641137599974175,,-0.003588624000258278,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
SmallReward,2000,0,19,19,19,,156.19925798400072,None,2000,158.23403244200017,None,None,158.23403244200017,None,1.72,20,160.2838522029997,None,1,1,0.218007937000948,160.2838522029997,None,You won $0.20!,0.7999999999999996,2,15,0.32,55.00000000000001,0.26774631681870564,[],33.33333333333333,15,3,None,0.218007937000948,Adjusting RT...,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
SmallPun,3000,0,20,20,20,,162.34049114600202,None,3000,164.36694238999917,None,None,164.36694238999917,None,1.68,21,167.4076369750037,None,1,1,0.2551896980003221,167.4076369750037,None,You did not lose $0.20!,0.7999999999999996,5,16,0.32,57.14285714285714,0.26669993191717367,[1],33.33333333333333,15,3,None,0.2551896980003221,,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
LgReward,3500,0,21,21,21,,169.4517019039995,None,3500,171.48536761099967,None,None,171.48536761099967,None,1.68,22,175.03531337599998,None,1,1,0.2544721689992002,175.03531337599998,None,You won $5.00!,5.8,1,17,0.32,59.09090909090909,0.26575933476963726,"[1, 1]",33.33333333333333,15,3,None,0.2544721689992002,,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
LgPun,4000,0,22,22,22,,177.07498546400166,None,4000,179.10243021100177,None,None,179.10243021100177,None,1.68,23,183.13713913300307,None,1,1,0.23958831900381483,183.13713913300307,None,You did not lose $5.00!,5.8,4,18,0.3,60.86956521739131,0.26388997650064994,[],66.66666666666666,18,3,None,0.23958831900381483,Adjusting RT...,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
Triangle,2000,0,23,23,23,,185.17597308000404,None,2000,187.20389194400195,None,None,187.20389194400195,None,1.7,24,189.23706216899882,None,None,0,,189.23706216899882,None,You did not win or lose anything!,5.8,3,18,0.3,58.333333333333336,0.26388997650064994,[],66.66666666666666,18,3,None,0.23958831900381483,,,009,Scanner,1,2019_Sep_06_1248,MID,3.1.5,60.01016692357299,
