TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,run,trial_order
2,0,[],,0042,2,practice
1,0,[],,0042,2,practice
5,1,0.19664016299066134,,0042,2,practice
4,1,0.2698101050045807,,0042,2,practice
3,0,[],,0042,2,practice
1,1,0.2680383550032275,,0042,2,practice
5,1,0.2728047770069679,,0042,2,practice
2,0,[],,0042,2,practice
3,0,[],,0042,2,practice
1,1,0.23575204199005384,,0042,2,practice
4,1,0.26688106800429523,,0042,2,practice
5,1,0.2664246600033948,,0042,2,practice
2,0,[],,0042,2,practice
4,0,[],,0042,2,practice
3,0,[],,0042,2,practice
