Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,fixationResp.rt,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,1500,0,14,14,14,,115.09475827304414,None,1500,117.12893225200241,None,None,117.12893225200241,None,1.6400000000000001,15,118.67846346599981,None,1,1,0.28872408997267485,118.67846346599981,None,You won $5.00!,10.2,1,13,0.36,73.33333333333333,0.3169495501682501,[1],49.99999999999999,12,3,None,0.28872408997267485,,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
LgReward,1500,0,15,15,15,,120.73416115401778,None,1500,122.76275879202876,None,None,122.76275879202876,None,1.6400000000000001,16,124.31305391003843,None,1,1,0.28020786598790437,124.31305391003843,None,You won $5.00!,15.2,1,14,0.36,75.0,0.31388774315322127,"[1, 1]",49.99999999999999,12,3,None,0.28020786598790437,,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
SmallReward,2000,0,16,16,16,,126.34637226501945,None,2000,128.38090596802067,None,None,128.38090596802067,None,1.6400000000000001,17,130.43094778404338,None,1,1,0.2862007999792695,130.43094778404338,None,You won $0.20!,15.399999999999999,2,15,0.33999999999999997,76.47058823529412,0.3117579782936865,[],66.66666666666666,15,3,None,0.2862007999792695,Adjusting RT...,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
LgReward,2500,0,17,17,17,,132.49665978801204,None,2500,134.53131656703772,None,None,134.53131656703772,None,1.6600000000000001,18,137.08081524603767,None,1,1,0.2903614029637538,137.08081524603767,None,You won $5.00!,20.4,1,16,0.33999999999999997,77.77777777777779,0.3102296514844056,[1],66.66666666666666,15,3,None,0.2903614029637538,,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
LgReward,2000,0,18,18,18,,139.13228003005497,None,2000,141.16504018602427,None,None,141.16504018602427,None,1.6600000000000001,19,143.21484346600482,None,1,1,0.3134295340278186,143.21484346600482,None,You won $5.00!,25.4,1,17,0.33999999999999997,78.94736842105263,0.31044297698729983,"[1, 1]",66.66666666666666,15,3,None,0.3134295340278186,,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
SmallPun,1500,0,19,19,19,,145.2526990059996,None,1500,147.2833733310108,None,None,147.2833733310108,None,1.6600000000000001,20,148.81855586601887,None,1,1,0.2626998369814828,148.81855586601887,None,You did not lose $0.20!,25.4,5,18,0.29,80.0,0.30745903073693626,[],100.0,18,3,None,0.2626998369814828,Adjusting RT...,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
SmallReward,3000,0,20,20,20,,150.8842898310395,None,3000,152.91655654500937,None,None,152.91655654500937,None,1.71,21,155.96685111301485,None,None,0,,155.96685111301485,None,You did not win $0.20!,25.4,2,19,0.29,76.19047619047619,0.30745903073693626,[0],100.0,18,3,1,0.30323347899597136,,,0.013233478995971382,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
Triangle,4000,0,21,21,21,,158.00336465402506,None,4000,160.03429760603467,None,None,160.03429760603467,None,1.71,22,164.0673403010005,None,None,0,,164.0673403010005,None,You did not win or lose anything!,25.4,3,19,0.29,72.72727272727273,0.30745903073693626,[0],100.0,18,3,1,0.28990773503668604,,,-9.226496331393719e-05,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
LgPun,2500,0,22,22,22,,166.103688504023,None,2500,168.13533163105603,None,None,168.13533163105603,None,1.71,23,170.6684503830038,None,1,1,0.24079479899955913,170.6684503830038,None,You did not lose $5.00!,25.4,4,20,0.29,73.91304347826086,0.30353760534061996,"[0, 1]",100.0,18,3,None,0.24079479899955913,,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
LgPun,2000,0,23,23,23,,172.7044560170034,None,2000,174.73654328804696,None,None,174.73654328804696,None,1.71,24,176.7691926380503,None,None,0,,176.7691926380503,None,You lost $5.00!,20.4,4,21,0.26999999999999996,70.83333333333334,0.30353760534061996,[],66.66666666666666,21,3,1,0.2970832289825193,Adjusting RT...,,0.02708322898251936,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
Triangle,1500,0,24,24,24,,178.8045267360285,None,1500,180.83705802902114,None,None,180.83705802902114,None,1.73,25,182.3703332830337,None,None,0,,182.3703332830337,None,You did not win or lose anything!,20.4,3,21,0.26999999999999996,68.0,0.30353760534061996,[],66.66666666666666,21,3,1,0.31590401396853846,,,0.04590401396853849,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
LgPun,3000,0,25,25,25,,184.40514412504854,None,3000,186.4378705380368,None,None,186.4378705380368,None,1.73,26,189.47070871700998,None,None,0,,189.47070871700998,None,You lost $5.00!,15.399999999999999,4,22,0.26999999999999996,65.38461538461539,0.30353760534061996,[0],66.66666666666666,21,3,1,0.28847447297768664,,,0.018474472977686673,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
SmallPun,4000,0,26,26,26,,191.50568079203367,None,4000,193.5389722630498,None,None,193.5389722630498,None,1.73,27,197.5726958490559,None,None,0,,197.5726958490559,None,You lost $0.20!,15.2,5,23,0.26999999999999996,62.96296296296296,0.30353760534061996,"[0, 0]",66.66666666666666,21,3,1,0.28630129199475046,,,0.0163012919947505,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
Triangle,2000,0,27,27,27,,199.60529904504074,None,2000,201.6401434590225,None,None,201.6401434590225,None,1.73,28,203.67288978403667,None,None,0,,203.67288978403667,None,You did not win or lose anything!,15.2,3,23,0.26999999999999996,60.71428571428571,0.30353760534061996,"[0, 0]",66.66666666666666,21,3,1,0.3329946250119246,,,0.06299462501192465,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
SmallPun,1500,0,28,28,28,,205.70673900301335,None,1500,207.74028365401318,None,None,207.74028365401318,None,1.73,29,209.27373538905522,None,None,0,,209.27373538905522,None,You lost $0.20!,15.0,5,24,0.31999999999999995,58.620689655172406,0.30353760534061996,[],16.666666666666664,24,3,1,0.3949251749948598,Adjusting RT...,,0.07492517499485984,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
SmallPun,2000,0,29,29,29,,211.30699259304674,None,2000,213.34032523602946,None,None,213.34032523602946,None,1.6800000000000002,30,215.37352159200236,None,None,0,,215.37352159200236,None,You lost $0.20!,14.8,5,25,0.31999999999999995,56.666666666666664,0.30353760534061996,[0],16.666666666666664,24,3,None,0.3949251749948598,,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
LgReward,1500,0,30,30,30,,217.40685203502653,None,1500,219.4413241770235,None,None,219.4413241770235,None,1.6800000000000002,31,220.99141775805037,None,1,1,0.268840636999812,220.99141775805037,None,You won $5.00!,19.8,1,26,0.31999999999999995,58.06451612903226,0.30160999598835286,"[0, 1]",16.666666666666664,24,3,None,0.268840636999812,,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
SmallReward,2500,0,31,31,31,,223.0414926590165,None,2500,225.0747873520013,None,None,225.0747873520013,None,1.6800000000000002,32,227.62506493600085,None,1,1,0.2571802180027589,227.62506493600085,None,You won $0.20!,20.0,2,27,0.35999999999999993,59.375,0.29927158662069003,[],33.33333333333333,27,3,None,0.2571802180027589,Adjusting RT...,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
Triangle,1500,0,32,32,32,,229.65794260799885,None,1500,231.69194690400036,None,None,231.69194690400036,None,1.6400000000000001,33,233.22550849005347,None,None,0,,233.22550849005347,None,You did not win or lose anything!,20.0,3,27,0.35999999999999993,57.57575757575758,0.29927158662069003,[],33.33333333333333,27,3,1,0.3589221629803068,,,-0.0010778370196931064,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
SmallReward,1500,0,33,33,33,,235.29123322304804,None,1500,237.32608538900968,None,None,237.32608538900968,None,1.6400000000000001,34,238.8919011480175,None,1,1,0.2723473960068077,238.8919011480175,None,You won $0.20!,20.2,2,28,0.35999999999999993,58.82352941176471,0.2979253770899959,[1],33.33333333333333,27,3,None,0.2723473960068077,,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
LgReward,2000,0,34,34,34,,240.941737561021,None,2000,242.9763871160103,None,1,242.9763871160103,None,1.6400000000000001,35,245.0255721170106,None,None,0,,245.0255721170106,None,You did not win $5.00!,20.2,1,29,0.35999999999999993,57.14285714285714,0.2979253770899959,"[1, 0]",33.33333333333333,27,3,None,0.2723473960068077,,0.3269080820027739,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
Triangle,1500,0,35,35,35,,247.05878649605438,None,1500,249.09314381401055,None,None,249.09314381401055,None,1.6400000000000001,36,250.62651476199972,None,None,0,,250.62651476199972,None,You did not win or lose anything!,20.2,3,29,0.35999999999999993,55.55555555555556,0.2979253770899959,"[1, 0]",33.33333333333333,27,3,1,0.5739453130075707,,,0.2139453130075708,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
LgPun,4000,0,36,36,36,,252.6761169610545,None,4000,254.7104966660263,None,None,254.7104966660263,None,1.6400000000000001,37,258.7430721880519,None,None,0,,258.7430721880519,None,You lost $5.00!,15.2,4,30,0.37999999999999995,54.054054054054056,0.2979253770899959,[],49.99999999999999,30,3,None,0.5739453130075707,Adjusting RT...,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
Triangle,1500,0,37,37,37,,260.7931936850073,None,1500,262.82744438102236,None,None,262.82744438102236,None,1.62,38,264.3599807980354,None,None,0,,264.3599807980354,None,You did not win or lose anything!,15.2,3,30,0.37999999999999995,52.63157894736842,0.2979253770899959,[],49.99999999999999,30,3,None,0.5739453130075707,,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
Triangle,3000,0,38,38,38,,266.41032402805286,None,3000,268.44436588604003,None,None,268.44436588604003,None,1.62,39,271.4775743680075,None,None,0,,271.4775743680075,None,You did not win or lose anything!,15.2,3,30,0.37999999999999995,51.28205128205128,0.2979253770899959,[],49.99999999999999,30,3,1,0.40376038103830064,,,0.023760381038300693,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
SmallPun,1500,0,39,39,39,,273.51095780701144,None,1500,275.5445626360015,None,None,275.5445626360015,None,1.62,40,277.0781854580273,None,1,1,0.2570614949800074,277.0781854580273,None,You did not lose $0.20!,15.2,5,31,0.37999999999999995,52.5,0.2959794779419012,[1],49.99999999999999,30,3,None,0.2570614949800074,,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
LgReward,3000,0,40,40,40,,279.1448791930452,None,3000,281.1788983550505,None,1,281.1788983550505,None,1.62,41,284.2281323260395,None,None,0,,284.2281323260395,None,You did not win $5.00!,15.2,1,32,0.37999999999999995,51.21951219512195,0.2959794779419012,"[1, 0]",49.99999999999999,30,3,None,0.2570614949800074,,0.3203536010114476,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
LgPun,3500,0,41,41,41,,286.2615249710507,None,3500,288.29606812103884,None,None,288.29606812103884,None,1.62,42,291.82846294302726,None,1,1,0.28978410799754784,291.82846294302726,None,You did not lose $5.00!,15.2,4,33,0.39999999999999997,52.38095238095239,0.2956978702171579,[],49.99999999999999,33,3,None,0.28978410799754784,Adjusting RT...,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
Triangle,2500,0,42,42,42,,293.8789850920439,None,2500,295.9127347400063,None,None,295.9127347400063,None,1.6,43,298.4461583060329,None,None,0,,298.4461583060329,None,You did not win or lose anything!,15.2,3,33,0.39999999999999997,51.162790697674424,0.2956978702171579,[],49.99999999999999,33,3,None,0.28978410799754784,,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
SmallReward,1500,0,43,43,43,,300.49649596301606,None,1500,302.5200430190307,None,None,302.5200430190307,None,1.6,44,304.07114494300913,None,1,1,0.289112541009672,304.07114494300913,None,You won $0.20!,15.399999999999999,2,34,0.39999999999999997,52.27272727272727,0.2954115515559628,[1],49.99999999999999,33,3,None,0.289112541009672,,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
LgPun,1500,0,44,44,44,,306.1133353810292,None,1500,308.13647326803766,None,None,308.13647326803766,None,1.6,45,309.6794507900486,None,1,1,0.33569191000424325,309.6794507900486,None,You did not lose $5.00!,15.399999999999999,4,35,0.39999999999999997,53.333333333333336,0.2970898998246412,"[1, 1]",49.99999999999999,33,3,None,0.33569191000424325,,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
SmallReward,4000,0,45,45,45,,311.72195787203964,None,4000,313.7376026880229,None,None,313.7376026880229,None,1.6,46,317.78786122304155,None,1,1,0.369429434009362,317.78786122304155,None,You won $0.20!,15.599999999999998,2,36,0.37,54.347826086956516,0.29998348119203,[],83.33333333333333,36,3,None,0.369429434009362,Adjusting RT...,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
SmallPun,3500,0,46,46,46,,319.83066344901454,None,3500,321.8559775320464,None,None,321.8559775320464,None,1.63,47,325.398002245056,None,1,1,0.30826652504038066,325.398002245056,None,You did not lose $0.20!,15.599999999999998,5,37,0.37,55.319148936170215,0.300302059801582,[1],83.33333333333333,36,3,None,0.30826652504038066,,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
SmallPun,3000,0,47,47,47,,327.4311982600484,None,3000,329.45673959702253,None,None,329.45673959702253,None,1.63,48,332.4980165150482,None,None,0,,332.4980165150482,None,You lost $0.20!,15.399999999999999,5,38,0.37,54.166666666666664,0.300302059801582,"[1, 0]",83.33333333333333,36,3,None,0.30826652504038066,,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
LgReward,1500,0,48,48,48,,334.54821694502607,None,1500,336.573788999056,None,None,336.573788999056,None,1.63,49,338.12399538600584,None,None,0,,338.12399538600584,None,You did not win $5.00!,15.399999999999999,1,39,0.35,53.06122448979592,0.300302059801582,[],66.66666666666666,39,3,None,0.30826652504038066,Adjusting RT...,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
SmallReward,2000,0,49,49,49,,340.1751453720499,None,2000,342.2084828930092,None,None,342.2084828930092,None,1.65,50,344.2580785950413,None,None,0,,344.2580785950413,None,You did not win $0.20!,15.399999999999999,2,40,0.35,52.0,0.300302059801582,[0],66.66666666666666,39,3,1,0.5167496460140683,,,0.16674964601406828,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,Scanner,2,2019_Sep_01_1517,MID,3.1.5,60.059144220498204,
