Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,AdjRTmsg,probeResp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,2000,0,14,14,14,,119.01078141199832,None,2000,121.0374953290011,None,None,121.0374953290011,None,1.67,15,123.08721227799833,None,1,1,123.08721227799833,None,You won $5.00!,5.0,1,11,0.32999999999999996,53.333333333333336,0.27643264887228725,"[0, 1]",83.33333333333333,9,3,None,,0.29285373199672904,,0.29285373199672904,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
SmallPun,2000,0,15,15,15,,125.1276948480081,None,2000,127.15493335999781,None,None,127.15493335999781,None,1.67,16,129.1889534140064,None,1,1,129.1889534140064,None,You did not lose $0.20!,5.0,5,12,0.29999999999999993,56.25,0.2775113647755158,[],83.33333333333333,12,3,None,,0.2861410920013441,Adjusting RT...,0.2861410920013441,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
LgPun,3000,0,16,16,16,,131.24447338900063,None,3000,133.27208698900358,None,1,133.27208698900358,None,1.7000000000000002,17,136.3072243409988,None,1,1,136.3072243409988,None,You did not lose $5.00!,5.0,4,13,0.29999999999999993,58.82352941176471,0.2753373785977601,[1],83.33333333333333,12,3,None,,0.25577150299795903,,0.25577150299795903,0.26502178399823606,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
SmallPun,1500,0,17,17,17,,138.345121063001,None,1500,140.37358851000317,None,None,140.37358851000317,None,1.7000000000000002,18,141.90691261200118,None,None,0,141.90691261200118,None,You lost $0.20!,4.8,5,14,0.29999999999999993,55.55555555555556,0.2753373785977601,"[1, 0]",83.33333333333333,12,3,1,0.16116754099493846,0.4611675409949384,,,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
LgReward,3000,0,18,18,18,,143.95680036800331,None,3000,145.99098290300753,None,1,145.99098290300753,None,1.7000000000000002,19,149.0403797080071,None,1,1,149.0403797080071,None,You won $5.00!,9.8,1,15,0.2799999999999999,57.89473684210527,0.27282717236084864,[],66.66666666666666,15,3,None,,0.24772510999173392,Adjusting RT...,0.24772510999173392,2.029118620994268,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
LgPun,4000,0,19,19,19,,151.07957212800102,None,4000,153.108745370002,None,1,153.108745370002,None,1.7200000000000002,20,157.14290973400057,None,None,0,157.14290973400057,None,You lost $5.00!,4.800000000000001,4,16,0.2799999999999999,55.00000000000001,0.27282717236084864,[0],66.66666666666666,15,3,1,0.006942184001673013,0.28694218400167293,,,2.9603514339978574,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
SmallReward,2500,0,20,20,20,,159.20947553700535,None,2500,161.24348761299916,None,1,161.24348761299916,None,1.7200000000000002,21,163.79299449099926,None,None,0,163.79299449099926,None,You did not win $0.20!,4.800000000000001,2,17,0.2799999999999999,52.38095238095239,0.27282717236084864,"[0, 0]",66.66666666666666,15,3,1,-0.005913533997954801,0.2740864660020451,,,1.251596486006747,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
LgPun,3500,0,21,21,21,,165.82974553499662,None,3500,167.86058642499847,None,None,167.86058642499847,None,1.7200000000000002,22,171.39413143100683,None,None,0,171.39413143100683,None,You lost $5.00!,-0.1999999999999993,4,18,0.3199999999999999,50.0,0.27282717236084864,[],33.33333333333333,18,3,1,0.021421389988972805,0.3414213899889727,Adjusting RT...,,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
Triangle,1500,0,22,22,22,,173.427234022005,None,1500,175.46170377900125,None,None,175.46170377900125,None,1.6800000000000002,23,176.9946697270061,None,None,0,176.9946697270061,None,You did not win or lose anything!,-0.1999999999999993,3,18,0.3199999999999999,47.82608695652174,0.27282717236084864,[],33.33333333333333,18,3,1,0.03151868599525187,0.35151868599525177,,,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
LgReward,2500,0,23,23,23,,179.04467098800524,None,2500,181.07854110200424,None,None,181.07854110200424,None,1.6800000000000002,24,183.62916201900225,None,1,1,183.62916201900225,None,You won $5.00!,4.800000000000001,1,19,0.3199999999999999,50.0,0.2707533101638546,[1],33.33333333333333,18,3,None,,0.24794082599692047,,0.24794082599692047,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
Triangle,1500,0,24,24,24,,185.66489925100177,None,1500,187.6964741240081,None,None,187.6964741240081,None,1.6800000000000002,25,189.22923669300508,None,None,0,189.22923669300508,None,You did not win or lose anything!,4.800000000000001,3,19,0.3199999999999999,48.0,0.2707533101638546,[1],33.33333333333333,18,3,1,0.07983916599187069,0.3998391659918706,,,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
Triangle,2000,0,25,25,25,,191.26498838899715,None,2000,193.2972289110039,None,None,193.2972289110039,None,1.6800000000000002,26,195.33036890700168,None,None,0,195.33036890700168,None,You did not win or lose anything!,4.800000000000001,3,19,0.3199999999999999,46.15384615384615,0.2707533101638546,[1],33.33333333333333,18,3,None,,0.3998391659918706,,,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
LgReward,4000,0,26,26,26,,197.38043308899796,None,4000,199.4143248670007,None,None,199.4143248670007,None,1.6800000000000002,27,203.46469218900893,None,1,1,203.46469218900893,None,You won $5.00!,9.8,1,20,0.3199999999999999,48.148148148148145,0.27003379353510143,"[1, 1]",33.33333333333333,18,3,None,,0.2613995939900633,,0.2613995939900633,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
Triangle,2500,0,27,27,27,,205.49995627200406,None,2500,207.53204501800064,None,None,207.53204501800064,None,1.6800000000000002,28,210.0653816450067,None,None,0,210.0653816450067,None,You did not win or lose anything!,9.8,3,20,0.3199999999999999,46.42857142857143,0.27003379353510143,"[1, 1]",33.33333333333333,18,3,1,0.020699936998425983,0.3406999369984259,,,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
SmallPun,2500,0,28,28,28,,212.10001818899764,None,2500,214.13364282700059,None,None,214.13364282700059,None,1.6800000000000002,29,216.66660196099838,None,None,0,216.66660196099838,None,You lost $0.20!,9.600000000000001,5,21,0.3599999999999999,44.827586206896555,0.27003379353510143,[],33.33333333333333,21,3,None,,0.3406999369984259,Adjusting RT...,,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
SmallReward,2000,0,29,29,29,,218.71642259501095,None,2000,220.75086939000175,None,None,220.75086939000175,None,1.6400000000000001,30,222.80065056600142,None,None,0,222.80065056600142,None,You did not win $0.20!,9.600000000000001,2,22,0.3599999999999999,43.333333333333336,0.27003379353510143,[0],33.33333333333333,21,3,1,0.013465854994137771,0.37346585499413765,,,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
LgReward,2000,0,30,30,30,,224.85075219300052,None,2000,226.8848593700095,None,None,226.8848593700095,None,1.6400000000000001,31,228.93423444200016,None,1,1,228.93423444200016,None,You won $5.00!,14.600000000000001,1,23,0.3599999999999999,45.16129032258064,0.2678782251397414,"[0, 1]",33.33333333333333,21,3,None,,0.23985583600006066,,0.23985583600006066,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
SmallPun,2000,0,31,31,31,,230.9851408770046,None,2000,233.01816277000762,None,None,233.01816277000762,None,1.6400000000000001,32,235.05087763200572,None,1,1,235.05087763200572,None,You did not lose $0.20!,14.600000000000001,5,24,0.33999999999999986,46.875,0.2680347316636471,[],66.66666666666666,24,3,None,,0.2702258229983272,Adjusting RT...,0.2702258229983272,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
SmallPun,1500,0,32,32,32,,237.10194325899647,None,1500,239.13499629600847,None,None,239.13499629600847,None,1.6600000000000001,33,240.66877726900566,None,None,0,240.66877726900566,None,You lost $0.20!,14.400000000000002,5,25,0.33999999999999986,45.45454545454545,0.2680347316636471,[0],66.66666666666666,24,3,1,-0.003613417997257784,0.3363865820027421,,,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
SmallReward,1500,0,33,33,33,,242.71831245100475,None,1500,244.7522066590027,None,None,244.7522066590027,None,1.6600000000000001,34,246.30165347600996,None,None,0,246.30165347600996,None,You did not win $0.20!,14.400000000000002,2,26,0.33999999999999986,44.11764705882353,0.2680347316636471,"[0, 0]",66.66666666666666,24,3,1,0.06760527699952945,0.4076052769995293,,,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
SmallReward,1500,0,34,34,34,,248.35239171799913,None,1500,250.38647252500232,None,None,250.38647252500232,None,1.6600000000000001,35,251.93626448900613,None,None,0,251.93626448900613,None,You did not win $0.20!,14.400000000000002,2,27,0.37999999999999984,42.857142857142854,0.2680347316636471,[],33.33333333333333,27,3,None,,0.4076052769995293,Adjusting RT...,,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
LgPun,1500,0,35,35,35,,253.95287731400458,None,1500,255.98611182700552,None,None,255.98611182700552,None,1.62,36,257.5189762920054,None,1,1,257.5189762920054,None,You did not lose $5.00!,14.400000000000002,4,28,0.37999999999999984,44.44444444444444,0.2679073134349892,[1],33.33333333333333,27,3,None,,0.26599604000512045,,0.26599604000512045,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
SmallReward,4000,0,36,36,36,,259.5867646350089,None,4000,261.6198169749987,None,None,261.6198169749987,None,1.62,37,265.67041732900543,None,1,1,265.67041732900543,None,You won $0.20!,14.600000000000001,2,29,0.37999999999999984,45.94594594594595,0.26724679576257,"[1, 1]",33.33333333333333,27,3,None,,0.25667851300386246,,0.25667851300386246,,014,Scanner,2,2019_Sep_08_1512,MID,3.1.5,60.008689738354825,
