Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,feedback_resp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
Triangle,2000,0,0,0,0,TimeVersion9.csv,32.01166012999602,None,2000,34.03674569900613,None,None,34.03674569900613,None,1.62,1,36.07845018198714,None,1,1,0.33441604499239475,36.07845018198714,None,You did not win or lose anything!,0,3,0,0.38,100.0,0.33441604499239475,[],0,0,3,None,0.33441604499239475,,,,020,Scanner,2,2019_Sep_02_1113,MID,3.1.5,59.93777510752064,
Triangle,1500,0,1,1,1,,38.12776137597393,None,1500,40.15459994401317,None,None,40.15459994401317,None,1.62,2,41.69489732402144,None,None,0,,41.69489732402144,None,You did not win or lose anything!,0,3,0,0.38,50.0,0.33441604499239475,[],0,0,3,1,0.4096268010279164,0.029626801027916372,,,020,Scanner,2,2019_Sep_02_1113,MID,3.1.5,59.93777510752064,
LgPun,2500,0,2,2,2,,43.74558561696904,None,2500,45.77194717997918,None,None,45.77194717997918,None,1.62,3,48.31222767196596,None,1,1,0.26361514296149835,48.31222767196596,None,You did not lose $5.00!,0,4,1,0.38,66.66666666666666,0.29901559397694655,[1],0,0,3,None,0.26361514296149835,,,,020,Scanner,2,2019_Sep_02_1113,MID,3.1.5,59.93777510752064,
Triangle,1500,0,3,3,3,,50.36281968001276,None,1500,52.38993234396912,None,None,52.38993234396912,None,1.62,4,53.929042770003434,None,None,0,,53.929042770003434,None,You did not win or lose anything!,0,3,1,0.38,50.0,0.29901559397694655,[1],0,0,3,1,0.36936413001501933,-0.010635869984980673,,,020,Scanner,2,2019_Sep_02_1113,MID,3.1.5,59.93777510752064,
LgReward,1500,0,4,4,4,,55.99043588299537,None,1500,58.02280375198461,None,None,58.02280375198461,None,1.62,5,59.57368566899095,None,None,0,,59.57368566899095,None,You did not win $5.00!,0,1,2,0.38,40.0,0.29901559397694655,"[1, 0]",0,0,3,None,0.36936413001501933,,,,020,Scanner,2,2019_Sep_02_1113,MID,3.1.5,59.93777510752064,
SmallPun,1500,0,5,5,5,,61.613067505008075,None,1500,63.64059385797009,None,None,63.64059385797009,None,1.62,6,65.18062308098888,None,1,1,0.2783443540101871,65.18062308098888,None,You did not lose $0.20!,0,5,3,0.36,50.0,0.2921251806546934,[],66.66666666666666,3,3,None,0.2783443540101871,,Adjusting RT...,,020,Scanner,2,2019_Sep_02_1113,MID,3.1.5,59.93777510752064,
LgPun,4000,0,6,6,6,,67.23000088101253,None,4000,69.25849340198329,None,None,69.25849340198329,None,1.6400000000000001,7,73.2923367950134,None,1,1,0.28951037902152166,73.2923367950134,None,You did not lose $5.00!,0,4,4,0.36,57.14285714285714,0.29147148024640046,[1],66.66666666666666,3,3,None,0.28951037902152166,,,,020,Scanner,2,2019_Sep_02_1113,MID,3.1.5,59.93777510752064,
Triangle,3500,0,7,7,7,,75.34664997900836,None,3500,77.37577147001866,None,None,77.37577147001866,None,1.6400000000000001,8,80.90984899800969,None,1,1,0.2571043139905669,80.90984899800969,None,You did not win or lose anything!,0,3,4,0.36,62.5,0.2845980469952337,[1],66.66666666666666,3,3,None,0.2571043139905669,,,,020,Scanner,2,2019_Sep_02_1113,MID,3.1.5,59.93777510752064,
SmallReward,2500,0,8,8,8,,82.96456299501006,None,2500,84.99428325501503,None,None,84.99428325501503,None,1.6400000000000001,9,87.54400726599852,None,1,1,0.2939290680224076,87.54400726599852,None,You won $0.20!,0.2,2,5,0.36,66.66666666666666,0.2861532171664294,"[1, 1]",66.66666666666666,3,3,None,0.2939290680224076,,,,020,Scanner,2,2019_Sep_02_1113,MID,3.1.5,59.93777510752064,
LgPun,2000,0,9,9,9,,89.5820664789644,None,2000,91.61102729500271,None,None,91.61102729500271,None,1.6400000000000001,10,93.64452084200457,None,1,1,0.2654530470026657,93.64452084200457,None,You did not lose $5.00!,0.2,4,6,0.32999999999999996,70.0,0.28319605000017745,[],83.33333333333333,6,3,None,0.2654530470026657,,Adjusting RT...,,020,Scanner,2,2019_Sep_02_1113,MID,3.1.5,59.93777510752064,
SmallPun,1500,0,10,10,10,,95.69864463497652,None,1500,97.72849468002096,None,None,97.72849468002096,None,1.67,11,99.2618840939831,None,None,0,,99.2618840939831,None,You lost $0.20!,0.0,5,7,0.32999999999999996,63.63636363636363,0.28319605000017745,[0],83.33333333333333,6,3,1,0.6820721499808132,0.35207214998081326,,,020,Scanner,2,2019_Sep_02_1113,MID,3.1.5,59.93777510752064,
SmallReward,3000,0,11,11,11,,101.31203528802143,None,3000,103.34644498396665,None,None,103.34644498396665,None,1.67,12,106.39599537296453,None,None,0,,106.39599537296453,None,You did not win $0.20!,0.0,2,8,0.32999999999999996,58.333333333333336,0.28319605000017745,"[0, 0]",83.33333333333333,6,3,1,0.3465021540015004,0.016502154001500458,,,020,Scanner,2,2019_Sep_02_1113,MID,3.1.5,59.93777510752064,
LgPun,1500,0,12,12,12,,108.43291962199146,None,1500,110.46355203300482,None,None,110.46355203300482,None,1.67,13,111.99739107198548,None,None,0,,111.99739107198548,None,You lost $5.00!,-5.0,4,9,0.35,53.84615384615385,0.28319605000017745,[],50.0,9,3,1,0.4108028789865784,0.060802878986578435,Adjusting RT...,,020,Scanner,2,2019_Sep_02_1113,MID,3.1.5,59.93777510752064,
SmallReward,1500,0,13,13,13,,114.04672115301946,None,1500,116.08134804398287,None,None,116.08134804398287,None,1.65,14,117.63091165496735,None,1,1,0.2310300570097752,117.63091165496735,None,You won $0.20!,-4.8,2,10,0.35,57.14285714285714,0.27667530087637715,[1],50.0,9,3,None,0.2310300570097752,,,,020,Scanner,2,2019_Sep_02_1113,MID,3.1.5,59.93777510752064,
SmallReward,2000,0,14,14,14,,119.68142393801827,None,2000,121.71582235198002,None,None,121.71582235198002,None,1.65,15,123.76490084500983,None,None,0,,123.76490084500983,None,You did not win $0.20!,-4.8,2,11,0.35,53.333333333333336,0.27667530087637715,"[1, 0]",50.0,9,3,None,0.2310300570097752,,,,020,Scanner,2,2019_Sep_02_1113,MID,3.1.5,59.93777510752064,
LgPun,2000,0,15,15,15,,125.80043051898247,None,2000,127.83268359699287,None,None,127.83268359699287,None,1.65,16,129.86600293498486,None,1,1,0.2538766789948568,129.86600293498486,None,You did not lose $5.00!,-4.8,4,12,0.38999999999999996,56.25,0.27414212066731936,[],33.33333333333333,12,3,None,0.2538766789948568,,Adjusting RT...,,020,Scanner,2,2019_Sep_02_1113,MID,3.1.5,59.93777510752064,
Triangle,2500,0,16,16,16,,131.90075072902255,None,2500,133.93320746801328,None,None,133.93320746801328,None,1.61,17,136.4662771319854,None,1,1,0.2286746590398252,136.4662771319854,None,You did not win or lose anything!,-4.8,3,12,0.38999999999999996,58.82352941176471,0.26959537450456994,[],33.33333333333333,12,3,None,0.2286746590398252,,,,020,Scanner,2,2019_Sep_02_1113,MID,3.1.5,59.93777510752064,
LgPun,1500,0,17,17,17,,138.50096670602215,None,1500,140.53482764802175,None,None,140.53482764802175,None,1.61,18,142.067286475969,None,1,1,0.3185257980367169,142.067286475969,None,You did not lose $5.00!,-4.8,4,13,0.38999999999999996,61.111111111111114,0.2740435948256742,[1],33.33333333333333,12,3,None,0.3185257980367169,,,,020,Scanner,2,2019_Sep_02_1113,MID,3.1.5,59.93777510752064,
LgReward,3500,0,18,18,18,,144.11781753698597,None,3500,146.15229410800384,None,1,146.15229410800384,None,1.61,19,149.7015900670085,None,1,1,0.25837090896675363,149.7015900670085,None,You won $5.00!,0.20000000000000018,1,14,0.38999999999999996,63.1578947368421,0.27273753767076414,"[1, 1]",33.33333333333333,12,3,None,0.25837090896675363,,,2.8426956640323624,020,Scanner,2,2019_Sep_02_1113,MID,3.1.5,59.93777510752064,
LgReward,1500,0,19,19,19,,151.75217071099905,None,1500,153.78563444700558,None,None,153.78563444700558,None,1.61,20,155.33569627796533,None,None,0,,155.33569627796533,None,You did not win $5.00!,0.20000000000000018,1,15,0.36999999999999994,60.0,0.27273753767076414,[],66.66666666666666,15,3,1,0.6099419739958829,0.23994197399588302,Adjusting RT...,,020,Scanner,2,2019_Sep_02_1113,MID,3.1.5,59.93777510752064,
