Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,fixationResp.rt,probeResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,14,14,14,,130.35117398500006,None,2000,132.38363614300033,None,None,132.38363614300033,None,1.7200000000000002,15,134.43302361600217,None,1,1,134.43302361600217,None,You won $0.20!,0.2,2,11,0.2799999999999999,53.333333333333336,0.2621330986248722,"[0, 1]",83.33333333333333,9,3,None,,0.25043525899673114,,0.25043525899673114,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
LgPun,2000,0,15,15,15,,136.46769698100252,None,2000,138.50071174299956,None,None,138.50071174299956,None,1.7200000000000002,16,140.5346833700023,None,1,1,140.5346833700023,None,You did not lose $5.00!,0.2,4,12,0.2599999999999999,56.25,0.2582021465552518,[],66.66666666666666,12,3,None,,0.2267545299982885,,0.2267545299982885,Adjusting RT...,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
Triangle,2500,0,16,16,16,,142.5843022830013,None,2500,144.61866438900324,None,None,144.61866438900324,None,1.7400000000000002,17,147.15148187299928,None,1,1,147.15148187299928,None,You did not win or lose anything!,0.2,3,12,0.2599999999999999,58.82352941176471,0.25556452119926687,[],66.66666666666666,12,3,None,,0.23182589299540268,,0.23182589299540268,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
LgPun,1500,0,17,17,17,,149.2044350990036,None,1500,151.23629896200146,None,None,151.23629896200146,None,1.7400000000000002,18,152.7689621690006,None,None,0,152.7689621690006,None,You lost $5.00!,-4.8,4,13,0.2599999999999999,55.55555555555556,0.25556452119926687,[0],66.66666666666666,12,3,1,0.015414230001624674,0.27541423000162457,,,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
LgReward,3500,0,18,18,18,,154.83595958800288,None,3500,156.86993126100424,None,None,156.86993126100424,None,1.7400000000000002,19,160.41969724099908,None,None,0,160.41969724099908,None,You did not win $5.00!,-4.8,1,14,0.2599999999999999,52.63157894736842,0.25556452119926687,"[0, 0]",66.66666666666666,12,3,1,-0.0002940839985967614,0.25970591600140314,,,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
LgReward,1500,0,19,19,19,,162.4704131210019,None,1500,164.504623189001,None,None,164.504623189001,None,1.7400000000000002,20,166.05403877900244,None,None,0,166.05403877900244,None,You did not win $5.00!,-4.8,1,15,0.2999999999999999,50.0,0.25556452119926687,[],33.33333333333333,15,3,1,0.035135975005687214,0.3351359750056871,,,Adjusting RT...,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
LgPun,3000,0,20,20,20,,168.08911533599894,None,3000,170.12084717299877,None,None,170.12084717299877,None,1.7000000000000002,21,173.1550244090031,None,1,1,173.1550244090031,None,You did not lose $5.00!,-4.8,4,16,0.2999999999999999,52.38095238095239,0.25618537036313105,[1],33.33333333333333,15,3,None,,0.2623938620017725,,0.2623938620017725,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
SmallPun,2000,0,21,21,21,,175.18958300100348,None,2000,177.22257032600464,None,None,177.22257032600464,None,1.7000000000000002,22,179.2561343250054,None,None,0,179.2561343250054,None,You lost $0.20!,-5.0,5,17,0.2999999999999999,50.0,0.25618537036313105,"[1, 0]",33.33333333333333,15,3,None,,0.2623938620017725,,,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
SmallReward,3500,0,22,22,22,,181.30653857000289,None,3500,183.34018347800156,None,None,183.34018347800156,None,1.7000000000000002,23,186.89055193700187,None,None,0,186.89055193700187,None,You did not win $0.20!,-5.0,2,18,0.34999999999999987,47.82608695652174,0.25618537036313105,[],16.666666666666664,18,3,1,-0.0028404659969964996,0.34715953400300337,,,Adjusting RT...,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
LgReward,2500,0,23,23,23,,188.93960959499964,None,2500,190.9739305050025,None,None,190.9739305050025,None,1.6500000000000001,24,193.52388837100443,None,None,0,193.52388837100443,None,You did not win $5.00!,-5.0,1,19,0.34999999999999987,45.83333333333333,0.25618537036313105,[0],16.666666666666664,18,3,1,-0.009128860001510475,0.3408711399984894,,,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
SmallReward,4000,0,24,24,24,,195.5744662770012,None,4000,197.60767099000077,None,None,197.60767099000077,None,1.6500000000000001,25,201.65702631800377,None,1,1,201.65702631800377,None,You won $0.20!,-4.8,2,20,0.34999999999999987,48.0,0.25778659299976425,"[0, 1]",16.666666666666664,18,3,None,,0.2754000420027296,,0.2754000420027296,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
SmallPun,4000,0,25,25,25,,203.69175794500188,None,4000,205.72536742300144,None,None,205.72536742300144,None,1.6500000000000001,26,209.7586169730057,None,1,1,209.7586169730057,None,You did not lose $0.20!,-4.8,5,21,0.3699999999999999,50.0,0.2579415813843997,[],49.99999999999999,21,3,None,,0.2598014420000254,,0.2598014420000254,Adjusting RT...,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
LgReward,2000,0,26,26,26,,211.80795694699918,None,2000,213.84259454700077,None,None,213.84259454700077,None,1.6300000000000001,27,215.90836185300577,None,1,1,215.90836185300577,None,You won $5.00!,0.20000000000000018,1,22,0.3699999999999999,51.85185185185185,0.26073871314292774,[1],49.99999999999999,21,3,None,,0.29710142600379186,,0.29710142600379186,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
LgReward,3000,0,27,27,27,,217.95954659400013,None,3000,219.99249512600363,None,None,219.99249512600363,None,1.6300000000000001,28,223.04293608000444,None,1,1,223.04293608000444,None,You won $5.00!,5.2,1,23,0.3699999999999999,53.57142857142857,0.2601885388668355,"[1, 1]",49.99999999999999,21,3,None,,0.25248609900154406,,0.25248609900154406,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
Triangle,4000,0,28,28,28,,225.07640383300168,None,4000,227.11025599900313,None,None,227.11025599900313,None,1.6300000000000001,29,231.1425454170021,None,None,0,231.1425454170021,None,You did not win or lose anything!,5.2,3,23,0.3699999999999999,51.724137931034484,0.2601885388668355,"[1, 1]",49.99999999999999,21,3,1,0.04116765900107566,0.41116765900107555,,,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
LgPun,1500,0,29,29,29,,233.17677828999877,None,1500,235.21000985400315,None,None,235.21000985400315,None,1.6300000000000001,30,236.7434276260028,None,1,1,236.7434276260028,None,You did not lose $5.00!,5.2,4,24,0.33999999999999986,53.333333333333336,0.25854443662547055,[],83.33333333333333,24,3,None,,0.23388290300499648,,0.23388290300499648,Adjusting RT...,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
SmallReward,1500,0,30,30,30,,238.79409004100307,None,1500,240.82739864299947,None,None,240.82739864299947,None,1.6600000000000001,31,242.37755136600026,None,None,0,242.37755136600026,None,You did not win $0.20!,5.2,2,25,0.33999999999999986,51.61290322580645,0.25854443662547055,[0],83.33333333333333,24,3,1,0.23794498200004455,0.5779449820000444,,,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
LgReward,1500,0,31,31,31,,244.42722187600157,None,1500,246.46148413800256,None,1,246.46148413800256,None,1.6600000000000001,32,248.015098503005,None,None,0,248.015098503005,None,You did not win $5.00!,5.2,1,26,0.33999999999999986,50.0,0.25854443662547055,"[0, 0]",83.33333333333333,24,3,None,,0.5779449820000444,0.2838224799997988,,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
LgReward,4000,0,32,32,32,,250.07807205300196,None,4000,252.11127230800048,None,None,252.11127230800048,None,1.6600000000000001,33,256.16543776300387,None,1,1,256.16543776300387,None,You won $5.00!,10.2,1,27,0.31999999999999984,51.515151515151516,0.26045350005904977,[],66.66666666666666,27,3,None,,0.2909985149963177,,0.2909985149963177,Adjusting RT...,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
SmallPun,3500,0,33,33,33,,258.211814979004,None,3500,260.2458196410007,None,None,260.2458196410007,None,1.6800000000000002,34,263.77916544700565,None,None,0,263.77916544700565,None,You lost $0.20!,10.0,5,28,0.31999999999999984,50.0,0.26045350005904977,[0],66.66666666666666,27,3,None,,0.2909985149963177,,,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
Triangle,1500,0,34,34,34,,265.81253411299986,None,1500,267.8454477730047,None,None,267.8454477730047,None,1.6800000000000002,35,269.37857475200144,None,None,0,269.37857475200144,None,You did not win or lose anything!,10.0,3,28,0.31999999999999984,48.57142857142857,0.26045350005904977,[0],66.66666666666666,27,3,None,,0.2909985149963177,,,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
Triangle,2000,0,35,35,35,,271.4122479100042,None,2000,273.43522717900487,None,None,273.43522717900487,None,1.6800000000000002,36,275.47949679800513,None,None,0,275.47949679800513,None,You did not win or lose anything!,10.0,3,28,0.31999999999999984,47.22222222222222,0.26045350005904977,[0],66.66666666666666,27,3,None,,0.2909985149963177,,,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
SmallPun,2000,0,36,36,36,,277.5132378010021,None,2000,279.54713622900454,None,None,279.54713622900454,None,1.6800000000000002,37,281.5795109969986,None,1,1,281.5795109969986,None,You did not lose $0.20!,10.0,5,29,0.31999999999999984,48.64864864864865,0.2608129539447772,"[0, 1]",66.66666666666666,27,3,None,,0.2669236700021429,,0.2669236700021429,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
LgPun,1500,0,37,37,37,,283.6132365240046,None,1500,285.6363575159994,None,None,285.6363575159994,None,1.6800000000000002,38,287.180260041001,None,1,1,287.180260041001,None,You did not lose $5.00!,10.0,4,30,0.33999999999999986,50.0,0.26130445157890025,[],49.99999999999999,30,3,None,,0.2701514089931152,,0.2701514089931152,Adjusting RT...,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
LgPun,3500,0,38,38,38,,289.21383523799886,None,3500,291.2379055909987,None,None,291.2379055909987,None,1.6600000000000001,39,294.78125828700286,None,1,1,294.78125828700286,None,You did not lose $5.00!,10.0,4,31,0.33999999999999986,51.28205128205128,0.2622906305001379,[1],49.99999999999999,30,3,None,,0.28102803000365384,,0.28102803000365384,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
SmallPun,3000,0,39,39,39,,296.7978017409987,None,3000,298.82251829899906,None,None,298.82251829899906,None,1.6600000000000001,40,301.86435121700197,None,1,1,301.86435121700197,None,You did not lose $0.20!,10.0,5,32,0.33999999999999986,52.5,0.2629483140477705,"[1, 1]",49.99999999999999,30,3,None,,0.27610198500042316,,0.27610198500042316,,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
LgReward,2000,0,40,40,40,,303.89837519499997,None,2000,305.9321257039992,None,None,305.9321257039992,None,1.6600000000000001,41,307.97320480000053,None,1,1,307.97320480000053,None,You won $5.00!,15.0,1,33,0.30999999999999983,53.65853658536586,0.2621416363637598,[],83.33333333333333,33,3,None,,0.24520140499953413,,0.24520140499953413,Adjusting RT...,003,Scanner,1,2019_Sep_07_1130,MID,3.1.5,60.175054770417404,
