trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,cue,probe,feedbackText,jitter,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,2.619,space,1.7748670680157375,,,2,001,2019_Apr_08_1128,MID,3.0.7,59.87215713197738,
,,,,,,,2.776,,,space,7.072158251015935,,,,,,,
