Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,3000,0,14,14,14,,126.83193156999914,None,3000,128.86564332999842,None,None,128.86564332999842,None,1.59,15,131.91626189200178,None,1,1,131.91626189200178,None,You won $5.00!,4.8,1,11,0.40999999999999986,40.0,0.30094157266648836,"[1, 1]",33.33333333333333,9,3,None,,0.29779200199845945,0.29779200199845945,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
SmallPun,1500,0,15,15,15,,133.93254111699935,None,1500,135.9661725190017,None,None,135.9661725190017,None,1.59,16,137.50039203099732,None,None,0,137.50039203099732,None,You lost $0.20!,4.6,5,12,0.44999999999999984,37.5,0.30094157266648836,[],33.33333333333333,12,3,1,0.10151748600037536,0.5515174860003752,,Adjusting RT...,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
SmallReward,1500,0,16,16,16,,139.566548513998,None,1500,141.60063072499906,None,None,141.60063072499906,None,1.5500000000000003,17,143.14968185500038,None,1,1,143.14968185500038,None,You won $0.20!,4.8,2,13,0.44999999999999984,41.17647058823529,0.3101407308568014,[1],33.33333333333333,12,3,None,,0.36533567999867955,0.36533567999867955,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
LgReward,1500,0,17,17,17,,145.21722921499895,None,1500,147.23391438100225,None,None,147.23391438100225,None,1.5500000000000003,18,148.7836927199969,None,1,1,148.7836927199969,None,You won $5.00!,9.8,1,14,0.44999999999999984,44.44444444444444,0.3079223227496186,"[1, 1]",33.33333333333333,12,3,None,,0.29239346599933924,0.29239346599933924,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
SmallPun,2000,0,18,18,18,,150.81685601700156,None,2000,152.8508351269993,None,None,152.8508351269993,None,1.5500000000000003,19,154.8840511679955,None,1,1,154.8840511679955,None,You did not lose $0.20!,9.8,5,15,0.4199999999999998,47.368421052631575,0.3091481016664248,[],83.33333333333333,15,3,None,,0.3189543330008746,0.3189543330008746,Adjusting RT...,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
SmallReward,1500,0,19,19,19,,156.9340192019954,None,1500,158.96824668299814,None,None,158.96824668299814,None,1.58,20,160.51750729199557,None,None,0,160.51750729199557,None,You did not win $0.20!,9.8,2,16,0.4199999999999998,45.0,0.3091481016664248,[0],83.33333333333333,15,3,None,,0.3189543330008746,,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
LgPun,1500,0,20,20,20,,162.55190679899533,None,1500,164.58535764699627,None,None,164.58535764699627,None,1.58,21,166.1184902909954,None,None,0,166.1184902909954,None,You lost $5.00!,4.800000000000001,4,17,0.4199999999999998,42.857142857142854,0.3091481016664248,"[0, 0]",83.33333333333333,15,3,1,0.04629353599739261,0.4662935359973924,,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
LgReward,3500,0,21,21,21,,168.16855225299514,None,3500,170.20193496799766,None,None,170.20193496799766,None,1.58,22,173.75172935299634,None,1,1,173.75172935299634,None,You won $5.00!,9.8,1,18,0.3999999999999998,45.45454545454545,0.3073690452998562,[],66.66666666666666,18,3,None,,0.2913575380007387,0.2913575380007387,Adjusting RT...,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
LgPun,3500,0,22,22,22,,175.78533147399867,None,3500,177.81972419499652,None,None,177.81972419499652,None,1.6,23,181.35251061099552,None,1,1,181.35251061099552,None,You did not lose $5.00!,9.8,4,19,0.3999999999999998,47.82608695652174,0.3067504382726673,[1],66.66666666666666,18,3,None,,0.3005643680007779,0.3005643680007779,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
LgReward,1500,0,23,23,23,,183.40273370799696,None,1500,185.43666708999808,None,None,185.43666708999808,None,1.6,24,186.98662556699855,None,None,0,186.98662556699855,None,You did not win $5.00!,9.8,1,20,0.3999999999999998,45.83333333333333,0.3067504382726673,"[1, 0]",66.66666666666666,18,3,1,-0.005651504005072638,0.39434849599492716,,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
Triangle,2000,0,24,24,24,,189.0202798140017,None,2000,191.05374717000086,None,None,191.05374717000086,None,1.6,25,193.0870512670008,None,None,0,193.0870512670008,None,You did not win or lose anything!,9.8,3,20,0.3999999999999998,44.0,0.3067504382726673,"[1, 0]",66.66666666666666,18,3,None,,0.39434849599492716,,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
Triangle,2500,0,25,25,25,,195.11996376099705,None,2500,197.1543583609964,None,None,197.1543583609964,None,1.6,26,199.68694436399528,None,1,1,199.68694436399528,None,You did not win or lose anything!,9.8,3,20,0.3999999999999998,46.15384615384615,0.3065302616663151,"[1, 0]",66.66666666666666,18,3,None,,0.3041083189964411,0.3041083189964411,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
SmallPun,2500,0,26,26,26,,201.72072112099704,None,2500,203.75478939599998,None,None,203.75478939599998,None,1.6,27,206.28756612399593,None,1,1,206.28756612399593,None,You did not lose $0.20!,9.8,5,21,0.4199999999999998,48.148148148148145,0.3088265480764676,[],49.99999999999999,21,3,None,,0.3363819849982974,0.3363819849982974,Adjusting RT...,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
SmallReward,1500,0,27,27,27,,208.337955367002,None,1500,210.37194780499703,None,None,210.37194780499703,None,1.58,28,211.92160693999904,None,1,1,211.92160693999904,None,You won $0.20!,10.0,2,22,0.4199999999999998,50.0,0.31065121199987644,[1],49.99999999999999,21,3,None,,0.33437184300419176,0.33437184300419176,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
LgPun,3000,0,28,28,28,,213.95508003699797,None,3000,215.98857316099748,None,None,215.98857316099748,None,1.58,29,219.02134881999518,None,1,1,219.02134881999518,None,You did not lose $5.00!,10.0,4,23,0.4199999999999998,51.724137931034484,0.3107135113333546,"[1, 1]",49.99999999999999,21,3,None,,0.3115857020020485,0.3115857020020485,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
LgReward,2000,0,29,29,29,,221.0620602919953,None,2000,223.09597008700075,None,None,223.09597008700075,None,1.58,30,225.14637465099804,None,None,0,225.14637465099804,None,You did not win $5.00!,10.0,1,24,0.3999999999999998,50.0,0.3107135113333546,[],66.66666666666666,24,3,1,0.11126941800466739,0.5112694180046672,,Adjusting RT...,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
SmallReward,1500,0,30,30,30,,227.20592683099676,None,1500,229.2387988229966,None,None,229.2387988229966,None,1.6,31,230.78006072699645,None,None,0,230.78006072699645,None,You did not win $0.20!,10.0,2,25,0.3999999999999998,48.38709677419355,0.3107135113333546,[0],66.66666666666666,24,3,None,,0.5112694180046672,,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
LgReward,4000,0,31,31,31,,232.83064994999586,None,4000,234.863253153002,None,None,234.863253153002,None,1.6,32,238.9146427529995,None,1,1,238.9146427529995,None,You won $5.00!,15.0,1,26,0.3999999999999998,50.0,0.311261002187166,"[0, 1]",66.66666666666666,24,3,None,,0.3194733649943373,0.3194733649943373,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
LgPun,1500,0,32,32,32,,240.956493382997,None,1500,242.9815973730001,None,None,242.9815973730001,None,1.6,33,244.52300598299917,None,None,0,244.52300598299917,None,You lost $5.00!,10.0,4,27,0.4199999999999998,48.484848484848484,0.311261002187166,[],49.99999999999999,27,3,1,0.35177602199837565,0.7717760219983755,,Adjusting RT...,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
LgPun,4000,0,33,33,33,,246.55695430999913,None,4000,248.58188517700182,None,None,248.58188517700182,None,1.58,34,252.62389707799593,None,1,1,252.62389707799593,None,You did not lose $5.00!,10.0,4,28,0.4199999999999998,50.0,0.3143167957643848,[1],49.99999999999999,27,3,None,,0.3632094929998857,0.3632094929998857,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
SmallPun,1500,0,34,34,34,,254.65798562300188,None,1500,256.6829276040007,None,None,256.6829276040007,None,1.58,35,258.22480721199827,None,None,0,258.22480721199827,None,You lost $0.20!,9.8,5,29,0.4199999999999998,48.57142857142857,0.3143167957643848,"[1, 0]",49.99999999999999,27,3,1,0.2899066509999102,0.70990665099991,,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
LgPun,2000,0,35,35,35,,260.2580504200014,None,2000,262.28391410900076,None,None,262.28391410900076,None,1.58,36,264.32414533299743,None,None,0,264.32414533299743,None,You lost $5.00!,4.800000000000001,4,30,0.4599999999999998,47.22222222222222,0.3143167957643848,[],33.33333333333333,30,3,1,0.003023133998794947,0.46302313399879474,,Adjusting RT...,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
Triangle,3000,0,36,36,36,,266.35825273500086,None,3000,268.3848568559988,None,None,268.3848568559988,None,1.5400000000000003,37,271.41980024299846,None,1,1,271.41980024299846,None,You did not win or lose anything!,4.800000000000001,3,30,0.4599999999999998,48.64864864864865,0.31381592166629463,[],33.33333333333333,30,3,None,,0.3053010619987617,0.3053010619987617,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
Triangle,1500,0,37,37,37,,273.4752301339977,None,1500,275.5025691010014,None,None,275.5025691010014,None,1.5400000000000003,38,277.0422695660018,None,1,1,277.0422695660018,None,You did not win or lose anything!,4.800000000000001,3,30,0.4599999999999998,50.0,0.31418251542077325,[],33.33333333333333,30,3,None,,0.32078120300138835,0.32078120300138835,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
SmallReward,2500,0,38,38,38,,279.08569627199904,None,2500,281.11949623200053,None,None,281.11949623200053,None,1.5400000000000003,39,283.67002424499515,None,None,0,283.67002424499515,None,You did not win $0.20!,4.800000000000001,2,31,0.4599999999999998,48.717948717948715,0.31418251542077325,[0],33.33333333333333,30,3,1,0.19132517699472373,0.6513251769947235,,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
Triangle,1500,0,39,39,39,,285.7093960909988,None,1500,287.73670811099873,None,None,287.73670811099873,None,1.5400000000000003,40,289.2756989080008,None,None,0,289.2756989080008,None,You did not win or lose anything!,4.800000000000001,3,31,0.4599999999999998,47.5,0.31418251542077325,[0],33.33333333333333,30,3,None,,0.6513251769947235,,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
Triangle,3500,0,40,40,40,,291.3269292900004,None,3500,293.3546549859966,None,None,293.3546549859966,None,1.5400000000000003,41,296.8934939729952,None,1,1,296.8934939729952,None,You did not win or lose anything!,4.800000000000001,3,31,0.4599999999999998,48.78048780487805,0.3142023187996529,[0],33.33333333333333,30,3,None,,0.31457858299836516,0.31457858299836516,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
LgPun,1500,0,41,41,41,,298.9434827619989,None,1500,300.97257000800164,None,None,300.97257000800164,None,1.5400000000000003,42,302.505819471,None,None,0,302.505819471,None,You lost $5.00!,-0.1999999999999993,4,32,0.4599999999999998,47.61904761904761,0.3142023187996529,"[0, 0]",33.33333333333333,30,3,None,,0.31457858299836516,,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
SmallPun,3500,0,42,42,42,,304.56083518899686,None,3500,306.59009408499696,None,None,306.59009408499696,None,1.5400000000000003,43,310.12742956500006,None,1,1,310.12742956500006,None,You did not lose $0.20!,-0.1999999999999993,5,33,0.4999999999999998,48.837209302325576,0.31784290933310766,[],33.33333333333333,33,3,None,,0.39065472000220325,0.39065472000220325,Adjusting RT...,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
LgReward,1500,0,43,43,43,,312.19041351899796,None,1500,314.2241311589969,None,None,314.2241311589969,None,1.5000000000000002,44,315.77391963300033,None,1,1,315.77391963300033,None,You won $5.00!,4.800000000000001,1,34,0.4999999999999998,50.0,0.32171612413598766,[1],33.33333333333333,33,3,None,,0.40305363499646774,0.40305363499646774,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
SmallReward,2000,0,44,44,44,,317.823992534999,None,2000,319.8585020190003,None,None,319.8585020190003,None,1.5000000000000002,45,321.908500436999,None,1,1,321.908500436999,None,You won $0.20!,5.000000000000001,2,35,0.4999999999999998,51.11111111111111,0.3231892596083091,"[1, 1]",33.33333333333333,33,3,None,,0.3555982399993809,0.3555982399993809,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
LgPun,2000,0,45,45,45,,323.9415605739996,None,2000,325.9748059920021,None,None,325.9748059920021,None,1.5000000000000002,46,328.00933033099864,None,1,1,328.00933033099864,None,You did not lose $5.00!,5.000000000000001,4,36,0.47999999999999976,52.17391304347826,0.3216305088744775,[],66.66666666666666,36,3,None,,0.28577924199635163,0.28577924199635163,Adjusting RT...,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
SmallReward,3500,0,46,46,46,,330.0591887490009,None,3500,332.07628132999525,None,None,332.07628132999525,None,1.5200000000000002,47,335.6262218769989,None,None,0,335.6262218769989,None,You did not win $0.20!,5.000000000000001,2,37,0.47999999999999976,51.06382978723404,0.3216305088744775,[0],66.66666666666666,36,3,1,0.1729480100038927,0.6529480100038925,,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
SmallPun,2000,0,47,47,47,,337.6625986040017,None,2000,339.6939067650019,None,None,339.6939067650019,None,1.5200000000000002,48,341.7275246770005,None,None,0,341.7275246770005,None,You lost $0.20!,4.800000000000001,5,38,0.47999999999999976,50.0,0.3216305088744775,"[0, 0]",66.66666666666666,36,3,1,0.010725938001996838,0.4907259380019966,,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
LgReward,1500,0,48,48,48,,343.77756122699793,None,1500,345.81187582099665,None,None,345.81187582099665,None,1.5200000000000002,49,347.36192150699935,None,1,1,347.36192150699935,None,You won $5.00!,9.8,1,39,0.45999999999999974,51.02040816326531,0.32397104315954495,[],66.66666666666666,39,3,None,,0.3801438660011627,0.3801438660011627,Adjusting RT...,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
SmallPun,4000,0,49,49,49,,349.3965758339982,None,4000,351.4289370350016,None,None,351.4289370350016,None,1.5400000000000003,50,355.46275505099766,None,1,1,355.46275505099766,None,You did not lose $0.20!,9.8,5,40,0.45999999999999974,52.0,0.3247167705381938,[1],66.66666666666666,39,3,None,,0.3433599550044164,0.3433599550044164,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,Scanner,2,2019_Sep_07_0936,MID,3.1.5,60.39808948716586,
