Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,fixationResp.rt,probeResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,1500,0,0,0,0,TimeVersion12.csv,34.65803630196024,None,1500,36.68155119597213,None,None,36.68155119597213,None,1.6,1,38.22473540098872,None,None,0,38.22473540098872,None,You lost $0.20!,-0.2,5,1,0.3999999999999999,0.0,nan,[0],0,0,3,1,-0.002854952006600797,0.3971450479933991,,,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
LgPun,3500,0,1,1,1,,40.275375368015375,None,3500,42.29811111098388,None,1,42.29811111098388,None,1.6,2,45.842561703990214,None,None,0,45.842561703990214,None,You lost $5.00!,-5.2,4,2,0.3999999999999999,0.0,nan,"[0, 0]",0,0,3,1,0.02648488397244364,0.42648488397244355,0.29923584300559014,,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
Triangle,2500,0,2,2,2,,47.87521047896007,None,2500,49.89945219096262,None,None,49.89945219096262,None,1.6,3,52.44207081600325,None,1,1,52.44207081600325,None,You did not win or lose anything!,-5.2,3,2,0.3999999999999999,33.33333333333333,0.3073004010366276,"[0, 0]",0,0,3,None,,0.3073004010366276,,0.3073004010366276,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
LgPun,3000,0,3,3,3,,54.49280952400295,None,3000,56.51690536696697,None,None,56.51690536696697,None,1.6,4,59.559526892961,None,1,1,59.559526892961,None,You did not lose $5.00!,-5.2,4,3,0.4399999999999999,50.0,0.3215164605353493,[],33.33333333333333,3,3,None,,0.33573252003407106,,0.33573252003407106,Adjusting RT...,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
SmallReward,4000,0,4,4,4,,61.60147093597334,None,4000,63.63497335097054,None,None,63.63497335097054,None,1.56,5,67.6845374639961,None,1,1,67.6845374639961,None,You won $0.20!,-5.0,2,4,0.4399999999999999,60.0,0.332626314018853,[1],33.33333333333333,3,3,None,,0.3548460209858604,,0.3548460209858604,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
LgReward,1500,0,5,5,5,,69.73596089601051,None,1500,71.7693619930069,None,None,71.7693619930069,None,1.56,6,73.32675922900671,None,1,1,73.32675922900671,None,You won $5.00!,0.0,1,5,0.4399999999999999,66.66666666666666,0.338378981265123,"[1, 1]",33.33333333333333,3,3,None,,0.355636983003933,,0.355636983003933,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
SmallPun,4000,0,6,6,6,,75.36072406399762,None,4000,77.38635187398177,None,None,77.38635187398177,None,1.56,7,81.42727117298637,None,1,1,81.42727117298637,None,You did not lose $0.20!,0.0,5,6,0.4199999999999999,71.42857142857143,0.3283310684026219,[],66.66666666666666,6,3,None,,0.28813941695261747,,0.28813941695261747,Adjusting RT...,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
SmallReward,2000,0,7,7,7,,83.4710996960057,None,2000,85.50427142396802,None,None,85.50427142396802,None,1.58,8,87.55374814098468,None,None,0,87.55374814098468,None,You did not win $0.20!,0.0,2,7,0.4199999999999999,62.5,0.3283310684026219,[0],66.66666666666666,6,3,None,,0.28813941695261747,,,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
SmallPun,1500,0,8,8,8,,89.59423327696277,None,1500,91.62207185896114,None,None,91.62207185896114,None,1.58,9,93.15676139801508,None,None,0,93.15676139801508,None,You lost $0.20!,-0.2,5,8,0.4199999999999999,55.55555555555556,0.3283310684026219,"[0, 0]",66.66666666666666,6,3,1,0.10591412795474753,0.5259141279547475,,,,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
SmallPun,3000,0,9,9,9,,95.19526006397791,None,3000,97.22192169196205,None,None,97.22192169196205,None,1.58,10,100.25626555201598,None,1,1,100.25626555201598,None,You did not lose $0.20!,-0.2,5,9,0.39999999999999986,60.0,0.32362825467134826,[],66.66666666666666,9,3,None,,0.3001141860149801,,0.3001141860149801,Adjusting RT...,012,Scanner,2,2019_Sep_01_1126,MID,3.1.5,60.287164542348904,
