Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,feedback_resp.rt,fixationResp.rt,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,64.3723011029997,None,2000,66.4011975579997,None,None,66.4011975579997,None,1.65,1,68.45194822400026,None,None,0,68.45194822400026,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,None,,,,,,017,Practice,2,2019_Sep_04_0946,MID,3.1.5,60.205702898606994,
LgReward,2000,0,1,1,1,,70.51714601999993,None,2000,72.55169306599964,None,None,72.55169306599964,None,1.65,2,74.60131731300044,None,None,0,74.60131731300044,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,1,0.3714567489992987,0.021456748999298725,,,,017,Practice,2,2019_Sep_04_0946,MID,3.1.5,60.205702898606994,
SmallPun,2000,0,2,2,2,,76.65154240900029,None,2000,78.68460934599989,None,1,78.68460934599989,None,1.65,3,80.71771871100009,None,None,0,80.71771871100009,None,You lost $0.20!,-0.2,5,3,0.42,0.0,nan,[],0.0,3,3,1,0.48335969700012354,0.06335969700012356,0.27275619599913625,Adjusting RT...,,017,Practice,2,2019_Sep_04_0946,MID,3.1.5,60.205702898606994,
LgPun,2000,0,3,3,3,,82.7515671279998,None,2000,84.7750940699998,None,1,84.7750940699998,None,1.58,4,86.81901143699997,None,None,0,86.81901143699997,None,You lost $5.00!,-5.2,4,4,0.42,0.0,nan,[0],0.0,3,3,None,0.48335969700012354,,0.8632728239999778,,,017,Practice,2,2019_Sep_04_0946,MID,3.1.5,60.205702898606994,
Triangle,2000,0,4,4,4,,88.85194939800022,None,2000,90.88567335500011,None,None,90.88567335500011,None,1.58,5,92.91906957500032,None,1,1,92.91906957500032,None,You did not win or lose anything!,-5.2,3,4,0.42,20.0,0.36130468800001836,[0],0.0,3,3,None,0.36130468800001836,,,,0.36130468800001836,017,Practice,2,2019_Sep_04_0946,MID,3.1.5,60.205702898606994,
LgReward,2000,0,5,5,5,,94.98497148000024,None,2000,96.99297636000028,None,None,96.99297636000028,None,1.58,6,99.04433459499978,None,None,0,99.04433459499978,None,You did not win $5.00!,-5.2,1,5,0.42,16.666666666666664,0.36130468800001836,"[0, 0]",0.0,3,3,1,0.4470870080003078,0.027087008000307833,,,,017,Practice,2,2019_Sep_04_0946,MID,3.1.5,60.205702898606994,
SmallPun,2000,0,6,6,6,,101.08646311699977,None,2000,103.11131517900048,None,None,103.11131517900048,None,1.58,7,105.15281752300052,None,1,1,105.15281752300052,None,You did not lose $0.20!,-5.2,5,6,0.47,28.57142857142857,0.3608645889999025,[],16.666666666666664,6,3,None,0.3604244899997866,,,Adjusting RT...,0.3604244899997866,017,Practice,2,2019_Sep_04_0946,MID,3.1.5,60.205702898606994,
SmallReward,2000,0,7,7,7,,107.20299324000007,None,2000,109.22859977600001,None,None,109.22859977600001,None,1.53,8,111.27853654800037,None,1,1,111.27853654800037,None,You won $0.20!,-5.0,2,7,0.47,37.5,0.34848031700009113,[1],16.666666666666664,6,3,None,0.3237117730004684,,,,0.3237117730004684,017,Practice,2,2019_Sep_04_0946,MID,3.1.5,60.205702898606994,
Triangle,2000,0,8,8,8,,113.32072791500013,None,2000,115.34610418099965,None,None,115.34610418099965,None,1.53,9,117.3868610870004,None,1,1,117.3868610870004,None,You did not win or lose anything!,-5.0,3,7,0.47,44.44444444444444,0.3452052102500147,[1],16.666666666666664,6,3,None,0.3353798899997855,,,,0.3353798899997855,017,Practice,2,2019_Sep_04_0946,MID,3.1.5,60.205702898606994,
LgReward,2000,0,9,9,9,,119.42992765200052,None,2000,121.46401075199992,None,None,121.46401075199992,None,1.53,10,123.52095019799981,None,1,1,123.52095019799981,None,You won $5.00!,0.0,1,8,0.47,50.0,0.35084158600002413,"[1, 1]",16.666666666666664,6,3,None,0.3733870890000617,,,,0.3733870890000617,017,Practice,2,2019_Sep_04_0946,MID,3.1.5,60.205702898606994,
LgPun,2000,0,10,10,10,,125.55403018200013,None,2000,127.58128622000004,None,None,127.58128622000004,None,1.53,11,129.61571948900018,None,1,1,129.61571948900018,None,You did not lose $5.00!,0.0,4,9,0.44999999999999996,54.54545454545454,0.3506434485000985,[],66.66666666666666,9,3,None,0.3496527610004705,,,Adjusting RT...,0.3496527610004705,017,Practice,2,2019_Sep_04_0946,MID,3.1.5,60.205702898606994,
SmallPun,2000,0,11,11,11,,131.65494699100054,None,2000,133.68260589700003,None,None,133.68260589700003,None,1.55,12,135.71483871100008,None,1,1,135.71483871100008,None,You did not lose $0.20!,0.0,5,10,0.44999999999999996,58.333333333333336,0.3443281614286856,[1],66.66666666666666,9,3,None,0.30643643900020834,,,,0.30643643900020834,017,Practice,2,2019_Sep_04_0946,MID,3.1.5,60.205702898606994,
SmallReward,2000,0,12,12,12,,137.77113758399992,None,2000,139.78263150099974,None,None,139.78263150099974,None,1.55,13,141.83220450000044,None,1,1,141.83220450000044,None,You won $0.20!,0.2,2,11,0.44999999999999996,61.53846153846154,0.3411832597500961,"[1, 1]",66.66666666666666,9,3,None,0.31916894799996953,,,,0.31916894799996953,017,Practice,2,2019_Sep_04_0946,MID,3.1.5,60.205702898606994,
LgPun,2000,0,13,13,13,,143.87196067600053,None,2000,145.8992241850001,None,None,145.8992241850001,None,1.55,14,147.93337309399976,None,1,1,147.93337309399976,None,You did not lose $5.00!,0.2,4,12,0.39999999999999997,64.28571428571429,0.34049586611116767,[],100.0,12,3,None,0.3349967169997399,,,Adjusting RT...,0.3349967169997399,017,Practice,2,2019_Sep_04_0946,MID,3.1.5,60.205702898606994,
