Condition,FixationDur,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,FixationDur,fixationResp.keys,feedbackDur,rt_list,Trial counter,probeResp.keys,probeResp.corr,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,probeResp.rt,AdjRTmsg,fixationResp.rt,participant,session,practiceRT,trial Order,date,expName,psychopyVersion,frameRate,
LgPun,4000,0,0,0,0,0,14,14,14,4000,None,1.5,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255]",15,space,1,You did not lose $5.00!,5.0,4,13,0.5,66.66666666666666,0.2926266789003421,[1],49.99999999999999,12,3,0.2361858949989255,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
Triangle,4000,0,0,0,0,0,15,15,15,4000,None,1.5,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007]",16,space,1,You did not win or lose anything!,5.0,3,13,0.5,68.75,0.2921497538184419,[1],49.99999999999999,12,3,0.28738050299944007,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
LgPun,3000,0,0,0,0,0,16,16,16,3000,None,1.5,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007, 0.4374023500022304]",17,space,1,You did not lose $5.00!,5.0,4,14,0.5,70.58823529411765,0.3042541368337576,"[1, 1]",49.99999999999999,12,3,0.4374023500022304,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
SmallPun,1500,0,0,0,0,0,17,17,17,1500,None,1.5,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007, 0.4374023500022304]",18,None,0,You lost $0.20!,4.8,5,15,0.48,66.66666666666666,0.3042541368337576,[],66.66666666666666,15,3,,Adjusting RT...,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
LgReward,2000,0,0,0,0,0,18,18,18,2000,None,1.52,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007, 0.4374023500022304]",19,None,0,You did not win $5.00!,4.8,1,16,0.48,63.1578947368421,0.3042541368337576,[0],66.66666666666666,15,3,,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
SmallPun,4000,0,0,0,0,0,19,19,19,4000,None,1.52,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007, 0.4374023500022304, 0.28618213799927616]",20,space,1,You did not lose $0.20!,4.8,5,17,0.48,65.0,0.30286398307725904,"[0, 1]",66.66666666666666,15,3,0.28618213799927616,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
SmallReward,1500,0,0,0,0,0,20,20,20,1500,None,1.52,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007, 0.4374023500022304, 0.28618213799927616, 0.30272298799900454]",21,space,1,You won $0.20!,5.0,2,18,0.45999999999999996,66.66666666666666,0.30285391200024087,[],66.66666666666666,18,3,0.30272298799900454,Adjusting RT...,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
LgPun,1500,0,0,0,0,0,21,21,21,1500,None,1.54,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007, 0.4374023500022304, 0.28618213799927616, 0.30272298799900454, 0.2542487499995332]",22,space,1,You did not lose $5.00!,5.0,4,19,0.45999999999999996,68.18181818181817,0.29961356786686033,[1],66.66666666666666,18,3,0.2542487499995332,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
LgReward,3500,0,0,0,0,0,22,22,22,3500,None,1.54,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007, 0.4374023500022304, 0.28618213799927616, 0.30272298799900454, 0.2542487499995332, 0.23634471600234974]",23,space,1,You won $5.00!,10.0,1,20,0.45999999999999996,69.56521739130434,0.29565926462532843,"[1, 1]",66.66666666666666,18,3,0.23634471600234974,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
SmallReward,4000,0,0,0,0,0,23,23,23,4000,None,1.54,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007, 0.4374023500022304, 0.28618213799927616, 0.30272298799900454, 0.2542487499995332, 0.23634471600234974, 0.2532307219989889]",24,space,1,You won $0.20!,10.2,2,21,0.42999999999999994,70.83333333333334,0.2931634680002496,[],83.33333333333333,21,3,0.2532307219989889,Adjusting RT...,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
Triangle,2000,0,0,0,0,0,24,24,24,2000,None,1.57,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007, 0.4374023500022304, 0.28618213799927616, 0.30272298799900454, 0.2542487499995332, 0.23634471600234974, 0.2532307219989889]",25,None,0,You did not win or lose anything!,10.2,3,21,0.42999999999999994,68.0,0.2931634680002496,[],83.33333333333333,21,3,,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
LgPun,2000,0,0,0,0,0,25,25,25,2000,None,1.57,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007, 0.4374023500022304, 0.28618213799927616, 0.30272298799900454, 0.2542487499995332, 0.23634471600234974, 0.2532307219989889]",26,None,0,You lost $5.00!,5.199999999999999,4,22,0.42999999999999994,65.38461538461539,0.2931634680002496,[0],83.33333333333333,21,3,,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
SmallReward,2000,0,0,0,0,0,26,26,26,2000,None,1.57,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007, 0.4374023500022304, 0.28618213799927616, 0.30272298799900454, 0.2542487499995332, 0.23634471600234974, 0.2532307219989889, 0.2700443150024512]",27,space,1,You won $0.20!,5.3999999999999995,2,23,0.42999999999999994,66.66666666666666,0.29187907061148305,"[0, 1]",83.33333333333333,21,3,0.2700443150024512,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
Triangle,3000,0,0,0,0,0,27,27,27,3000,None,1.57,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007, 0.4374023500022304, 0.28618213799927616, 0.30272298799900454, 0.2542487499995332, 0.23634471600234974, 0.2532307219989889, 0.2700443150024512, 0.40234994899947196]",28,space,1,You did not win or lose anything!,5.3999999999999995,3,23,0.42999999999999994,67.85714285714286,0.29769332736874565,"[0, 1]",83.33333333333333,21,3,0.40234994899947196,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
SmallReward,3500,0,0,0,0,0,28,28,28,3500,None,1.57,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007, 0.4374023500022304, 0.28618213799927616, 0.30272298799900454, 0.2542487499995332, 0.23634471600234974, 0.2532307219989889, 0.2700443150024512, 0.40234994899947196, 0.25390920900099445]",29,space,1,You won $0.20!,5.6,2,24,0.3999999999999999,68.96551724137932,0.2955041214503581,[],83.33333333333333,24,3,0.25390920900099445,Adjusting RT...,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
Triangle,1500,0,0,0,0,0,29,29,29,1500,None,1.6,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007, 0.4374023500022304, 0.28618213799927616, 0.30272298799900454, 0.2542487499995332, 0.23634471600234974, 0.2532307219989889, 0.2700443150024512, 0.40234994899947196, 0.25390920900099445, 0.35334073299964075]",30,space,1,You did not win or lose anything!,5.6,3,24,0.3999999999999999,70.0,0.2982582458098477,[],83.33333333333333,24,3,0.35334073299964075,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
SmallReward,1500,0,0,0,0,0,30,30,30,1500,None,1.6,"[0.26975015500283916, 0.23704319099852, 0.25380520300313947, 0.41962038099882193, 0.3656553850014461, 0.21942822100027115, 0.27066414699947927, 0.25324985300176195, 0.4008643579982163, 0.2361858949989255, 0.28738050299944007, 0.4374023500022304, 0.28618213799927616, 0.30272298799900454, 0.2542487499995332, 0.23634471600234974, 0.2532307219989889, 0.2700443150024512, 0.40234994899947196, 0.25390920900099445, 0.35334073299964075]",31,None,0,You did not win $0.20!,5.6,2,25,0.3999999999999999,67.74193548387096,0.2982582458098477,[0],83.33333333333333,24,3,,,,0001,001,.5,1,2019_Aug_05_1938,MID,3.0.7,60.13952080113049,
