Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,AdjRTmsg,probeResp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,4000,0,0,0,0,TimeVersion15.csv,39.18649472598918,None,4000,41.20332842296921,None,None,41.20332842296921,None,1.71,1,45.25256926799193,None,None,0,45.25256926799193,None,You did not win $0.20!,0,2,1,0.2899999999999999,0.0,nan,[0],0,0,3,1,0.0020347439567558467,0.29203474395675577,,,,025,Scanner,1,2019_Sep_02_0942,MID,3.1.5,59.61968045562432,
SmallPun,3500,0,1,1,1,,47.31973086600192,None,3500,49.35385715396842,None,None,49.35385715396842,None,1.71,2,52.88674498698674,None,None,0,52.88674498698674,None,You lost $0.20!,-0.2,5,2,0.2899999999999999,0.0,nan,"[0, 0]",0,0,3,None,,0.29203474395675577,,,,025,Scanner,1,2019_Sep_02_0942,MID,3.1.5,59.61968045562432,
Triangle,2500,0,2,2,2,,54.93639066896867,None,2500,56.97133678896353,None,None,56.97133678896353,None,1.71,3,59.503617249953095,None,None,0,59.503617249953095,None,You did not win or lose anything!,-0.2,3,2,0.2899999999999999,0.0,nan,"[0, 0]",0,0,3,None,,0.29203474395675577,,,,025,Scanner,1,2019_Sep_02_0942,MID,3.1.5,59.61968045562432,
SmallReward,2000,0,3,3,3,,61.57098049198976,None,2000,63.6046842369833,None,None,63.6046842369833,None,1.71,4,65.6452148949611,None,None,0,65.6452148949611,None,You did not win $0.20!,-0.2,2,3,0.35999999999999993,0.0,nan,[],0.0,3,3,None,,0.29203474395675577,Adjusting RT...,,,025,Scanner,1,2019_Sep_02_0942,MID,3.1.5,59.61968045562432,
SmallPun,4000,0,4,4,4,,67.6883564539603,None,4000,69.72209240798838,None,None,69.72209240798838,None,1.6400000000000001,5,73.75507649994688,None,1,1,73.75507649994688,None,You did not lose $0.20!,-0.2,5,4,0.35999999999999993,20.0,0.268104768008925,[1],0.0,3,3,None,,0.268104768008925,,0.268104768008925,,025,Scanner,1,2019_Sep_02_0942,MID,3.1.5,59.61968045562432,
LgPun,2000,0,5,5,5,,75.8054319449584,None,2000,77.82832216995303,None,None,77.82832216995303,None,1.6400000000000001,6,79.87201209500199,None,1,1,79.87201209500199,None,You did not lose $5.00!,-0.2,4,5,0.35999999999999993,33.33333333333333,0.2676409665145911,"[1, 1]",0.0,3,3,None,,0.26717716502025723,,0.26717716502025723,,025,Scanner,1,2019_Sep_02_0942,MID,3.1.5,59.61968045562432,
SmallPun,1500,0,6,6,6,,81.92237863497576,None,1500,83.95645890495507,None,None,83.95645890495507,None,1.6400000000000001,7,85.48867625696585,None,1,1,85.48867625696585,None,You did not lose $0.20!,-0.2,5,6,0.37999999999999995,42.857142857142854,0.2636239593460535,[],50.0,6,3,None,,0.25558994500897825,Adjusting RT...,0.25558994500897825,,025,Scanner,1,2019_Sep_02_0942,MID,3.1.5,59.61968045562432,
SmallReward,1500,0,7,7,7,,87.5481359459809,None,1500,89.58058046596125,None,None,89.58058046596125,None,1.62,8,91.13946076994762,None,1,1,91.13946076994762,None,You won $0.20!,0.0,2,7,0.37999999999999995,50.0,0.26318168301077094,[1],50.0,6,3,None,,0.26185485400492325,,0.26185485400492325,,025,Scanner,1,2019_Sep_02_0942,MID,3.1.5,59.61968045562432,
Triangle,2000,0,8,8,8,,93.18953277199762,None,2000,95.2150202949997,None,None,95.2150202949997,None,1.62,9,97.25599389395211,None,None,0,97.25599389395211,None,You did not win or lose anything!,0.0,3,7,0.37999999999999995,44.44444444444444,0.26318168301077094,[1],50.0,6,3,None,,0.26185485400492325,,,,025,Scanner,1,2019_Sep_02_0942,MID,3.1.5,59.61968045562432,
SmallReward,1500,0,9,9,9,,99.32294048299082,None,1500,101.34875531599391,None,None,101.34875531599391,None,1.62,10,102.8984890159918,None,1,1,102.8984890159918,None,You won $0.20!,0.2,2,8,0.37999999999999995,50.0,0.2556889358093031,"[1, 1]",50.0,6,3,None,,0.22571794700343162,,0.22571794700343162,,025,Scanner,1,2019_Sep_02_0942,MID,3.1.5,59.61968045562432,
