Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,2000,0,14,14,14,,116.85041826299857,None,2000,118.87355176801793,None,None,118.87355176801793,None,1.6600000000000001,15,120.93438700400293,None,1,1,120.93438700400293,None,You won $5.00!,10.0,1,11,0.33999999999999997,60.0,0.24354479666928658,"[0, 1]",83.33333333333333,9,3,None,,0.2328762949910015,0.2328762949910015,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
SmallPun,2000,0,15,15,15,,122.96747456101002,None,2000,124.99080868903548,None,None,124.99080868903548,None,1.6600000000000001,16,127.03321413800586,None,1,1,127.03321413800586,None,You did not lose $0.20!,10.0,5,12,0.31999999999999995,62.5,0.24169761620578356,[],66.66666666666666,12,3,None,,0.22507299203425646,0.22507299203425646,Adjusting RT...,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
LgPun,3000,0,16,16,16,,129.0677090859972,None,3000,131.09213826298947,None,None,131.09213826298947,None,1.6800000000000002,17,134.13484298903495,None,1,1,134.13484298903495,None,You did not lose $5.00!,10.0,4,13,0.31999999999999995,64.70588235294117,0.241491450547156,[1],66.66666666666666,12,3,None,,0.2394297939608805,0.2394297939608805,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
SmallPun,1500,0,17,17,17,,136.16799106099643,None,1500,138.19307269301498,None,None,138.19307269301498,None,1.6800000000000002,18,139.73497601802228,None,1,1,139.73497601802228,None,You did not lose $0.20!,10.0,5,14,0.31999999999999995,66.66666666666666,0.24396346950379666,"[1, 1]",66.66666666666666,12,3,None,,0.2711556780268438,0.2711556780268438,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
LgReward,3000,0,18,18,18,,141.78469809802482,None,3000,143.8104696139926,None,1,143.8104696139926,None,1.6800000000000002,19,146.86059824103722,None,None,0,146.86059824103722,None,You did not win $5.00!,10.0,1,15,0.29999999999999993,63.1578947368421,0.24396346950379666,[],66.66666666666666,15,3,1,0.06361516396282241,0.36361516396282234,,Adjusting RT...,2.776679679984227,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
LgPun,4000,0,19,19,19,,148.9023798960261,None,4000,150.92779983702349,None,None,150.92779983702349,None,1.7000000000000002,20,154.9693036969984,None,1,1,154.9693036969984,None,You did not lose $5.00!,10.0,4,16,0.29999999999999993,65.0,0.2441098106165345,[1],66.66666666666666,15,3,None,,0.24586590396938846,0.24586590396938846,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
SmallReward,2500,0,20,20,20,,157.01942888001213,None,2500,159.04585584899178,None,None,159.04585584899178,None,1.7000000000000002,21,161.59616669500247,None,None,0,161.59616669500247,None,You did not win $0.20!,10.0,2,17,0.29999999999999993,61.904761904761905,0.2441098106165345,"[1, 0]",66.66666666666666,15,3,1,0.023938669997733086,0.323938669997733,,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
LgPun,3500,0,21,21,21,,163.6368243060424,None,3500,165.6633543310454,None,None,165.6633543310454,None,1.7000000000000002,22,169.20344535802724,None,None,0,169.20344535802724,None,You lost $5.00!,5.0,4,18,0.31999999999999995,59.09090909090909,0.2441098106165345,[],49.99999999999999,18,3,None,,0.323938669997733,,Adjusting RT...,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
Triangle,1500,0,22,22,22,,171.23704546299996,None,1500,173.264153747994,None,None,173.264153747994,None,1.6800000000000002,23,174.80409764504293,None,None,0,174.80409764504293,None,You did not win or lose anything!,5.0,3,18,0.31999999999999995,56.52173913043478,0.2441098106165345,[],49.99999999999999,18,3,1,0.16014724102569744,0.4801472410256974,,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
LgReward,2500,0,23,23,23,,176.8484187030117,None,2500,178.88174010702642,None,None,178.88174010702642,None,1.6800000000000002,24,181.43203183502192,None,1,1,181.43203183502192,None,You won $5.00!,10.0,1,19,0.31999999999999995,58.333333333333336,0.24319081707341997,[1],49.99999999999999,18,3,None,,0.23124390101293102,0.23124390101293102,,,019,Scanner,2,2019_Aug_31_1513,MID,3.1.5,59.81797044079377,
