Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,feedback_resp.rt,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,61.86460833699675,None,2000,63.896061277017,None,None,63.896061277017,None,1.65,1,65.97543680097442,None,None,0,65.97543680097442,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,None,,,,,026,Practice,2,2019_Aug_30_1231,MID,3.1.5,24.091551791170662,
LgReward,2000,0,1,1,1,,68.06136146298377,None,2000,70.06597258598777,None,None,70.06597258598777,None,1.65,2,72.13265779102221,None,None,0,72.13265779102221,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,1,0.3326473700231872,-0.01735262997681275,,,026,Practice,2,2019_Aug_30_1231,MID,3.1.5,24.091551791170662,
SmallPun,2000,0,2,2,2,,74.14116207201732,None,2000,76.14663677697536,None,None,76.14663677697536,None,1.65,3,78.16587482899195,None,None,0,78.16587482899195,None,You lost $0.20!,-0.2,5,3,0.42,0.0,nan,[],0.0,3,3,1,0.4237515399744734,0.003751539974473417,Adjusting RT...,,026,Practice,2,2019_Aug_30_1231,MID,3.1.5,24.091551791170662,
LgPun,2000,0,3,3,3,,80.18335726001533,None,2000,82.20080905302893,None,None,82.20080905302893,None,1.58,4,84.24990080000134,None,1,1,84.24990080000134,None,You did not lose $5.00!,-0.2,4,4,0.42,25.0,0.30417812999803573,[1],0.0,3,3,None,0.30417812999803573,,,0.30417812999803573,026,Practice,2,2019_Aug_30_1231,MID,3.1.5,24.091551791170662,
Triangle,2000,0,4,4,4,,86.30844872503076,None,2000,88.31776972400257,None,None,88.31776972400257,None,1.58,5,90.36840416799532,None,1,1,90.36840416799532,None,You did not win or lose anything!,-0.2,3,4,0.42,40.0,0.32048811452114023,[1],0.0,3,3,None,0.33679809904424474,,,0.33679809904424474,026,Practice,2,2019_Aug_30_1231,MID,3.1.5,24.091551791170662,
LgReward,2000,0,5,5,5,,92.43341821001377,None,2000,94.45266086701304,None,None,94.45266086701304,None,1.58,6,96.50532167300116,None,1,1,96.50532167300116,None,You won $5.00!,4.8,1,5,0.42,50.0,0.3236161303357221,"[1, 1]",0.0,3,3,None,0.3298721619648859,,,0.3298721619648859,026,Practice,2,2019_Aug_30_1231,MID,3.1.5,24.091551791170662,
SmallPun,2000,0,6,6,6,,98.55909389699809,None,2000,100.57000004599104,None,None,100.57000004599104,None,1.58,7,102.61945719900541,None,None,0,102.61945719900541,None,You lost $0.20!,4.6,5,6,0.45999999999999996,42.857142857142854,0.3236161303357221,[],33.33333333333333,6,3,1,0.4711777830170467,0.01117778301704675,Adjusting RT...,,026,Practice,2,2019_Aug_30_1231,MID,3.1.5,24.091551791170662,
SmallReward,2000,0,7,7,7,,104.68373536400031,None,2000,106.70361928199418,None,None,106.70361928199418,None,1.54,8,108.75799595098943,None,1,1,108.75799595098943,None,You won $0.20!,4.8,2,7,0.45999999999999996,50.0,0.3142636252450757,[1],33.33333333333333,6,3,None,0.28620610997313634,,,0.28620610997313634,026,Practice,2,2019_Aug_30_1231,MID,3.1.5,24.091551791170662,
Triangle,2000,0,8,8,8,,110.80953688902082,None,2000,112.8215788200032,None,None,112.8215788200032,None,1.54,9,114.82708044798346,None,None,0,114.82708044798346,None,You did not win or lose anything!,4.8,3,7,0.45999999999999996,44.44444444444444,0.3142636252450757,[1],33.33333333333333,6,3,None,0.28620610997313634,,,,026,Practice,2,2019_Aug_30_1231,MID,3.1.5,24.091551791170662,
LgReward,2000,0,9,9,9,,116.89290155097842,None,2000,118.90544710698305,None,None,118.90544710698305,None,1.54,10,120.97179436002625,None,1,1,120.97179436002625,None,You won $5.00!,9.8,1,8,0.45999999999999996,50.0,0.31889094478683544,"[1, 1]",33.33333333333333,6,3,None,0.3374002229538746,,,0.3374002229538746,026,Practice,2,2019_Aug_30_1231,MID,3.1.5,24.091551791170662,
LgPun,2000,0,10,10,10,,123.01740198303014,None,2000,125.02484710799763,None,None,125.02484710799763,None,1.54,11,127.07881184801226,None,1,1,127.07881184801226,None,You did not lose $5.00!,9.8,4,9,0.42999999999999994,54.54545454545454,0.3193064541555941,[],83.33333333333333,9,3,None,0.32138400099938735,,Adjusting RT...,0.32138400099938735,026,Practice,2,2019_Aug_30_1231,MID,3.1.5,24.091551791170662,
SmallPun,2000,0,11,11,11,,129.1434479210293,None,2000,131.15690737700788,None,None,131.15690737700788,None,1.57,12,133.2070199099835,None,1,1,133.2070199099835,None,You did not lose $0.20!,9.8,5,10,0.42999999999999994,58.333333333333336,0.3141458089895813,[1],83.33333333333333,9,3,None,0.2831819379935041,,,0.2831819379935041,026,Practice,2,2019_Aug_30_1231,MID,3.1.5,24.091551791170662,
SmallReward,2000,0,12,12,12,,135.22713292500703,None,2000,137.24044692498865,None,None,137.24044692498865,None,1.57,13,139.25746828701813,None,None,0,139.25746828701813,None,You did not win $0.20!,9.8,2,11,0.42999999999999994,53.84615384615385,0.3141458089895813,"[1, 0]",83.33333333333333,9,3,None,0.2831819379935041,,,,026,Practice,2,2019_Aug_30_1231,MID,3.1.5,24.091551791170662,
LgPun,2000,0,13,13,13,,141.26998947898392,None,2000,143.2761324479943,None,None,143.2761324479943,None,1.57,14,145.3275478379801,None,1,1,145.3275478379801,None,You did not lose $5.00!,9.8,4,12,0.3999999999999999,57.14285714285714,0.31533480161306215,[],83.33333333333333,12,3,None,0.32365774997742847,,Adjusting RT...,0.32365774997742847,026,Practice,2,2019_Aug_30_1231,MID,3.1.5,24.091551791170662,
Triangle,2000,0,14,14,14,,147.3528198369895,None,2000,149.35898727201857,None,None,149.35898727201857,None,1.6,15,151.4109303849982,None,None,0,151.4109303849982,None,You did not win or lose anything!,9.8,3,12,0.3999999999999999,53.333333333333336,0.31533480161306215,[],83.33333333333333,12,3,None,0.32365774997742847,,,,026,Practice,2,2019_Aug_30_1231,MID,3.1.5,24.091551791170662,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,026,Practice,2,2019_Aug_30_1231,MID,3.1.5,24.091551791170662,
