TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,run,trial_order
3,1,0.23436281000613235,,022,1,6
2,0,[],,022,1,6
4,0,[],,022,1,6
2,1,0.2647863500023959,,022,1,6
1,0,[],,022,1,6
4,0,[],,022,1,6
3,1,0.23895258799893782,,022,1,6
4,0,[],,022,1,6
2,1,0.2765594519878505,,022,1,6
5,0,[],,022,1,6
5,0,[],,022,1,6
1,1,0.2647782809945056,,022,1,6
4,0,[],,022,1,6
5,0,[],,022,1,6
1,1,0.2985744629986584,,022,1,6
1,1,0.25975079799536616,,022,1,6
2,1,0.26990595400275197,,022,1,6
1,0,[],,022,1,6
1,1,0.3279944819951197,,022,1,6
5,0,[],,022,1,6
2,1,0.26723422500072047,,022,1,6
3,1,0.2719902519893367,,022,1,6
4,0,[],,022,1,6
4,0,[],,022,1,6
3,1,0.4145987670053728,,022,1,6
4,0,[],,022,1,6
5,0,[],,022,1,6
3,1,0.3242120659997454,,022,1,6
5,0,[],,022,1,6
5,0,[],,022,1,6
1,1,0.26232586400874425,,022,1,6
2,1,0.24123971800145227,,022,1,6
3,0,[],,022,1,6
2,1,0.2945557670027483,,022,1,6
1,1,0.4488880850112764,,022,1,6
3,0,[],,022,1,6
4,0,[],,022,1,6
3,0,[],,022,1,6
3,1,0.2911016330035636,,022,1,6
5,0,[],,022,1,6
1,1,0.26825338999333326,,022,1,6
4,0,[],,022,1,6
3,1,0.291060262999963,,022,1,6
2,1,0.3689685620047385,,022,1,6
4,0,[],,022,1,6
2,1,0.2335746649914654,,022,1,6
5,0,[],,022,1,6
5,0,[],,022,1,6
1,1,0.38317159000143874,,022,1,6
2,1,0.2657846420042915,,022,1,6
