Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,probeResp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,1500,0,0,0,0,TimeVersion11.csv,30.222077551006805,None,1500,32.228985783003736,None,None,32.228985783003736,None,1.55,1,33.747202199010644,None,None,0,33.747202199010644,None,You lost $0.20!,-0.2,5,1,0.45,0.0,nan,[0],0,0,3,,,,038,Scanner,2,2019_Aug_25_1131,MID,3.1.5,23.99666932018516,
LgPun,1500,0,1,1,1,,35.72168337999028,None,1500,37.72750250500394,None,None,37.72750250500394,None,1.55,2,39.24748910800554,None,1,1,39.24748910800554,None,You did not lose $5.00!,-0.2,4,2,0.45,50.0,0.3133706350054126,"[0, 1]",0,0,3,0.3133706350054126,,,038,Scanner,2,2019_Aug_25_1131,MID,3.1.5,23.99666932018516,
Triangle,3500,0,2,2,2,,41.222812088992214,None,3500,43.230864509998355,None,None,43.230864509998355,None,1.55,3,46.74878515000455,None,1,1,46.74878515000455,None,You did not win or lose anything!,-0.2,3,2,0.45,66.66666666666666,0.31528139900183305,"[0, 1]",0,0,3,0.3171921629982535,,,038,Scanner,2,2019_Aug_25_1131,MID,3.1.5,23.99666932018516,
Triangle,1500,0,3,3,3,,48.7227554229903,None,1500,50.73209526899154,None,None,50.73209526899154,None,1.55,4,52.2415344940091,None,1,1,52.2415344940091,None,You did not win or lose anything!,-0.2,3,2,0.45,75.0,0.32167026499519125,"[0, 1]",0,0,3,0.33444799698190764,,,038,Scanner,2,2019_Aug_25_1131,MID,3.1.5,23.99666932018516,
LgReward,3500,0,4,4,4,,54.22360415299772,None,3500,56.232396063016495,None,None,56.232396063016495,None,1.55,5,59.754567185998894,None,1,1,59.754567185998894,None,You won $5.00!,4.8,1,3,0.43,80.0,0.320609135000268,[],66.66666666666666,3,3,0.31742574501549825,Adjusting RT...,,038,Scanner,2,2019_Aug_25_1131,MID,3.1.5,23.99666932018516,
SmallReward,3000,0,5,5,5,,61.72377062600572,None,3000,63.73290015599923,None,1,63.73290015599923,None,1.57,6,66.75427091101301,None,None,0,66.75427091101301,None,You did not win $0.20!,4.8,2,4,0.43,66.66666666666666,0.320609135000268,[0],66.66666666666666,3,3,,,1.386084422993008,038,Scanner,2,2019_Aug_25_1131,MID,3.1.5,23.99666932018516,
SmallPun,1500,0,6,6,6,,68.6828934130026,None,1500,70.7014081950183,None,None,70.7014081950183,None,1.57,7,72.20176140300464,None,None,0,72.20176140300464,None,You lost $0.20!,4.6,5,5,0.43,57.14285714285714,0.320609135000268,"[0, 0]",66.66666666666666,3,3,,,,038,Scanner,2,2019_Aug_25_1131,MID,3.1.5,23.99666932018516,
SmallReward,1500,0,7,7,7,,74.13987296601408,None,1500,76.15253605501493,None,None,76.15253605501493,None,1.57,8,77.67235032800818,None,None,0,77.67235032800818,None,You did not win $0.20!,4.6,2,6,0.47,50.0,0.320609135000268,[],33.33333333333333,6,3,,Adjusting RT...,,038,Scanner,2,2019_Aug_25_1131,MID,3.1.5,23.99666932018516,
LgReward,3000,0,8,8,8,,79.60301624299609,None,3000,81.61932056001388,None,None,81.61932056001388,None,1.53,9,84.63587102200836,None,1,1,84.63587102200836,None,You won $5.00!,9.6,1,7,0.47,55.55555555555556,0.3162928836012725,[1],33.33333333333333,6,3,0.2990278780052904,,,038,Scanner,2,2019_Aug_25_1131,MID,3.1.5,23.99666932018516,
LgPun,1500,0,9,9,9,,86.59975535201374,None,1500,88.61971048801206,None,None,88.61971048801206,None,1.53,10,90.12071758700768,None,None,0,90.12071758700768,None,You lost $5.00!,4.6,4,8,0.47,50.0,0.3162928836012725,"[1, 0]",33.33333333333333,6,3,,,,038,Scanner,2,2019_Aug_25_1131,MID,3.1.5,23.99666932018516,
SmallReward,2000,0,10,10,10,,92.09992767500808,None,2000,94.10731397400377,None,None,94.10731397400377,None,1.53,11,96.13806271701469,None,1,1,96.13806271701469,None,You won $0.20!,4.8,2,9,0.5,54.54545454545454,0.31273006566334516,[],33.33333333333333,9,3,0.29491597597370856,Adjusting RT...,,038,Scanner,2,2019_Aug_25_1131,MID,3.1.5,23.99666932018516,
LgReward,2000,0,11,11,11,,98.10218288199394,None,2000,100.1084275309986,None,None,100.1084275309986,None,1.5,12,102.13768919801805,None,1,1,102.13768919801805,None,You won $5.00!,9.8,1,10,0.5,58.333333333333336,0.31123831071142505,[1],33.33333333333333,9,3,0.3022877809999045,,,038,Scanner,2,2019_Aug_25_1131,MID,3.1.5,23.99666932018516,
