Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,fixationResp.rt,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,28.41790923802182,None,2000,30.402793707005912,None,None,30.402793707005912,None,1.65,1,32.42378741002176,None,None,0,32.42378741002176,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,,,,037,Practice,2,2019_Aug_23_1245,MID,3.1.5,23.9991331888517,
LgReward,2000,0,1,1,1,,34.359059202019125,None,2000,36.37090040501789,None,None,36.37090040501789,None,1.65,2,38.39091915302561,None,None,0,38.39091915302561,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,,,,037,Practice,2,2019_Aug_23_1245,MID,3.1.5,23.9991331888517,
SmallPun,2000,0,2,2,2,,40.31590849600616,None,2000,42.33892551501049,None,1,42.33892551501049,None,1.65,3,44.33866211300483,None,None,0,44.33866211300483,None,You lost $0.20!,-0.2,5,3,0.42,0.0,nan,[],0.0,3,3,1.5628074730047956,Adjusting RT...,,037,Practice,2,2019_Aug_23_1245,MID,3.1.5,23.9991331888517,
LgPun,2000,0,3,3,3,,46.27496077300748,None,2000,48.289298321004026,None,None,48.289298321004026,None,1.58,4,50.293179623025935,None,1,1,50.293179623025935,None,You did not lose $5.00!,-0.2,4,4,0.42,25.0,0.2825345790188294,[1],0.0,3,3,,,0.2825345790188294,037,Practice,2,2019_Aug_23_1245,MID,3.1.5,23.9991331888517,
Triangle,2000,0,4,4,4,,52.27569481401588,None,2000,54.289845513005275,None,None,54.289845513005275,None,1.58,5,56.2944629380072,None,None,0,56.2944629380072,None,You did not win or lose anything!,-0.2,3,4,0.42,20.0,0.2825345790188294,[1],0.0,3,3,,,,037,Practice,2,2019_Aug_23_1245,MID,3.1.5,23.9991331888517,
LgReward,2000,0,5,5,5,,58.275682286999654,None,2000,60.281186178006465,None,None,60.281186178006465,None,1.58,6,62.29350012302166,None,1,1,62.29350012302166,None,You won $5.00!,4.8,1,5,0.42,33.33333333333333,0.2688757865107618,"[1, 1]",0.0,3,3,,,0.25521699400269426,037,Practice,2,2019_Aug_23_1245,MID,3.1.5,23.9991331888517,
SmallPun,2000,0,6,6,6,,64.27577546602697,None,2000,66.29140997602371,None,None,66.29140997602371,None,1.58,7,68.29368963500019,None,None,0,68.29368963500019,None,You lost $0.20!,4.6,5,6,0.45999999999999996,28.57142857142857,0.2688757865107618,[],33.33333333333333,6,3,,Adjusting RT...,,037,Practice,2,2019_Aug_23_1245,MID,3.1.5,23.9991331888517,
SmallReward,2000,0,7,7,7,,70.27599632402416,None,2000,72.29242037501535,None,None,72.29242037501535,None,1.54,8,74.31288636100362,None,1,1,74.31288636100362,None,You won $0.20!,4.8,2,7,0.45999999999999996,37.5,0.26216708034432185,[1],33.33333333333333,6,3,,,0.24874966801144183,037,Practice,2,2019_Aug_23_1245,MID,3.1.5,23.9991331888517,
Triangle,2000,0,8,8,8,,76.27663706801832,None,2000,78.29282647700165,None,None,78.29282647700165,None,1.54,9,80.29327918501804,None,1,1,80.29327918501804,None,You did not win or lose anything!,4.8,3,7,0.45999999999999996,44.44444444444444,0.27848346275277436,[1],33.33333333333333,6,3,,,0.32743260997813195,037,Practice,2,2019_Aug_23_1245,MID,3.1.5,23.9991331888517,
LgReward,2000,0,9,9,9,,82.27901871601352,None,2000,84.28272213501623,None,None,84.28272213501623,None,1.54,10,86.3101089890115,None,1,1,86.3101089890115,None,You won $5.00!,9.8,1,8,0.45999999999999996,50.0,0.2855075498053338,"[1, 1]",33.33333333333333,6,3,,,0.31360389801557176,037,Practice,2,2019_Aug_23_1245,MID,3.1.5,23.9991331888517,
