TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,run,trial_order
1,1,0.2862623850014643,,010,1,10
1,1,0.34031237800081726,,010,1,10
2,1,0.2982261010038201,,010,1,10
2,1,0.3002995999995619,,010,1,10
1,1,0.2407137380068889,,010,1,10
3,0,[],,010,1,10
5,1,0.3004652730014641,,010,1,10
4,0,[],,010,1,10
1,0,[],,010,1,10
4,1,0.24331576799886534,,010,1,10
3,0,[],,010,1,10
5,0,[],,010,1,10
5,0,[],,010,1,10
4,1,0.2150722969963681,,010,1,10
2,1,0.24418277500080876,,010,1,10
5,1,0.24953359599749092,,010,1,10
4,1,0.2100839559934684,,010,1,10
1,1,0.260096177997184,,010,1,10
3,0,[],,010,1,10
5,1,0.2582593810002436,,010,1,10
3,0,[],,010,1,10
2,0,[],,010,1,10
3,0,[],,010,1,10
2,0,[],,010,1,10
1,1,0.21504672800074331,,010,1,10
3,0,[],,010,1,10
2,1,0.2146614099983708,,010,1,10
5,0,[],,010,1,10
5,0,[],,010,1,10
3,0,[],,010,1,10
2,1,0.22533598099835217,,010,1,10
2,0,[],,010,1,10
1,1,0.2396398839991889,,010,1,10
1,1,0.2440322649999871,,010,1,10
5,0,[],,010,1,10
5,0,[],,010,1,10
2,0,[],,010,1,10
5,0,[],,010,1,10
4,1,0.21362078899983317,,010,1,10
3,0,[],,010,1,10
3,0,[],,010,1,10
4,0,[],,010,1,10
4,1,0.2816196499989019,,010,1,10
3,1,0.28161077700497117,,010,1,10
2,0,[],,010,1,10
1,1,0.20777128299960168,,010,1,10
1,1,0.24615845199878095,,010,1,10
4,1,0.3593844120041467,,010,1,10
4,1,0.24827118500252254,,010,1,10
4,1,0.3255787189991679,,010,1,10
