Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,fixationResp.rt,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,1500,0,0,0,0,TimeVersion14.csv,27.443480877002003,None,1500,29.4420693750144,None,None,29.4420693750144,None,1.6,1,30.96373895299621,None,None,0,30.96373895299621,None,You did not win $0.20!,0,2,1,0.39999999999999997,0.0,nan,[0],0,0,3,,,,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
LgReward,1500,0,1,1,1,,32.892756014014594,None,1500,34.895306570018874,None,None,34.895306570018874,None,1.6,2,36.41939140702016,None,None,0,36.41939140702016,None,You did not win $5.00!,0,1,2,0.39999999999999997,0.0,nan,"[0, 0]",0,0,3,,,,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
LgReward,1500,0,2,2,2,,38.358557080005994,None,1500,40.36201217499911,None,None,40.36201217499911,None,1.6,3,41.87891379001667,None,None,0,41.87891379001667,None,You did not win $5.00!,0,1,3,0.47,0.0,nan,[],0.0,3,3,Adjusting RT...,,,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
SmallReward,4000,0,3,3,3,,43.804455862002214,None,4000,45.81054170601419,None,1,45.81054170601419,None,1.53,4,49.836178130994085,None,1,1,49.836178130994085,None,You won $0.20!,0.2,2,4,0.47,25.0,0.27004740401753224,[1],0.0,3,3,,3.4917678450001404,0.27004740401753224,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
LgPun,1500,0,4,4,4,,51.76353110501077,None,1500,53.78035045901197,None,None,53.78035045901197,None,1.53,5,55.280842495994875,None,None,0,55.280842495994875,None,You lost $5.00!,-4.8,4,5,0.47,20.0,0.27004740401753224,"[1, 0]",0.0,3,3,,,,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
LgPun,1500,0,5,5,5,,57.22232205700129,None,1500,59.22937013101182,None,None,59.22937013101182,None,1.53,6,60.74788805202115,None,1,1,60.74788805202115,None,You did not lose $5.00!,-4.8,4,6,0.5,33.33333333333333,0.2981430670042755,[],33.33333333333333,6,3,Adjusting RT...,,0.32623872999101877,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
LgReward,1500,0,6,6,6,,62.72152927701245,None,1500,64.73216185500496,None,None,64.73216185500496,None,1.5,7,66.2645349400118,None,1,1,66.2645349400118,None,You won $5.00!,0.20000000000000018,1,7,0.5,42.857142857142854,0.3019601113337558,[1],33.33333333333333,6,3,,,0.3095941999927163,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
SmallPun,3500,0,7,7,7,,68.22455402000924,None,3500,70.23266681400128,None,1,70.23266681400128,None,1.5,8,73.74164484499488,None,1,1,73.74164484499488,None,You did not lose $0.20!,0.20000000000000018,5,8,0.5,50.0,0.29409396150003886,"[1, 1]",33.33333333333333,6,3,,3.3984786729852203,0.2704955119988881,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
LgReward,4000,0,8,8,8,,75.72206501301844,None,4000,77.73327134299325,None,None,77.73327134299325,None,1.5,9,81.75426061899634,None,1,1,81.75426061899634,None,You won $5.00!,5.2,1,9,0.47,55.55555555555556,0.302276643802179,[],83.33333333333333,9,3,Adjusting RT...,,0.3350073730107397,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
LgPun,2500,0,9,9,9,,83.72381821699673,None,2500,85.73491475600167,None,None,85.73491475600167,None,1.53,10,88.24216942599742,None,1,1,88.24216942599742,None,You did not lose $5.00!,5.2,4,10,0.47,60.0,0.30690243366795283,[1],83.33333333333333,9,3,,,0.3300313829968218,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
SmallPun,1500,0,10,10,10,,90.22399839002173,None,1500,92.23593127101776,None,None,92.23593127101776,None,1.53,11,93.74279350801953,None,None,0,93.74279350801953,None,You lost $0.20!,5.0,5,11,0.47,54.54545454545454,0.30690243366795283,"[1, 0]",83.33333333333333,9,3,,,,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
SmallPun,1500,0,11,11,11,,95.72418926999671,None,1500,97.73612635300378,None,None,97.73612635300378,None,1.53,12,99.24298192001879,None,1,1,99.24298192001879,None,You did not lose $0.20!,5.0,5,12,0.43999999999999995,58.333333333333336,0.30708070799924564,[],83.33333333333333,12,3,Adjusting RT...,,0.30815035398700275,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
LgPun,1500,0,12,12,12,,101.22449803599739,None,1500,103.23667586001102,None,None,103.23667586001102,None,1.56,13,104.75243720400613,None,None,0,104.75243720400613,None,You lost $5.00!,0.0,4,13,0.43999999999999995,53.84615384615385,0.30708070799924564,[0],83.33333333333333,12,3,,,,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
Triangle,1500,0,13,13,13,,106.68281020500581,None,1500,108.69153835001634,None,1,108.69153835001634,None,1.56,14,110.20446796301985,None,None,0,110.20446796301985,None,You did not win or lose anything!,0.0,3,13,0.43999999999999995,50.0,0.30708070799924564,[0],83.33333333333333,12,3,,0.6086626939941198,,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
SmallPun,1500,0,14,14,14,,112.14108140600729,None,1500,114.15488320501754,None,None,114.15488320501754,None,1.56,15,115.66170074100955,None,None,0,115.66170074100955,None,You lost $0.20!,-0.2,5,14,0.43999999999999995,46.666666666666664,0.30708070799924564,"[0, 0]",83.33333333333333,12,3,,,,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
SmallPun,2000,0,15,15,15,,117.60003826901084,None,2000,119.6081891770009,None,None,119.6081891770009,None,1.56,16,121.6232093879953,None,None,0,121.6232093879953,None,You lost $0.20!,-0.4,5,15,0.4799999999999999,43.75,0.30708070799924564,[],33.33333333333333,15,3,Adjusting RT...,,,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
LgReward,3500,0,16,16,16,,123.55848542801687,None,3500,125.57293262600433,None,None,125.57293262600433,None,1.52,17,129.09092872199835,None,None,0,129.09092872199835,None,You did not win $5.00!,-0.4,1,16,0.4799999999999999,41.17647058823529,0.30708070799924564,[0],33.33333333333333,15,3,,,,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
LgReward,3000,0,17,17,17,,131.0173558779934,None,3000,133.02369517000625,None,1,133.02369517000625,None,1.52,18,136.0567276760121,None,1,1,136.0567276760121,None,You won $5.00!,4.6,1,17,0.4799999999999999,44.44444444444444,0.30813724600011483,"[0, 1]",33.33333333333333,15,3,,2.8025656590180006,0.315533012006199,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
SmallReward,3500,0,18,18,18,,137.9761195559986,None,3500,139.9915550550213,None,None,139.9915550550213,None,1.52,19,143.50953285800642,None,None,0,143.50953285800642,None,You did not win $0.20!,4.6,2,18,0.5,42.10526315789473,0.30813724600011483,[],16.666666666666664,18,3,Adjusting RT...,,,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
Triangle,3500,0,19,19,19,,145.43579007999506,None,3500,147.44237439602148,None,1,147.44237439602148,None,1.5,20,150.95950265100691,None,1,1,150.95950265100691,None,You did not win or lose anything!,4.6,3,18,0.5,45.0,0.3139802074422025,[],16.666666666666664,18,3,,0.8498946350009646,0.3607238989789039,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
SmallPun,1500,0,20,20,20,,152.93361184201785,None,1500,154.94406246300787,None,None,154.94406246300787,None,1.5,21,156.4597235060064,None,None,0,156.4597235060064,None,You lost $0.20!,4.3999999999999995,5,19,0.5,42.857142857142854,0.3139802074422025,[0],16.666666666666664,18,3,,,,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
SmallReward,1500,0,21,21,21,,158.4343508190068,None,1500,160.44435938901734,None,None,160.44435938901734,None,1.5,22,161.96533276399714,None,None,0,161.96533276399714,None,You did not win $0.20!,4.3999999999999995,2,20,0.5,40.909090909090914,0.3139802074422025,"[0, 0]",16.666666666666664,18,3,,,,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
LgPun,1500,0,22,22,22,,163.93559802600066,None,1500,165.9457265160163,None,None,165.9457265160163,None,1.5,23,167.46099643100752,None,1,1,167.46099643100752,None,You did not lose $5.00!,4.3999999999999995,4,21,0.5,43.47826086956522,0.32099836329871323,[],33.33333333333333,21,3,Adjusting RT...,,0.3841617660073098,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
Triangle,3000,0,23,23,23,,169.43541700101923,None,3000,171.44526639400283,None,None,171.44526639400283,None,1.5,24,174.4625987049949,None,1,1,174.4625987049949,None,You did not win or lose anything!,4.3999999999999995,3,21,0.5,45.83333333333333,0.3235943208168134,[],33.33333333333333,21,3,,,0.34955389599781483,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
Triangle,1500,0,24,24,24,,176.43565303599462,None,1500,178.44704564101994,None,None,178.44704564101994,None,1.5,25,179.95411077101016,None,None,0,179.95411077101016,None,You did not win or lose anything!,4.3999999999999995,3,21,0.5,44.0,0.3235943208168134,[],33.33333333333333,21,3,,,,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
SmallPun,3000,0,25,25,25,,181.93619345701882,None,3000,183.94644145900384,None,None,183.94644145900384,None,1.5,26,186.95386594900629,None,None,0,186.95386594900629,None,You lost $0.20!,4.199999999999999,5,22,0.5,42.30769230769231,0.3235943208168134,[0],33.33333333333333,21,3,,,,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
SmallReward,2000,0,26,26,26,,188.9366112340067,None,2000,190.94778945000144,None,None,190.94778945000144,None,1.5,27,192.96838339301758,None,1,1,192.96838339301758,None,You won $0.20!,4.3999999999999995,2,23,0.5,44.44444444444444,0.3262743159987925,"[0, 1]",33.33333333333333,21,3,,,0.3557542630005628,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
SmallPun,4000,0,27,27,27,,194.93840619400726,None,4000,196.94905665199622,None,1,196.94905665199622,None,1.5,28,200.9547248549934,None,1,1,200.9547248549934,None,You did not lose $0.20!,4.3999999999999995,5,24,0.5,46.42857142857143,0.3197535783065877,[],49.99999999999999,24,3,Adjusting RT...,3.8782043639803305,0.24150472600013018,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
LgReward,2000,0,28,28,28,,202.9371714120207,None,2000,204.9497115210106,None,None,204.9497115210106,None,1.5,29,206.97226484899875,None,None,0,206.97226484899875,None,You did not win $5.00!,4.3999999999999995,1,25,0.5,44.827586206896555,0.3197535783065877,[0],49.99999999999999,24,3,,,,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
SmallReward,1500,0,29,29,29,,208.95744185999501,None,1500,210.94952364699566,None,None,210.94952364699566,None,1.5,30,212.46823358800611,None,None,0,212.46823358800611,None,You did not win $0.20!,4.3999999999999995,2,26,0.5,43.333333333333336,0.3197535783065877,"[0, 0]",49.99999999999999,24,3,,,,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
LgReward,1500,0,30,30,30,,214.43848290201277,None,1500,216.45119208900724,None,None,216.45119208900724,None,1.5,31,217.9684797069931,None,1,1,217.9684797069931,None,You won $5.00!,9.399999999999999,1,27,0.5,45.16129032258064,0.3196814467851904,[],49.99999999999999,27,3,Adjusting RT...,,0.31874373700702563,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
SmallReward,2000,0,31,31,31,,219.93915651200223,None,2000,221.95248518901644,None,None,221.95248518901644,None,1.5,32,223.96994746901328,None,1,1,223.96994746901328,None,You won $0.20!,9.599999999999998,2,28,0.5,46.875,0.3177145732663727,[1],49.99999999999999,27,3,,,0.29017834400292486,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
LgPun,3000,0,32,32,32,,225.9399292290036,None,3000,227.95349385400186,None,1,227.95349385400186,None,1.5,33,230.9568315600045,None,1,1,230.9568315600045,None,You did not lose $5.00!,9.599999999999998,4,29,0.5,48.484848484848484,0.3211350508736359,"[1, 1]",49.99999999999999,27,3,,2.157762916991487,0.3724422149825841,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
SmallPun,2000,0,33,33,33,,232.93862668500515,None,2000,234.9535741780128,None,None,234.9535741780128,None,1.5,34,236.9573770640127,None,1,1,236.9573770640127,None,You did not lose $0.20!,9.599999999999998,5,30,0.48,50.0,0.30411518088144746,[],66.66666666666666,30,3,Adjusting RT...,,0.031797261006431654,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
Triangle,2500,0,34,34,34,,238.9384701969975,None,2500,240.95508552200045,None,None,240.95508552200045,None,1.52,35,243.4571692610043,None,None,0,243.4571692610043,None,You did not win or lose anything!,9.599999999999998,3,30,0.48,48.57142857142857,0.30411518088144746,[],66.66666666666666,30,3,,,,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
Triangle,2000,0,35,35,35,,245.3975440970098,None,2000,247.4070049280126,None,None,247.4070049280126,None,1.52,36,249.41546031401958,None,None,0,249.41546031401958,None,You did not win or lose anything!,9.599999999999998,3,30,0.48,47.22222222222222,0.30411518088144746,[],66.66666666666666,30,3,,,,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
SmallPun,2500,0,36,36,36,,251.35596668100334,None,2500,253.37340213599964,None,1,253.37340213599964,None,1.52,37,255.8744657310017,None,1,1,255.8744657310017,None,You did not lose $0.20!,9.599999999999998,5,31,0.48,48.64864864864865,0.3070461709430674,[1],66.66666666666666,30,3,,1.7038068510009907,0.356873001990607,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
SmallReward,3000,0,37,37,37,,257.81436568600475,None,3000,259.8247376450163,None,None,259.8247376450163,None,1.52,38,262.84228743001586,None,None,0,262.84228743001586,None,You did not win $0.20!,9.599999999999998,2,32,0.48,47.368421052631575,0.3070461709430674,"[1, 0]",66.66666666666666,30,3,,,,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
LgPun,2000,0,38,38,38,,264.77667869700235,None,2000,266.79118337499676,None,None,266.79118337499676,None,1.52,39,268.7930273450038,None,None,0,268.7930273450038,None,You lost $5.00!,4.599999999999998,4,33,0.45999999999999996,46.15384615384615,0.3070461709430674,[],66.66666666666666,33,3,Adjusting RT...,,,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
LgPun,3500,0,39,39,39,,270.7320709420019,None,3500,272.74349092302145,None,1,272.74349092302145,None,1.54,40,276.2590487700072,None,None,0,276.2590487700072,None,You lost $5.00!,-0.40000000000000213,4,34,0.45999999999999996,45.0,0.3070461709430674,[0],66.66666666666666,33,3,,3.125769611011492,,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
LgReward,2000,0,40,40,40,,278.23128449500655,None,2000,280.2437677050184,None,None,280.2437677050184,None,1.54,41,282.26284605200635,None,None,0,282.26284605200635,None,You did not win $5.00!,-0.40000000000000213,1,35,0.45999999999999996,43.90243902439025,0.3070461709430674,"[0, 0]",66.66666666666666,33,3,,,,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
LgReward,2500,0,41,41,41,,284.2327189659991,None,2500,286.2443725790072,None,None,286.2443725790072,None,1.54,42,288.7631398829981,None,None,0,288.7631398829981,None,You did not win $5.00!,-0.40000000000000213,1,36,0.5,42.857142857142854,0.3070461709430674,[],16.666666666666664,36,3,Adjusting RT...,,,036,Scanner,2,2019_Aug_25_0957,MID,3.1.5,23.99266778266045,
