cue,probe,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,jitter,fixationResp.keys,jitterTarget,feedbackDur,rt_list,probeResp.keys,probeResp.corr,msg,TrackEarnings,Trial Counter,TrialType,ProbeDur,percentacc,meanrt,probeResp.rt,participant,session,PracticeRT,date,expName,psychopyVersion,frameRate,
images/LoseBig.BMP,images/LoseProbe.BMP,LoseBig,0,0,0,0,2.051,None,0.176,1.824,[],None,0,You did not lose $-5.00!,-5,2,4,0.15,0.0,nan,,,001,200,2019_Apr_18_1152,MID,3.0.7,59.906224815417005,
,,,,,,,2.681,None,0.478,1.522,[[]],space,1,,,,,,,,0.26954537897836417,,,,,,,,
