Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,probeResp.rt,AdjRTmsg,feedback_resp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,53.93695623399981,None,2000,55.954167757001414,None,None,55.954167757001414,None,1.65,1,58.020702327001345,None,None,0,58.020702327001345,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,None,,,,,002,Practice,2,2019_Sep_05_1110,MID,3.1.5,60.1471524143872,
LgReward,2000,0,1,1,1,,60.08814205300041,None,2000,62.10484633899978,None,None,62.10484633899978,None,1.65,2,64.15467696000087,None,1,1,64.15467696000087,None,You won $5.00!,5,1,2,0.35,50.0,0.2826487599995744,"[0, 1]",0,0,3,None,0.2826487599995744,0.2826487599995744,,,002,Practice,2,2019_Sep_05_1110,MID,3.1.5,60.1471524143872,
SmallPun,2000,0,2,2,2,,66.1887804550006,None,2000,68.22241057100109,None,None,68.22241057100109,None,1.65,3,70.2558651470008,None,1,1,70.2558651470008,None,You did not lose $0.20!,5,5,3,0.32999999999999996,66.66666666666666,0.27111244199932116,[],66.66666666666666,3,3,None,0.25957612399906793,0.25957612399906793,Adjusting RT...,,002,Practice,2,2019_Sep_05_1110,MID,3.1.5,60.1471524143872,
LgPun,2000,0,3,3,3,,72.29246296600104,None,2000,74.32275978400139,None,None,74.32275978400139,None,1.67,4,76.35625050800081,None,None,0,76.35625050800081,None,You lost $5.00!,0,4,4,0.32999999999999996,50.0,0.27111244199932116,[0],66.66666666666666,3,3,None,0.25957612399906793,,,,002,Practice,2,2019_Sep_05_1110,MID,3.1.5,60.1471524143872,
Triangle,2000,0,4,4,4,,78.3929626879999,None,2000,80.42433734200131,None,None,80.42433734200131,None,1.67,5,82.4571706200004,None,None,0,82.4571706200004,None,You did not win or lose anything!,0,3,4,0.32999999999999996,40.0,0.27111244199932116,[0],66.66666666666666,3,3,1,0.3932659120001335,,,0.06326591200013354,002,Practice,2,2019_Sep_05_1110,MID,3.1.5,60.1471524143872,
LgReward,2000,0,5,5,5,,84.52398901500055,None,2000,86.55794630000128,None,None,86.55794630000128,None,1.67,6,88.60870078400148,None,1,1,88.60870078400148,None,You won $5.00!,5,1,5,0.32999999999999996,50.0,0.2709924883329222,"[0, 1]",66.66666666666666,3,3,None,0.27075258100012434,0.27075258100012434,,,002,Practice,2,2019_Sep_05_1110,MID,3.1.5,60.1471524143872,
SmallPun,2000,0,6,6,6,,90.64362096100012,None,2000,92.67621359500117,None,None,92.67621359500117,None,1.67,7,94.70879920800144,None,None,0,94.70879920800144,None,You lost $0.20!,4.8,5,6,0.35,42.857142857142854,0.2709924883329222,[],49.99999999999999,6,3,None,0.27075258100012434,,Adjusting RT...,,002,Practice,2,2019_Sep_05_1110,MID,3.1.5,60.1471524143872,
SmallReward,2000,0,7,7,7,,96.77613293800096,None,2000,98.80999654300103,None,None,98.80999654300103,None,1.65,8,100.8599913500002,None,1,1,100.8599913500002,None,You won $0.20!,5.0,2,7,0.35,50.0,0.28262498324966145,[1],49.99999999999999,6,3,None,0.31752246799987915,0.31752246799987915,,,002,Practice,2,2019_Sep_05_1110,MID,3.1.5,60.1471524143872,
Triangle,2000,0,8,8,8,,102.89360407100139,None,2000,104.92741460100115,None,None,104.92741460100115,None,1.65,9,106.960716779,None,1,1,106.960716779,None,You did not win or lose anything!,5.0,3,7,0.35,55.55555555555556,0.2704443755996181,[1],49.99999999999999,6,3,None,0.22172194499944453,0.22172194499944453,,,002,Practice,2,2019_Sep_05_1110,MID,3.1.5,60.1471524143872,
LgReward,2000,0,9,9,9,,109.01103609700112,None,2000,111.04409582600056,None,None,111.04409582600056,None,1.65,10,113.09433742400142,None,None,0,113.09433742400142,None,You did not win $5.00!,5.0,1,8,0.35,50.0,0.2704443755996181,"[1, 0]",49.99999999999999,6,3,1,0.35839662700127517,,,0.008396627001275192,002,Practice,2,2019_Sep_05_1110,MID,3.1.5,60.1471524143872,
LgPun,2000,0,10,10,10,,115.12828947900016,None,2000,117.16250938600024,None,None,117.16250938600024,None,1.65,11,119.19560758599982,None,1,1,119.19560758599982,None,You did not lose $5.00!,5.0,4,9,0.37,54.54545454545454,0.268176559332763,[],49.99999999999999,9,3,None,0.2568374779984879,0.2568374779984879,Adjusting RT...,,002,Practice,2,2019_Sep_05_1110,MID,3.1.5,60.1471524143872,
SmallPun,2000,0,11,11,11,,121.2290221660005,None,2000,123.26291638099974,None,None,123.26291638099974,None,1.63,12,125.29603296900132,None,1,1,125.29603296900132,None,You did not lose $0.20!,5.0,5,10,0.37,58.333333333333336,0.2709237932852245,[1],49.99999999999999,9,3,None,0.2874071969999932,0.2874071969999932,,,002,Practice,2,2019_Sep_05_1110,MID,3.1.5,60.1471524143872,
SmallReward,2000,0,12,12,12,,127.34615132600084,None,2000,129.3799650960009,None,None,129.3799650960009,None,1.63,13,131.42981423700076,None,None,0,131.42981423700076,None,You did not win $0.20!,5.0,2,11,0.37,53.84615384615385,0.2709237932852245,"[1, 0]",49.99999999999999,9,3,None,0.2874071969999932,,,,002,Practice,2,2019_Sep_05_1110,MID,3.1.5,60.1471524143872,
LgPun,2000,0,13,13,13,,133.46276338200005,None,2000,135.4964926950015,None,None,135.4964926950015,None,1.63,14,137.52977231099976,None,None,0,137.52977231099976,None,You lost $5.00!,0.0,4,12,0.39,50.0,0.2709237932852245,[],49.99999999999999,12,3,1,1.0367434649985081,,Adjusting RT...,0.646743464998508,002,Practice,2,2019_Sep_05_1110,MID,3.1.5,60.1471524143872,
Triangle,2000,0,14,14,14,,139.563150856,None,2000,141.5974428540012,None,None,141.5974428540012,None,1.6099999999999999,15,143.63051541999994,None,None,0,143.63051541999994,None,You did not win or lose anything!,0.0,3,12,0.39,46.666666666666664,0.2709237932852245,[],49.99999999999999,12,3,1,0.5830839470005594,,,0.19308394700055942,002,Practice,2,2019_Sep_05_1110,MID,3.1.5,60.1471524143872,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,Practice,2,2019_Sep_05_1110,MID,3.1.5,60.1471524143872,
