Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,fixationResp.rt,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,53.98872412898345,None,2000,55.99820210598409,None,None,55.99820210598409,None,1.65,1,58.015243136003846,None,None,0,58.015243136003846,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,,,,0381,Practice,2,2019_Aug_25_1119,MID,3.1.5,24.009154672061733,
LgReward,2000,0,1,1,1,,59.935809073009295,None,2000,61.947934438008815,None,None,61.947934438008815,None,1.65,2,63.96921982598724,None,None,0,63.96921982598724,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,,,,0381,Practice,2,2019_Aug_25_1119,MID,3.1.5,24.009154672061733,
SmallPun,2000,0,2,2,2,,65.89439615700394,None,2000,67.9007659140043,None,1,67.9007659140043,None,1.65,3,69.91740938500152,None,None,0,69.91740938500152,None,You lost $0.20!,-0.2,5,3,0.42,0.0,nan,[],0.0,3,3,0.20631073601543903,Adjusting RT...,,0381,Practice,2,2019_Aug_25_1119,MID,3.1.5,24.009154672061733,
LgPun,2000,0,3,3,3,,71.85315415199148,None,2000,73.86709682599758,None,None,73.86709682599758,None,1.58,4,75.8707623030059,None,None,0,75.8707623030059,None,You lost $5.00!,-5.2,4,4,0.42,0.0,nan,[0],0.0,3,3,,,,0381,Practice,2,2019_Aug_25_1119,MID,3.1.5,24.009154672061733,
Triangle,2000,0,4,4,4,,77.85289885598468,None,2000,79.86747222498525,None,None,79.86747222498525,None,1.58,5,81.87213602400152,None,None,0,81.87213602400152,None,You did not win or lose anything!,-5.2,3,4,0.42,0.0,nan,[0],0.0,3,3,,,,0381,Practice,2,2019_Aug_25_1119,MID,3.1.5,24.009154672061733,
LgReward,2000,0,5,5,5,,83.85334789098124,None,2000,85.86874243698549,None,None,85.86874243698549,None,1.58,6,87.88564679498086,None,None,0,87.88564679498086,None,You did not win $5.00!,-5.2,1,5,0.42,0.0,nan,"[0, 0]",0.0,3,3,,,,0381,Practice,2,2019_Aug_25_1119,MID,3.1.5,24.009154672061733,
SmallPun,2000,0,6,6,6,,89.85372420799104,None,2000,91.86976837200928,None,None,91.86976837200928,None,1.58,7,93.87379839300411,None,None,0,93.87379839300411,None,You lost $0.20!,-5.4,5,6,0.49,0.0,nan,[],0.0,6,3,,Adjusting RT...,,0381,Practice,2,2019_Aug_25_1119,MID,3.1.5,24.009154672061733,
SmallReward,2000,0,7,7,7,,95.85396604699781,None,2000,97.87037186400266,None,None,97.87037186400266,None,1.51,8,99.88759922800818,None,1,1,99.88759922800818,None,You won $0.20!,-5.2,2,7,0.49,12.5,0.32459981698775664,[1],0.0,6,3,,,0.32459981698775664,0381,Practice,2,2019_Aug_25_1119,MID,3.1.5,24.009154672061733,
Triangle,2000,0,8,8,8,,101.85424365999643,None,2000,103.87069728298229,None,None,103.87069728298229,None,1.51,9,105.87223077498493,None,1,1,105.87223077498493,None,You did not win or lose anything!,-5.2,3,7,0.49,22.22222222222222,0.3192811139888363,[1],0.0,6,3,,,0.31396241098991595,0381,Practice,2,2019_Aug_25_1119,MID,3.1.5,24.009154672061733,
LgReward,2000,0,9,9,9,,107.85402513900772,None,2000,109.87192033600877,None,1,109.87192033600877,None,1.51,10,111.88828992698109,None,1,1,111.88828992698109,None,You won $5.00!,-0.20000000000000018,1,8,0.49,30.0,0.31146088932291605,"[1, 1]",0.0,6,3,0.360273717000382,,0.29582043999107555,0381,Practice,2,2019_Aug_25_1119,MID,3.1.5,24.009154672061733,
LgPun,2000,0,10,10,10,,113.85468233100255,None,2000,115.87227909598732,None,None,115.87227909598732,None,1.51,11,117.87326771198423,None,1,1,117.87326771198423,None,You did not lose $5.00!,-0.20000000000000018,4,9,0.5,36.36363636363637,0.3170809467410436,[],50.0,9,3,,Adjusting RT...,0.3339411189954262,0381,Practice,2,2019_Aug_25_1119,MID,3.1.5,24.009154672061733,
SmallPun,2000,0,11,11,11,,119.85479941000813,None,2000,121.87375519098714,None,None,121.87375519098714,None,1.5,12,123.87338371499209,None,1,1,123.87338371499209,None,You did not lose $0.20!,-0.20000000000000018,5,10,0.5,41.66666666666667,0.31640156399225816,[1],50.0,9,3,,,0.31368403299711645,0381,Practice,2,2019_Aug_25_1119,MID,3.1.5,24.009154672061733,
SmallReward,2000,0,12,12,12,,125.85532972999499,None,2000,127.87363939598436,None,None,127.87363939598436,None,1.5,13,129.89051097800257,None,1,1,129.89051097800257,None,You won $0.20!,-1.6653345369377348e-16,2,11,0.5,46.15384615384615,0.31661603499378543,"[1, 1]",50.0,9,3,,,0.3176883900014218,0381,Practice,2,2019_Aug_25_1119,MID,3.1.5,24.009154672061733,
LgPun,2000,0,13,13,13,,131.85561711600167,None,2000,133.87547621398699,None,None,133.87547621398699,None,1.5,14,135.87483730798704,None,1,1,135.87483730798704,None,You did not lose $5.00!,-1.6653345369377348e-16,4,12,0.45,50.0,0.3201507618526063,[],100.0,12,3,,Adjusting RT...,0.34135912300553173,0381,Practice,2,2019_Aug_25_1119,MID,3.1.5,24.009154672061733,
Triangle,2000,0,14,14,14,,137.85530492599355,None,2000,139.87603440100793,None,None,139.87603440100793,None,1.55,15,141.87623563600937,None,None,0,141.87623563600937,None,You did not win or lose anything!,-1.6653345369377348e-16,3,12,0.45,46.666666666666664,0.3201507618526063,[],100.0,12,3,,,,0381,Practice,2,2019_Aug_25_1119,MID,3.1.5,24.009154672061733,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0381,Practice,2,2019_Aug_25_1119,MID,3.1.5,24.009154672061733,
