Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
Triangle,2000,0,0,0,0,TimeVersion8.csv,39.31060516802245,None,2000,41.32043882002472,None,None,41.32043882002472,None,1.6099999999999999,1,43.337347110005794,None,None,0,43.337347110005794,None,You did not win or lose anything!,0,3,0,0.39,0.0,nan,[],0,0,3,1,0.005032966990256682,0.3950329669902567,,,,023,Scanner,1,2019_Aug_29_0935,MID,3.1.5,24.02438019042532,
SmallReward,3500,0,1,1,1,,45.311177856026916,None,3500,47.3207855290093,None,None,47.3207855290093,None,1.6099999999999999,2,50.843632448028075,None,None,0,50.843632448028075,None,You did not win $0.20!,0,2,1,0.39,0.0,nan,[0],0,0,3,1,-0.012058527994668111,0.3779414720053319,,,,023,Scanner,1,2019_Aug_29_0935,MID,3.1.5,24.02438019042532,
LgPun,2000,0,2,2,2,,52.81262187601533,None,2000,54.822042397019686,None,None,54.822042397019686,None,1.6099999999999999,3,56.830301060021156,None,1,1,56.830301060021156,None,You did not lose $5.00!,0,4,2,0.39,33.33333333333333,0.3146007430041209,"[0, 1]",0,0,3,None,,0.3146007430041209,0.3146007430041209,,,023,Scanner,1,2019_Aug_29_0935,MID,3.1.5,24.02438019042532,
SmallReward,1500,0,3,3,3,,58.811652194999624,None,1500,60.82285004600999,None,None,60.82285004600999,None,1.6099999999999999,4,62.38998140901094,None,1,1,62.38998140901094,None,You won $0.20!,0.2,2,3,0.37,50.0,0.3242508399998769,[],66.66666666666666,3,3,None,,0.33390093699563295,0.33390093699563295,Adjusting RT...,,023,Scanner,1,2019_Aug_29_0935,MID,3.1.5,24.02438019042532,
LgReward,4000,0,4,4,4,,64.39890381702571,None,4000,66.40773977700155,None,None,66.40773977700155,None,1.63,5,70.43032063101418,None,None,0,70.43032063101418,None,You did not win $5.00!,0.2,1,4,0.37,40.0,0.3242508399998769,[0],66.66666666666666,3,3,1,-0.004753188986796886,0.3652468110132031,,,,023,Scanner,1,2019_Aug_29_0935,MID,3.1.5,24.02438019042532,
LgPun,1500,0,5,5,5,,72.43765516401618,None,1500,74.45687705400633,None,None,74.45687705400633,None,1.63,6,75.95862117700744,None,None,0,75.95862117700744,None,You lost $5.00!,-4.8,4,5,0.37,33.33333333333333,0.3242508399998769,"[0, 0]",66.66666666666666,3,3,None,,0.3652468110132031,,,,023,Scanner,1,2019_Aug_29_0935,MID,3.1.5,24.02438019042532,
Triangle,3500,0,6,6,6,,77.97829916301998,None,3500,79.99179347400786,None,None,79.99179347400786,None,1.63,7,83.49784010302392,None,None,0,83.49784010302392,None,You did not win or lose anything!,-4.8,3,5,0.37,28.57142857142857,0.3242508399998769,"[0, 0]",66.66666666666666,3,3,None,,0.3652468110132031,,,,023,Scanner,1,2019_Aug_29_0935,MID,3.1.5,24.02438019042532,
LgPun,1500,0,7,7,7,,85.52146797100431,None,1500,87.5271014830214,None,None,87.5271014830214,None,1.63,8,89.04356947500492,None,None,0,89.04356947500492,None,You lost $5.00!,-9.8,4,6,0.41,25.0,0.3242508399998769,[],33.33333333333333,6,3,1,0.0015467820048797876,0.41154678200487976,,Adjusting RT...,,023,Scanner,1,2019_Aug_29_0935,MID,3.1.5,24.02438019042532,
SmallReward,1500,0,8,8,8,,91.06234003099962,None,1500,93.07734850401175,None,None,93.07734850401175,None,1.59,9,94.59282218501903,None,1,1,94.59282218501903,None,You won $0.20!,-9.600000000000001,2,7,0.41,33.33333333333333,0.3161849289996705,[1],33.33333333333333,6,3,None,,0.3000531069992576,0.3000531069992576,,,023,Scanner,1,2019_Aug_29_0935,MID,3.1.5,24.02438019042532,
SmallPun,2500,0,9,9,9,,96.60505852501956,None,2500,98.6118303000112,None,None,98.6118303000112,None,1.59,10,101.12846532501862,None,1,1,101.12846532501862,None,You did not lose $0.20!,-9.600000000000001,5,8,0.41,40.0,0.31327264750143513,"[1, 1]",33.33333333333333,6,3,None,,0.3045358030067291,0.3045358030067291,,,023,Scanner,1,2019_Aug_29_0935,MID,3.1.5,24.02438019042532,
SmallPun,1500,0,10,10,10,,103.14722837801673,None,1500,105.16262562701013,None,None,105.16262562701013,None,1.59,11,106.66626426801668,None,1,1,106.66626426801668,None,You did not lose $0.20!,-9.600000000000001,5,9,0.43,45.45454545454545,0.31076366039924325,[],50.0,9,3,None,,0.30072771199047565,0.30072771199047565,Adjusting RT...,,023,Scanner,1,2019_Aug_29_0935,MID,3.1.5,24.02438019042532,
LgReward,3500,0,11,11,11,,108.6889826550032,None,3500,110.69646431002184,None,1,110.69646431002184,None,1.57,12,114.22087990000728,None,None,0,114.22087990000728,None,You did not win $5.00!,-9.600000000000001,1,10,0.43,41.66666666666667,0.31076366039924325,[0],50.0,9,3,None,,0.30072771199047565,,,2.4435310650151223,023,Scanner,1,2019_Aug_29_0935,MID,3.1.5,24.02438019042532,
LgPun,1500,0,12,12,12,,116.19034233802813,None,1500,118.1980526940024,None,None,118.1980526940024,None,1.57,13,119.71411111301859,None,None,0,119.71411111301859,None,You lost $5.00!,-14.600000000000001,4,11,0.43,38.46153846153847,0.31076366039924325,"[0, 0]",50.0,9,3,None,,0.30072771199047565,,,,023,Scanner,1,2019_Aug_29_0935,MID,3.1.5,24.02438019042532,
SmallPun,2000,0,13,13,13,,121.68955088901566,None,2000,123.69766357901972,None,None,123.69766357901972,None,1.57,14,125.71431809902424,None,None,0,125.71431809902424,None,You lost $0.20!,-14.8,5,12,0.45,35.714285714285715,0.31076366039924325,[],50.0,12,3,None,,0.30072771199047565,,Adjusting RT...,,023,Scanner,1,2019_Aug_29_0935,MID,3.1.5,24.02438019042532,
LgReward,1500,0,14,14,14,,127.68974706801237,None,1500,129.69891464302782,None,None,129.69891464302782,None,1.55,15,131.2217210760282,None,1,1,131.2217210760282,None,You won $5.00!,-9.8,1,13,0.45,40.0,0.3140149021686132,[1],50.0,12,3,None,,0.33027111101546325,0.33027111101546325,,,023,Scanner,1,2019_Aug_29_0935,MID,3.1.5,24.02438019042532,
LgReward,1500,0,15,15,15,,133.23090234800475,None,1500,135.2497417530103,None,None,135.2497417530103,None,1.55,16,136.77114397802507,None,1,1,136.77114397802507,None,You won $5.00!,-4.800000000000001,1,14,0.45,43.75,0.31668959928876056,"[1, 1]",50.0,12,3,None,,0.33273778200964443,0.33273778200964443,,,023,Scanner,1,2019_Aug_29_0935,MID,3.1.5,24.02438019042532,
SmallReward,2000,0,16,16,16,,138.78678573001525,None,2000,140.7845279740286,None,None,140.7845279740286,None,1.55,17,142.806646284007,None,1,1,142.806646284007,None,You won $0.20!,-4.6000000000000005,2,15,0.47000000000000003,47.05882352941176,0.32264630962890806,[],50.0,15,3,None,,0.3643432820099406,0.3643432820099406,Adjusting RT...,,023,Scanner,1,2019_Aug_29_0935,MID,3.1.5,24.02438019042532,
