Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,probeResp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,2000,0,0,0,0,TimeVersion5.csv,28.949334150005598,None,2000,30.969672525010537,None,None,30.969672525010537,None,1.5,1,32.9722555160115,None,None,0,32.9722555160115,None,You lost $0.20!,-0.2,5,1,0.5,0.0,nan,[0],0,0,3,,,,027,Scanner,2,2019_Aug_27_1104,MID,3.1.5,23.995722100039252,
LgReward,4000,0,1,1,1,,34.949438921990804,None,4000,36.97013427899219,None,None,36.97013427899219,None,1.5,2,40.985825311014196,None,None,0,40.985825311014196,None,You did not win $5.00!,-0.2,1,2,0.5,0.0,nan,"[0, 0]",0,0,3,,,,027,Scanner,2,2019_Aug_27_1104,MID,3.1.5,23.995722100039252,
SmallPun,3000,0,2,2,2,,42.9493106000009,None,3000,44.97138140699826,None,None,44.97138140699826,None,1.5,3,47.9722579169902,None,1,1,47.9722579169902,None,You did not lose $0.20!,-0.2,5,3,0.5,33.33333333333333,0.3702046149992384,[],33.33333333333333,3,3,0.3702046149992384,Adjusting RT...,,027,Scanner,2,2019_Aug_27_1104,MID,3.1.5,23.995722100039252,
SmallReward,2000,0,3,3,3,,49.95035696600098,None,2000,51.95750123698963,None,None,51.95750123698963,None,1.5,4,53.99436767899897,None,None,0,53.99436767899897,None,You did not win $0.20!,-0.2,2,4,0.5,25.0,0.3702046149992384,[0],33.33333333333333,3,3,,,,027,Scanner,2,2019_Aug_27_1104,MID,3.1.5,23.995722100039252,
LgPun,2000,0,4,4,4,,55.950791510986164,None,2000,57.96026766800787,None,None,57.96026766800787,None,1.5,5,59.97306775601464,None,None,0,59.97306775601464,None,You lost $5.00!,-5.2,4,5,0.5,20.0,0.3702046149992384,"[0, 0]",33.33333333333333,3,3,,,,027,Scanner,2,2019_Aug_27_1104,MID,3.1.5,23.995722100039252,
Triangle,2500,0,5,5,5,,61.95066694798879,None,2500,63.95941713999491,None,None,63.95941713999491,None,1.5,6,66.47392328400747,None,None,0,66.47392328400747,None,You did not win or lose anything!,-5.2,3,5,0.5,16.666666666666664,0.3702046149992384,"[0, 0]",33.33333333333333,3,3,,,,027,Scanner,2,2019_Aug_27_1104,MID,3.1.5,23.995722100039252,
SmallReward,2500,0,6,6,6,,68.4511927110143,None,2500,70.45837085900712,None,None,70.45837085900712,None,1.5,7,72.98207408899907,None,1,1,72.98207408899907,None,You won $0.20!,-5.0,2,6,0.5,28.57142857142857,0.26330190799490083,[],33.33333333333333,6,3,0.15639920099056326,Adjusting RT...,,027,Scanner,2,2019_Aug_27_1104,MID,3.1.5,23.995722100039252,
SmallReward,1500,0,7,7,7,,74.95516179001424,None,1500,76.95817827899009,None,None,76.95817827899009,None,1.5,8,78.48094151698751,None,None,0,78.48094151698751,None,You did not win $0.20!,-5.0,2,7,0.5,25.0,0.26330190799490083,[0],33.33333333333333,6,3,,,,027,Scanner,2,2019_Aug_27_1104,MID,3.1.5,23.995722100039252,
LgReward,1500,0,8,8,8,,80.45341461399221,None,1500,82.45986812200863,None,None,82.45986812200863,None,1.5,9,83.99234612399596,None,None,0,83.99234612399596,None,You did not win $5.00!,-5.0,1,8,0.5,22.22222222222222,0.26330190799490083,"[0, 0]",33.33333333333333,6,3,,,,027,Scanner,2,2019_Aug_27_1104,MID,3.1.5,23.995722100039252,
SmallPun,2000,0,9,9,9,,85.95187494301354,None,2000,87.95991942999535,None,None,87.95991942999535,None,1.5,10,89.97630910100997,None,None,0,89.97630910100997,None,You lost $0.20!,-5.2,5,9,0.5,20.0,0.26330190799490083,[],16.666666666666664,9,3,,Adjusting RT...,,027,Scanner,2,2019_Aug_27_1104,MID,3.1.5,23.995722100039252,
