Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,AdjRTmsg,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgPun,1500,0,14,14,14,,123.45786142900033,None,1500,125.48294910500044,None,None,125.48294910500044,None,1.7200000000000002,15,127.02453732600043,None,None,0,127.02453732600043,None,You lost $5.00!,0.40000000000000036,4,10,0.2799999999999999,60.0,0.2674448335557018,[0],83.33333333333333,9,3,None,,0.28973759499902363,,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
SmallReward,3500,0,15,15,15,,129.08502155099995,None,3500,131.1171030459991,None,None,131.1171030459991,None,1.7200000000000002,16,134.66755316200215,None,None,0,134.66755316200215,None,You did not win $0.20!,0.40000000000000036,2,11,0.2799999999999999,56.25,0.2674448335557018,"[0, 0]",83.33333333333333,9,3,None,,0.28973759499902363,,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
LgPun,3000,0,16,16,16,,136.72517069600144,None,3000,138.75103141,None,None,138.75103141,None,1.7200000000000002,17,141.7924538820007,None,1,1,141.7924538820007,None,You did not lose $5.00!,0.40000000000000036,4,12,0.29999999999999993,58.82352941176471,0.2648014937003609,[],49.99999999999999,12,3,None,,0.24101143500229227,0.24101143500229227,Adjusting RT...,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
Triangle,1500,0,17,17,17,,143.8259766580013,None,1500,145.85208711499945,None,None,145.85208711499945,None,1.7000000000000002,18,147.3869471450016,None,1,1,147.3869471450016,None,You did not win or lose anything!,0.40000000000000036,3,12,0.29999999999999993,61.111111111111114,0.2641280271821994,[],49.99999999999999,12,3,None,,0.2573933620005846,0.2573933620005846,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
LgReward,3500,0,18,18,18,,149.43574537099994,None,3500,151.46941211900048,None,None,151.46941211900048,None,1.7000000000000002,19,155.02009189100136,None,1,1,155.02009189100136,None,You won $5.00!,5.4,1,13,0.29999999999999993,63.1578947368421,0.2627242187503119,[1],49.99999999999999,12,3,None,,0.24728232599954936,0.24728232599954936,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
LgPun,1500,0,19,19,19,,157.05991771200206,None,1500,159.08746830900054,None,None,159.08746830900054,None,1.7000000000000002,20,160.62077661900184,None,1,1,160.62077661900184,None,You did not lose $5.00!,5.4,4,14,0.29999999999999993,65.0,0.26041520546165814,"[1, 1]",49.99999999999999,12,3,None,,0.2327070459978131,0.2327070459978131,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
SmallReward,1500,0,20,20,20,,162.67143986999872,None,1500,164.70480656699874,None,None,164.70480656699874,None,1.7000000000000002,21,166.2549749050013,None,1,1,166.2549749050013,None,You won $0.20!,5.6000000000000005,2,15,0.2799999999999999,66.66666666666666,0.2611267189287381,[],66.66666666666666,15,3,None,,0.2703763940007775,0.2703763940007775,Adjusting RT...,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
SmallReward,2000,0,21,21,21,,168.305046493002,None,2000,170.3383621489993,None,None,170.3383621489993,None,1.7200000000000002,22,172.38774218600156,None,1,1,172.38774218600156,None,You won $0.20!,5.800000000000001,2,16,0.2799999999999999,68.18181818181817,0.2579649940002128,[1],66.66666666666666,15,3,None,,0.21370084500085795,0.21370084500085795,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
LgPun,2000,0,22,22,22,,174.4280611719987,None,2000,176.45682989499983,None,None,176.45682989499983,None,1.7200000000000002,23,178.48976699899868,None,1,1,178.48976699899868,None,You did not lose $5.00!,5.800000000000001,4,17,0.2799999999999999,69.56521739130434,0.2552606080625992,"[1, 1]",66.66666666666666,15,3,None,,0.21469481899839593,0.21469481899839593,,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
SmallPun,1500,0,23,23,23,,180.52841417799937,None,1500,182.55654003200107,None,None,182.55654003200107,None,1.7200000000000002,24,184.09421497600124,None,None,0,184.09421497600124,None,You lost $0.20!,5.6000000000000005,5,18,0.24999999999999992,66.66666666666666,0.2552606080625992,[],83.33333333333333,18,3,None,,0.21469481899839593,,Adjusting RT...,,001,Scanner,1,2019_Sep_06_1102,MID,3.1.5,60.30067423658321,
