TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,run,trial_order
5,0,[],,027,2,5
1,0,[],,027,2,5
5,1,0.3702046149992384,,027,2,5
2,0,[],,027,2,5
4,0,[],,027,2,5
3,0,[],,027,2,5
2,1,0.15639920099056326,,027,2,5
2,0,[],,027,2,5
1,0,[],,027,2,5
5,0,[],,027,2,5
1,0,[],,027,2,5
4,0,[],,027,2,5
5,0,[],,027,2,5
3,0,[],,027,2,5
4,0,[],,027,2,5
3,0,[],,027,2,5
4,1,0.38904393199482,,027,2,5
5,0,[],,027,2,5
1,0,[],,027,2,5
5,0,[],,027,2,5
2,0,[],,027,2,5
4,0,[],,027,2,5
1,0,[],,027,2,5
2,0,[],,027,2,5
3,0,[],,027,2,5
4,0,[],,027,2,5
2,1,0.36368006802513264,,027,2,5
3,0,[],,027,2,5
2,0,[],,027,2,5
3,0,[],,027,2,5
2,0,[],,027,2,5
3,0,[],,027,2,5
4,0,[],,027,2,5
3,0,[],,027,2,5
4,0,[],,027,2,5
3,0,[],,027,2,5
5,0,[],,027,2,5
1,0,[],,027,2,5
3,0,[],,027,2,5
1,0,[],,027,2,5
4,0,[],,027,2,5
1,0,[],,027,2,5
4,0,[],,027,2,5
1,0,[],,027,2,5
2,0,[],,027,2,5
5,0,[],,027,2,5
1,0,[],,027,2,5
5,0,[],,027,2,5
2,0,[],,027,2,5
5,0,[],,027,2,5
