Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,feedback_resp.rt,AdjRTmsg,probeResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,74.86426751100225,None,2000,76.89805199304828,None,None,76.89805199304828,None,1.65,1,78.92660967202391,None,None,0,78.92660967202391,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,None,,,,,024,Practice,2,2019_Aug_30_0919,MID,3.1.5,24.01365139567523,
LgReward,2000,0,1,1,1,,80.97876557102427,None,2000,82.9931368190446,None,None,82.9931368190446,None,1.65,2,85.04801849002251,None,None,0,85.04801849002251,None,You did not win $5.00!,0,1,2,0.35,0.0,nan,"[0, 0]",0,0,3,1,0.3626985509996302,0.012698550999630243,,,024,Practice,2,2019_Aug_30_0919,MID,3.1.5,24.01365139567523,
SmallPun,2000,0,2,2,2,,87.05996888905065,None,2000,89.06419460300822,None,None,89.06419460300822,None,1.65,3,91.119217538042,None,None,0,91.119217538042,None,You lost $0.20!,-0.2,5,3,0.42,0.0,nan,[],0.0,3,3,1,0.5058478900045156,0.08584789000451565,Adjusting RT...,,024,Practice,2,2019_Aug_30_0919,MID,3.1.5,24.01365139567523,
LgPun,2000,0,3,3,3,,93.14326718001394,None,2000,95.16146624501562,None,None,95.16146624501562,None,1.58,4,97.2024630450178,None,1,1,97.2024630450178,None,You did not lose $5.00!,-0.2,4,4,0.42,25.0,0.3369456239743158,[1],0.0,3,3,None,0.3369456239743158,,,0.3369456239743158,024,Practice,2,2019_Aug_30_0919,MID,3.1.5,24.01365139567523,
Triangle,2000,0,4,4,4,,99.26823607902043,None,2000,101.27979853702709,None,None,101.27979853702709,None,1.58,5,103.32991960603977,None,None,0,103.32991960603977,None,You did not win or lose anything!,-0.2,3,4,0.42,20.0,0.3369456239743158,[1],0.0,3,3,1,0.43395959698129444,0.013959596981294453,,,024,Practice,2,2019_Aug_30_0919,MID,3.1.5,24.01365139567523,
LgReward,2000,0,5,5,5,,105.39378826803295,None,2000,107.41309699299745,None,None,107.41309699299745,None,1.58,6,109.46263109100983,None,None,0,109.46263109100983,None,You did not win $5.00!,-0.2,1,5,0.42,16.666666666666664,0.3369456239743158,"[1, 0]",0.0,3,3,None,0.43395959698129444,,,,024,Practice,2,2019_Aug_30_0919,MID,3.1.5,24.01365139567523,
SmallPun,2000,0,6,6,6,,111.5208293730393,None,2000,113.53086284099845,None,None,113.53086284099845,None,1.58,7,115.58070077199955,None,None,0,115.58070077199955,None,You lost $0.20!,-0.4,5,6,0.47,14.285714285714285,0.3369456239743158,[],16.666666666666664,6,3,None,0.43395959698129444,,Adjusting RT...,,024,Practice,2,2019_Aug_30_0919,MID,3.1.5,24.01365139567523,
SmallReward,2000,0,7,7,7,,117.64427448803326,None,2000,119.65091051103082,None,None,119.65091051103082,None,1.53,8,121.71920914103976,None,1,1,121.71920914103976,None,You won $0.20!,-0.2,2,7,0.47,25.0,0.32957267449819483,[1],16.666666666666664,6,3,None,0.32219972502207384,,,0.32219972502207384,024,Practice,2,2019_Aug_30_0919,MID,3.1.5,24.01365139567523,
Triangle,2000,0,8,8,8,,123.72815917304251,None,2000,125.74923899205169,None,None,125.74923899205169,None,1.53,9,127.78659539105138,None,1,1,127.78659539105138,None,You did not win or lose anything!,-0.2,3,7,0.47,33.33333333333333,0.3449965659917022,[1],16.666666666666664,6,3,None,0.3758443489787169,,,0.3758443489787169,024,Practice,2,2019_Aug_30_0919,MID,3.1.5,24.01365139567523,
LgReward,2000,0,9,9,9,,129.81343959301012,None,2000,131.81730721902568,None,None,131.81730721902568,None,1.53,10,133.84918075602036,None,1,1,133.84918075602036,None,You won $5.00!,4.8,1,8,0.47,40.0,0.35005506374000106,"[1, 1]",16.666666666666664,6,3,None,0.3652305569848977,,,0.3652305569848977,024,Practice,2,2019_Aug_30_0919,MID,3.1.5,24.01365139567523,
LgPun,2000,0,10,10,10,,135.85336906299926,None,2000,137.86692263302393,None,None,137.86692263302393,None,1.53,11,139.87343602901092,None,1,1,139.87343602901092,None,You did not lose $5.00!,4.8,4,9,0.44999999999999996,45.45454545454545,0.3550154051859863,[],66.66666666666666,9,3,None,0.3748567709699273,,Adjusting RT...,0.3748567709699273,024,Practice,2,2019_Aug_30_0919,MID,3.1.5,24.01365139567523,
SmallPun,2000,0,11,11,11,,141.8953451400157,None,2000,143.9016601620242,None,None,143.9016601620242,None,1.55,12,145.95389111002441,None,1,1,145.95389111002441,None,You did not lose $0.20!,4.8,5,10,0.44999999999999996,50.0,0.36009955648720887,[1],66.66666666666666,9,3,None,0.38552031299332157,,,0.38552031299332157,024,Practice,2,2019_Aug_30_0919,MID,3.1.5,24.01365139567523,
SmallReward,2000,0,12,12,12,,148.020844158018,None,2000,150.03541808004957,None,None,150.03541808004957,None,1.55,13,152.09392804501113,None,1,1,152.09392804501113,None,You won $0.20!,5.0,2,11,0.44999999999999996,53.84615384615385,0.35972482255393906,"[1, 1]",66.66666666666666,9,3,None,0.35747641895432025,,,0.35747641895432025,024,Practice,2,2019_Aug_30_0919,MID,3.1.5,24.01365139567523,
LgPun,2000,0,13,13,13,,154.14632185501978,None,2000,156.15326671604998,None,None,156.15326671604998,None,1.55,14,158.20406675100094,None,1,1,158.20406675100094,None,You did not lose $5.00!,5.0,4,12,0.39999999999999997,57.14285714285714,0.3636809409799753,[],100.0,12,3,None,0.39137376996222883,,Adjusting RT...,0.39137376996222883,024,Practice,2,2019_Aug_30_0919,MID,3.1.5,24.01365139567523,
Triangle,2000,0,14,14,14,,160.2711889440543,None,2000,162.2873956510448,None,None,162.2873956510448,None,1.6,15,164.33700714900624,None,None,0,164.33700714900624,None,You did not win or lose anything!,5.0,3,12,0.39999999999999997,53.333333333333336,0.3636809409799753,[],100.0,12,3,1,0.38253980401204896,-0.01746019598795101,,,024,Practice,2,2019_Aug_30_0919,MID,3.1.5,24.01365139567523,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,024,Practice,2,2019_Aug_30_0919,MID,3.1.5,24.01365139567523,
