Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,feedback_resp.rt,OverallRT,probeResp.rt,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,2000,0,0,0,0,TimeVersion_practice1.csv,57.4796181669808,None,2000,59.497197174001485,None,None,59.497197174001485,None,1.65,1,61.55570025002817,None,None,0,61.55570025002817,None,You did not win $0.20!,0,2,1,0.35,0.0,nan,[0],0,0,3,1,0.11251795705175027,0.46251795705175025,,,028,Practice,2,2019_Sep_01_1326,MID,3.1.5,60.22031156020228,
LgReward,2000,0,1,1,1,,63.62194525700761,None,2000,65.64830954000354,None,None,65.64830954000354,None,1.65,2,67.69910420500673,None,1,1,67.69910420500673,None,You won $5.00!,5,1,2,0.35,50.0,0.266698824998457,"[0, 1]",0,0,3,None,,0.266698824998457,0.266698824998457,,028,Practice,2,2019_Sep_01_1326,MID,3.1.5,60.22031156020228,
SmallPun,2000,0,2,2,2,,69.75611042400124,None,2000,71.78189645602833,None,None,71.78189645602833,None,1.65,3,73.82289894798305,None,None,0,73.82289894798305,None,You lost $0.20!,4.8,5,3,0.38999999999999996,33.33333333333333,0.266698824998457,[],33.33333333333333,3,3,1,0.11092485004337505,0.500924850043375,,Adjusting RT...,028,Practice,2,2019_Sep_01_1326,MID,3.1.5,60.22031156020228,
LgPun,2000,0,3,3,3,,75.85617137898225,None,2000,77.88234355498571,None,None,77.88234355498571,None,1.61,4,79.92309804202523,None,1,1,79.92309804202523,None,You did not lose $5.00!,4.8,4,4,0.38999999999999996,50.0,0.2652043609996326,[1],33.33333333333333,3,3,None,,0.26370989700080827,0.26370989700080827,,028,Practice,2,2019_Sep_01_1326,MID,3.1.5,60.22031156020228,
Triangle,2000,0,4,4,4,,81.9567073599901,None,2000,83.98287295602495,None,None,83.98287295602495,None,1.61,5,86.0235152230016,None,1,1,86.0235152230016,None,You did not win or lose anything!,4.8,3,4,0.38999999999999996,60.0,0.26819808666671935,[1],33.33333333333333,3,3,None,,0.27418553800089285,0.27418553800089285,,028,Practice,2,2019_Sep_01_1326,MID,3.1.5,60.22031156020228,
LgReward,2000,0,5,5,5,,88.08470299199689,None,2000,90.11770043399883,None,None,90.11770043399883,None,1.61,6,92.1676646519918,None,1,1,92.1676646519918,None,You won $5.00!,9.8,1,5,0.38999999999999996,66.66666666666666,0.2714098362484947,"[1, 1]",33.33333333333333,3,3,None,,0.28104508499382064,0.28104508499382064,,028,Practice,2,2019_Sep_01_1326,MID,3.1.5,60.22031156020228,
SmallPun,2000,0,6,6,6,,94.20757504698122,None,2000,96.2351901900256,None,None,96.2351901900256,None,1.61,7,98.27445453999098,None,1,1,98.27445453999098,None,You did not lose $0.20!,9.8,5,6,0.36999999999999994,71.42857142857143,0.2731822679983452,[],66.66666666666666,6,3,None,,0.28027199499774724,0.28027199499774724,Adjusting RT...,028,Practice,2,2019_Sep_01_1326,MID,3.1.5,60.22031156020228,
SmallReward,2000,0,7,7,7,,100.32014610298211,None,2000,102.35307726199972,None,None,102.35307726199972,None,1.6300000000000001,8,104.40217982098693,None,1,1,104.40217982098693,None,You won $0.20!,10.0,2,7,0.36999999999999994,75.0,0.27323022833055194,[1],66.66666666666666,6,3,None,,0.27347002999158576,0.27347002999158576,,028,Practice,2,2019_Sep_01_1326,MID,3.1.5,60.22031156020228,
Triangle,2000,0,8,8,8,,106.44130156800384,None,2000,108.4707221040153,None,None,108.4707221040153,None,1.6300000000000001,9,110.50353141600499,None,None,0,110.50353141600499,None,You did not win or lose anything!,10.0,3,7,0.36999999999999994,66.66666666666666,0.27323022833055194,[1],66.66666666666666,6,3,None,,0.27347002999158576,,,028,Practice,2,2019_Sep_01_1326,MID,3.1.5,60.22031156020228,
LgReward,2000,0,9,9,9,,112.55393543298123,None,2000,114.58707932400284,None,None,114.58707932400284,None,1.6300000000000001,10,116.63923929003067,None,1,1,116.63923929003067,None,You won $5.00!,15.0,1,8,0.36999999999999994,70.0,0.2759891825678226,"[1, 1]",66.66666666666666,6,3,None,,0.29254290799144655,0.29254290799144655,,028,Practice,2,2019_Sep_01_1326,MID,3.1.5,60.22031156020228,
