Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedback_resp.keys,OverallRT,AdjRTmsg,feedback_resp.rt,fixationResp.rt,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,1500,0,13,13,13,,116.48435252200579,None,1500,118.51809062098619,None,None,118.51809062098619,None,1.62,14,120.06810159300221,None,1,1,0.28106489300262183,120.06810159300221,None,You won $5.00!,5.0,1,11,0.3799999999999999,64.28571428571429,0.30277239666449735,"[1, 1]",33.33333333333333,9,3,None,0.28106489300262183,,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
SmallPun,2000,0,14,14,14,,122.10160574398469,None,2000,124.13572852301877,None,None,124.13572852301877,None,1.62,15,126.16823578398908,None,1,1,0.29597523802658543,126.16823578398908,None,You did not lose $0.20!,5.0,5,12,0.3999999999999999,66.66666666666666,0.30209268080070617,[],50.0,12,3,None,0.29597523802658543,Adjusting RT...,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
Triangle,3000,0,15,15,15,,128.21853848203318,None,3000,130.25263512699166,None,None,130.25263512699166,None,1.6,16,133.2854888039874,None,1,1,0.3307008700212464,133.2854888039874,None,You did not win or lose anything!,5.0,3,12,0.3999999999999999,68.75,0.3046934252753007,[],50.0,12,3,None,0.3307008700212464,,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
LgReward,4000,0,16,16,16,,135.3350244149915,None,4000,137.36908202600898,None,None,137.36908202600898,None,1.6,17,141.4192462390056,None,None,0,,141.4192462390056,None,You did not win $5.00!,5.0,1,13,0.3999999999999999,64.70588235294117,0.3046934252753007,[0],50.0,12,3,1,0.5383070939918979,,0.138307093991898,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
Triangle,4000,0,17,17,17,,143.4527633350226,None,4000,145.48699743999168,None,None,145.48699743999168,None,1.6,18,149.51965767599177,None,1,1,0.3185629890067503,149.51965767599177,None,You did not win or lose anything!,5.0,3,13,0.3999999999999999,66.66666666666666,0.3058492222529215,[0],50.0,12,3,None,0.3185629890067503,,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
SmallReward,2000,0,18,18,18,,151.5701112659881,None,2000,153.60397557803662,None,None,153.60397557803662,None,1.6,19,155.6536078720237,None,None,0,,155.6536078720237,None,You did not win $0.20!,5.0,2,14,0.3999999999999999,63.1578947368421,0.3058492222529215,"[0, 0]",50.0,12,3,1,0.4308987569878808,,0.030898756987880915,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
LgPun,1500,0,19,19,19,,157.70370582002215,None,1500,159.7372577030328,None,None,159.7372577030328,None,1.6,20,161.2703899720218,None,None,0,,161.2703899720218,None,You lost $5.00!,0.0,4,15,0.41999999999999993,60.0,0.3058492222529215,[],50.0,15,3,1,0.42641147600254037,Adjusting RT...,0.006411476002540439,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
Triangle,2000,0,20,20,20,,163.3037434350117,None,2000,165.3386914540315,None,None,165.3386914540315,None,1.58,21,167.37067415303318,None,1,1,0.2955645240144804,167.37067415303318,None,You did not win or lose anything!,0.0,3,15,0.41999999999999993,61.904761904761905,0.3050580916191953,[],50.0,15,3,None,0.2955645240144804,,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
LgReward,2000,0,21,21,21,,169.42081259400584,None,2000,171.4451384790009,None,None,171.4451384790009,None,1.58,22,173.49627341498854,None,1,1,0.2709636769723147,173.49627341498854,None,You won $5.00!,5.0,1,16,0.41999999999999993,63.63636363636363,0.30262277628727524,[1],50.0,15,3,None,0.2709636769723147,,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
LgPun,2000,0,22,22,22,,175.53821702499408,None,2000,177.562036162999,None,None,177.562036162999,None,1.58,23,179.60501162998844,None,1,1,0.2881635069497861,179.60501162998844,None,You did not lose $5.00!,5.0,4,17,0.41999999999999993,65.21739130434783,0.3016588249981093,"[1, 1]",50.0,15,3,None,0.2881635069497861,,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
SmallReward,1500,0,23,23,23,,181.64717697998276,None,1500,183.6804656549939,None,None,183.6804656549939,None,1.58,24,185.23075610998785,None,1,1,0.3233418960007839,185.23075610998785,None,You won $0.20!,5.2,2,18,0.43999999999999995,66.66666666666666,0.30301401693577645,[],50.0,18,3,None,0.3233418960007839,Adjusting RT...,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
LgPun,1500,0,24,24,24,,187.27256034198217,None,1500,189.29753126000287,None,None,189.29753126000287,None,1.56,25,190.83875397901284,None,1,1,0.27444161905441433,190.83875397901284,None,You did not lose $5.00!,5.2,4,19,0.43999999999999995,68.0,0.3013332876486375,[1],50.0,18,3,None,0.27444161905441433,,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
LgReward,1500,0,25,25,25,,192.8976817969815,None,1500,194.91475262399763,None,None,194.91475262399763,None,1.56,26,196.46457933302736,None,1,1,0.26166593097150326,196.46457933302736,None,You won $5.00!,10.2,1,20,0.43999999999999995,69.23076923076923,0.29912954561101895,"[1, 1]",50.0,18,3,None,0.26166593097150326,,,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
Triangle,1500,0,26,26,26,,198.50647799798753,None,1500,200.53264590498293,None,None,200.53264590498293,None,1.56,27,202.07293555198703,None,None,0,,202.07293555198703,None,You did not win or lose anything!,10.2,3,20,0.43999999999999995,66.66666666666666,0.29912954561101895,"[1, 1]",50.0,18,3,1,0.5003474500239826,,0.060347450023982674,,016,Scanner,1,2019_Sep_03_0942,MID,3.1.5,59.93815053074408,
