trial_type,arrow_1,arrow_2,corrAns,jitter,run_end_fixation,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_response.keys,key_response.corr,key_response.rt,trial_t.routineEndVal,ss_delay,iti_duration,SOA,participant,prac_or_scan,handedness,run,date,expName,psychopyVersion,frameRate,
go,sst_images/Left_Arrow.bmp,None,1,961,None,0,23,23,23,1,1,0.5037014879999333,go,0.2,0.961,1.9609999999999999,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,772,None,0,24,24,24,1,0,0.5244787060000817,stop,0.15000000000000002,0.772,1.7475212939999183,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,959,None,0,25,25,25,2,1,0.8784696079965215,go,0.15000000000000002,0.959,1.959,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,1111,None,0,26,26,26,1,1,0.47627845499664545,go,0.15000000000000002,1.111,2.1109999999999998,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,718,None,0,27,27,27,2,1,0.7137453730028938,go,0.15000000000000002,0.718,1.718,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,750,None,0,28,28,28,None,1,,stop,0.2,0.75,1.7499999999999998,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,768,None,0,29,29,29,2,1,0.629335659003118,go,0.2,0.768,1.768,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,1426,None,0,30,30,30,1,1,0.7147987310017925,go,0.2,1.426,2.426,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,1700,None,0,31,31,31,2,1,0.4180608669994399,go,0.2,1.7,2.7,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,965,None,0,32,32,32,2,1,0.6228356100036763,go,0.2,0.965,1.9649999999999999,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,704,None,0,33,33,33,1,1,0.6292209769962938,go,0.2,0.704,1.704,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,887,None,0,34,34,34,2,1,0.5460059179968084,go,0.2,0.887,1.887,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
stop,sst_images/Right_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,704,None,0,35,35,35,None,1,,stop,0.25,0.704,1.704,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,1431,None,0,36,36,36,1,1,0.5883281549977255,go,0.25,1.431,2.431,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,746,None,0,37,37,37,1,1,0.6299070180029958,go,0.25,0.746,1.746,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,709,None,0,38,38,38,2,1,0.5860966039981577,go,0.25,0.709,1.709,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
stop,sst_images/Left_Arrow.bmp,sst_images/Stop_Arrow.bmp,none,894,None,0,39,39,39,1,0,0.5300147529997048,stop,0.2,0.894,1.9139852470002954,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,750,None,0,40,40,40,2,1,0.5319669550008257,go,0.2,0.75,1.75,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,1139,None,0,41,41,41,1,1,0.4397957159962971,go,0.2,1.139,2.1390000000000002,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,711,None,0,42,42,42,1,1,0.6278200020024087,go,0.2,0.711,1.7109999999999999,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Right_Arrow.bmp,None,2,738,None,0,43,43,43,2,1,0.5435274280025624,go,0.2,0.738,1.738,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,706,None,0,44,44,44,1,1,0.4987481489952188,go,0.2,0.706,1.706,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
go,sst_images/Left_Arrow.bmp,None,1,1016,None,0,45,45,45,1,1,0.588808209002309,go,0.2,1.016,2.016,0006,Scanner,R,1,2019_Aug_20_1513,stopSignal,3.0.7,23.983325199967833,
