cue,probe,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,jitter,fixationResp.keys,jitterTarget,feedbackDur,rt_list,Trial counter,probeResp.keys,probeResp.corr,msg,TrackEarnings,TrialType,probeDur,percentacc,meanrt,probeResp.rt,fixationResp.rt,participant,session,PracticeRT,date,expName,psychopyVersion,frameRate,
images/LoseBig.BMP,images/LoseProbe.BMP,LoseBig,0,0,0,0,1.872,None,0.305,1.5,[],1,None,0,You lost $5.00!,-5,4,0.5,0.0,nan,,,,001,.5,2019_Apr_18_1604,MID,3.0.7,59.79397221613362,
images/WinBig.BMP,images/WinProbe.BMP,WinBig,0,1,1,3,2.127,None,0.231,1.5,[0.28486927098128945],2,space,1,You won $5.00!,0,1,0.5,50.0,0.28486927098128945,0.28486927098128945,,,001,.5,2019_Apr_18_1604,MID,3.0.7,59.79397221613362,
images/LoseSmall.BMP,images/LoseProbe.BMP,LoseSmall,0,2,2,1,1.609,space,0.392,1.5,[0.28486927098128945],3,None,0,You lost $0.20!,-0.2,5,0.5,33.33333333333333,0.28486927098128945,,1.218828268989455,,001,.5,2019_Apr_18_1604,MID,3.0.7,59.79397221613362,
,,,,,,,2.035,space,0.4,1.5,[0.28486927098128945],4,None,0,You did not win or lose anything!,-0.2,,,,,,1.3168469999800436,,,,,,,,
