Condition,FixationDur,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructFig.started,instructFig.stopped,text_2.started,text_2.stopped,PrepFixation.started,PrepFixation.stopped,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,rt_list,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedbackMsg.started,feedbackMsg.stopped,probeResp.rt,AdjRTmsg,fixationResp.rt,polygon.started,polygon.stopped,text.started,text.stopped,participant,prac_or_scan,practiceRT,date,expName,psychopyVersion,frameRate,
LgReward,2500,0,0,0,0,0,10,10,10,,,,,,,,75.32180113199865,None,2500,77.34613801399973,None,None,77.34613801399973,None,1.6800000000000002,"[0.2542431369947735, 0.2521261920046527, 0.2278964819997782, 0.028245911998965312, 0.24655221500142943, 0.2810867330044857, 0.24129695699957665, 0.24258045100577874]",11,79.86574241700146,None,None,0,79.86574241700146,None,You did not win $5.00!,5.4,1,10,0.31999999999999995,72.72727272727273,0.22175350987618003,[0],100.0,9,3,80.14065411400225,None,,,,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
LgPun,3500,0,0,0,0,0,11,11,11,,,,,,,,81.8078188569998,None,3500,83.84056794999924,None,None,83.84056794999924,None,1.6800000000000002,"[0.2542431369947735, 0.2521261920046527, 0.2278964819997782, 0.028245911998965312, 0.24655221500142943, 0.2810867330044857, 0.24129695699957665, 0.24258045100577874]",12,87.35389455399854,None,None,0,87.35389455399854,None,You lost $5.00!,0.40000000000000036,4,11,0.31999999999999995,66.66666666666666,0.22175350987618003,"[0, 0]",100.0,9,3,87.64111990299716,None,,,,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
SmallPun,3500,0,0,0,0,0,12,12,12,,,,,,,,89.30917918000341,None,3500,91.34116729500238,None,1,91.34116729500238,None,1.6800000000000002,"[0.2542431369947735, 0.2521261920046527, 0.2278964819997782, 0.028245911998965312, 0.24655221500142943, 0.2810867330044857, 0.24129695699957665, 0.24258045100577874]",13,94.85466358299891,None,None,0,94.85466358299891,None,You lost $0.20!,0.20000000000000034,5,12,0.33999999999999997,61.53846153846154,0.22175350987618003,[],50.0,12,3,95.14188943299814,None,,Adjusting RT...,3.251613535998331,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
Triangle,1500,0,0,0,0,0,13,13,13,,,,,,,,96.80825231799827,None,1500,98.84228996700404,None,None,98.84228996700404,None,1.6600000000000001,"[0.2542431369947735, 0.2521261920046527, 0.2278964819997782, 0.028245911998965312, 0.24655221500142943, 0.2810867330044857, 0.24129695699957665, 0.24258045100577874]",14,100.3416507189977,None,None,0,100.3416507189977,None,You did not win or lose anything!,0.20000000000000034,3,12,0.33999999999999997,57.14285714285714,0.22175350987618003,[],50.0,12,3,100.65916265799751,None,,,,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
LgPun,4000,0,0,0,0,0,14,14,14,,,,,,,,102.29418164699746,None,4000,104.32605136500206,None,1,104.32605136500206,None,1.6600000000000001,"[0.2542431369947735, 0.2521261920046527, 0.2278964819997782, 0.028245911998965312, 0.24655221500142943, 0.2810867330044857, 0.24129695699957665, 0.24258045100577874]",15,108.33962261400302,None,None,0,108.33962261400302,None,You lost $5.00!,-4.8,4,13,0.33999999999999997,53.333333333333336,0.22175350987618003,[0],50.0,12,3,108.62667987000168,None,,,2.6697712050008704,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
Triangle,4000,0,0,0,0,0,15,15,15,,,,,,,,110.27820219300338,None,4000,112.31034624300082,None,None,112.31034624300082,None,1.6600000000000001,"[0.2542431369947735, 0.2521261920046527, 0.2278964819997782, 0.028245911998965312, 0.24655221500142943, 0.2810867330044857, 0.24129695699957665, 0.24258045100577874]",16,116.32387367200135,None,None,0,116.32387367200135,None,You did not win or lose anything!,-4.8,3,13,0.33999999999999997,50.0,0.22175350987618003,[0],50.0,12,3,116.62772820499958,None,,,,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
LgPun,3000,0,0,0,0,0,16,16,16,,,,,,,,118.26157890600007,None,3000,120.2943690739994,None,None,120.2943690739994,None,1.6600000000000001,"[0.2542431369947735, 0.2521261920046527, 0.2278964819997782, 0.028245911998965312, 0.24655221500142943, 0.2810867330044857, 0.24129695699957665, 0.24258045100577874, 0.13636809099989478]",17,123.30836680500215,None,1,1,123.30836680500215,None,You did not lose $5.00!,-4.8,4,14,0.33999999999999997,52.94117647058824,0.21226624111214834,"[0, 1]",50.0,12,3,123.59490928400191,None,0.13636809099989478,,,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
SmallPun,1500,0,0,0,0,0,17,17,17,,,,,,,,125.24467258700315,None,1500,127.27951842299808,None,None,127.27951842299808,None,1.6600000000000001,"[0.2542431369947735, 0.2521261920046527, 0.2278964819997782, 0.028245911998965312, 0.24655221500142943, 0.2810867330044857, 0.24129695699957665, 0.24258045100577874, 0.13636809099989478]",18,128.77907688800042,None,None,0,128.77907688800042,None,You lost $0.20!,-5.0,5,15,0.38999999999999996,50.0,0.21226624111214834,[],16.666666666666664,15,3,129.09626463200402,None,,Adjusting RT...,,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
LgReward,2000,0,0,0,0,0,18,18,18,,,,,,,,130.7693863759996,None,2000,132.78024325399747,None,None,132.78024325399747,None,1.61,"[0.2542431369947735, 0.2521261920046527, 0.2278964819997782, 0.028245911998965312, 0.24655221500142943, 0.2810867330044857, 0.24129695699957665, 0.24258045100577874, 0.13636809099989478, 0.2802276790025644]",19,134.79717070100014,None,1,1,134.79717070100014,None,You won $5.00!,0.0,1,16,0.38999999999999996,52.63157894736842,0.21906238490118995,[1],16.666666666666664,15,3,135.1290211989981,None,0.2802276790025644,,,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
SmallPun,4000,0,0,0,0,0,19,19,19,,,,,,,,136.72967533300107,None,4000,138.76387668799725,None,None,138.76387668799725,None,1.61,"[0.2542431369947735, 0.2521261920046527, 0.2278964819997782, 0.028245911998965312, 0.24655221500142943, 0.2810867330044857, 0.24129695699957665, 0.24258045100577874, 0.13636809099989478, 0.2802276790025644, 0.24199843099631835]",20,142.77747443300177,None,1,1,142.77747443300177,None,You did not lose $0.20!,0.0,5,17,0.38999999999999996,55.00000000000001,0.22114748000074708,"[1, 1]",16.666666666666664,15,3,143.13227909799753,None,0.24199843099631835,,,,,,,1,Scanner,0.35,2019_Aug_14_1139,MID,3.1.5,59.9010861757641,
