cue,probe,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,jitterTarget,jitter,fixationResp.keys,feedbackDur,probeResp.keys,probeResp.corr,msg,TrackEarnings,participant,session,date,expName,psychopyVersion,frameRate,
images/LoseSmall.BMP,images/LoseProbe.BMP,LoseSmall,0,0,0,1,0.356,2.129,None,1.6440000000000001,None,0,You lost$0.20!,-0.2,,001,2019_Apr_17_1329,MID,3.0.7,59.992974224465236,
images/LoseBig.BMP,images/LoseProbe.BMP,LoseBig,0,1,1,0,0.49,1.857,None,1.51,None,0,You lost$5.00!,-5.2,,001,2019_Apr_17_1329,MID,3.0.7,59.992974224465236,
