Condition,FixationDur,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,jitter,fixationResp.keys,fixationResp.rt,jitterTarget,feedbackDur,rt_list,Trial counter,probeResp.keys,probeResp.corr,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,probeResp.rt,participant,session,practiceRT,trial Order,date,expName,psychopyVersion,frameRate,
LgPun,4000,0,0,0,0,0,14,14,14,3.208,None,,0.47,1.56,"[0.3438124080421403, 0.28523994295392185, 0.25250092102214694, 0.1873037299956195, 0.2747775120078586, 0.40408064000075683, 0.26982130599208176, 0.4194418069673702, 0.2375701519777067, 0.4028330250293948, 0.288432608009316]",15,space,1,You did not lose $5.00!,5.199999999999999,4,13,0.43999999999999995,73.33333333333333,0.30598309563621034,[1],49.99999999999999,12,3,0.288432608009316,,001,.5,1,2019_Apr_24_1209,MID,3.0.7,59.861003691063516,
Triangle,4000,0,0,0,0,0,15,15,15,3.521,None,,0.155,1.56,"[0.3438124080421403, 0.28523994295392185, 0.25250092102214694, 0.1873037299956195, 0.2747775120078586, 0.40408064000075683, 0.26982130599208176, 0.4194418069673702, 0.2375701519777067, 0.4028330250293948, 0.288432608009316]",16,None,0,You did not win or lose anything!,5.199999999999999,3,13,0.43999999999999995,68.75,0.30598309563621034,[1],49.99999999999999,12,3,,,001,.5,1,2019_Apr_24_1209,MID,3.0.7,59.861003691063516,
LgPun,3000,0,0,0,0,0,16,16,16,3.131,None,,0.337,1.56,"[0.3438124080421403, 0.28523994295392185, 0.25250092102214694, 0.1873037299956195, 0.2747775120078586, 0.40408064000075683, 0.26982130599208176, 0.4194418069673702, 0.2375701519777067, 0.4028330250293948, 0.288432608009316, 0.25330364500405267]",17,space,1,You did not lose $5.00!,5.199999999999999,4,14,0.43999999999999995,70.58823529411765,0.30159314141686383,"[1, 1]",49.99999999999999,12,3,0.25330364500405267,,001,.5,1,2019_Apr_24_1209,MID,3.0.7,59.861003691063516,
SmallPun,1500,0,0,0,0,0,17,17,17,2.113,None,,0.297,1.56,"[0.3438124080421403, 0.28523994295392185, 0.25250092102214694, 0.1873037299956195, 0.2747775120078586, 0.40408064000075683, 0.26982130599208176, 0.4194418069673702, 0.2375701519777067, 0.4028330250293948, 0.288432608009316, 0.25330364500405267]",18,None,0,You lost $0.20!,4.999999999999999,5,15,0.45999999999999996,66.66666666666666,0.30159314141686383,[],49.99999999999999,15,3,,,001,.5,1,2019_Apr_24_1209,MID,3.0.7,59.861003691063516,
LgReward,2000,0,0,0,0,0,18,18,18,2.349,None,,0.346,1.54,"[0.3438124080421403, 0.28523994295392185, 0.25250092102214694, 0.1873037299956195, 0.2747775120078586, 0.40408064000075683, 0.26982130599208176, 0.4194418069673702, 0.2375701519777067, 0.4028330250293948, 0.288432608009316, 0.25330364500405267, 0.3031939300126396]",19,space,1,You won $5.00!,10.0,1,16,0.45999999999999996,68.42105263157895,0.3017162790011543,[1],49.99999999999999,15,3,0.3031939300126396,,001,.5,1,2019_Apr_24_1209,MID,3.0.7,59.861003691063516,
SmallPun,4000,0,0,0,0,0,19,19,19,1.519,None,,0.267,1.54,"[0.3438124080421403, 0.28523994295392185, 0.25250092102214694, 0.1873037299956195, 0.2747775120078586, 0.40408064000075683, 0.26982130599208176, 0.4194418069673702, 0.2375701519777067, 0.4028330250293948, 0.288432608009316, 0.25330364500405267, 0.3031939300126396, 0.2859752189833671]",20,space,1,You did not lose $0.20!,10.0,5,17,0.45999999999999996,70.0,0.3005919175713124,"[1, 1]",49.99999999999999,15,3,0.2859752189833671,,001,.5,1,2019_Apr_24_1209,MID,3.0.7,59.861003691063516,
SmallReward,1500,0,0,0,0,0,20,20,20,1.712,None,,0.302,1.54,"[0.3438124080421403, 0.28523994295392185, 0.25250092102214694, 0.1873037299956195, 0.2747775120078586, 0.40408064000075683, 0.26982130599208176, 0.4194418069673702, 0.2375701519777067, 0.4028330250293948, 0.288432608009316, 0.25330364500405267, 0.3031939300126396, 0.2859752189833671, 0.32097971998155117]",21,space,1,You won $0.20!,10.2,2,18,0.42999999999999994,71.42857142857143,0.30195110439866163,[],83.33333333333333,18,3,0.32097971998155117,,001,.5,1,2019_Apr_24_1209,MID,3.0.7,59.861003691063516,
LgPun,1500,0,0,0,0,0,21,21,21,3.064,None,,0.224,1.57,"[0.3438124080421403, 0.28523994295392185, 0.25250092102214694, 0.1873037299956195, 0.2747775120078586, 0.40408064000075683, 0.26982130599208176, 0.4194418069673702, 0.2375701519777067, 0.4028330250293948, 0.288432608009316, 0.25330364500405267, 0.3031939300126396, 0.2859752189833671, 0.32097971998155117, 0.28541808197041973]",22,space,1,You did not lose $5.00!,10.2,4,19,0.42999999999999994,72.72727272727273,0.3009177904968965,[1],83.33333333333333,18,3,0.28541808197041973,,001,.5,1,2019_Apr_24_1209,MID,3.0.7,59.861003691063516,
LgReward,3500,0,0,0,0,0,22,22,22,1.532,None,,0.296,1.57,"[0.3438124080421403, 0.28523994295392185, 0.25250092102214694, 0.1873037299956195, 0.2747775120078586, 0.40408064000075683, 0.26982130599208176, 0.4194418069673702, 0.2375701519777067, 0.4028330250293948, 0.288432608009316, 0.25330364500405267, 0.3031939300126396, 0.2859752189833671, 0.32097971998155117, 0.28541808197041973, 0.3193661170080304]",23,space,1,You won $5.00!,15.2,1,20,0.42999999999999994,73.91304347826086,0.302002986174022,"[1, 1]",83.33333333333333,18,3,0.3193661170080304,,001,.5,1,2019_Apr_24_1209,MID,3.0.7,59.861003691063516,
SmallReward,4000,0,0,0,0,0,23,23,23,2.923,None,,0.199,1.57,"[0.3438124080421403, 0.28523994295392185, 0.25250092102214694, 0.1873037299956195, 0.2747775120078586, 0.40408064000075683, 0.26982130599208176, 0.4194418069673702, 0.2375701519777067, 0.4028330250293948, 0.288432608009316, 0.25330364500405267, 0.3031939300126396, 0.2859752189833671, 0.32097971998155117, 0.28541808197041973, 0.3193661170080304, 0.2877040119492449]",24,space,1,You won $0.20!,15.399999999999999,2,21,0.37999999999999995,75.0,0.30120859871708994,[],100.0,21,3,0.2877040119492449,,001,.5,1,2019_Apr_24_1209,MID,3.0.7,59.861003691063516,
,,,,,,,,,,3.394,None,,0.458,1.62,"[0.3438124080421403, 0.28523994295392185, 0.25250092102214694, 0.1873037299956195, 0.2747775120078586, 0.40408064000075683, 0.26982130599208176, 0.4194418069673702, 0.2375701519777067, 0.4028330250293948, 0.288432608009316, 0.25330364500405267, 0.3031939300126396, 0.2859752189833671, 0.32097971998155117, 0.28541808197041973, 0.3193661170080304, 0.2877040119492449, 0.27059625199763104]",25,space,1,You did not win or lose anything!,15.399999999999999,,,,,,,,,,0.27059625199763104,,,,,,,,,
