Condition,FixationDur,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructFig.started,instructFig.stopped,PrepFixation.started,PrepFixation.stopped,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,rt_list,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedbackMsg.started,feedbackMsg.stopped,AdjRTmsg,fixationResp.rt,probeResp.rt,participant,prac_or_scan,practiceRT,date,expName,psychopyVersion,frameRate,
LgReward,4000,0,0,0,0,0,12,12,12,,,,,,105.91816819500036,None,4000,107.92317828200066,None,None,107.92317828200066,None,1.53,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255]",13,111.94665509700008,None,1,1,111.94665509700008,None,You won $5.00!,-10,1,11,0.47,30.76923076923077,0.2543122380002387,"[0, 1]",33.33333333333333,9,3,112.3805734840007,None,,,0.3476288520005255,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
Triangle,1500,0,0,0,0,0,13,13,13,,,,,,113.8760185430001,None,1500,115.89221449600063,None,None,115.89221449600063,None,1.53,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255]",14,117.39167838899994,None,None,0,117.39167838899994,None,You did not win or lose anything!,-10,3,11,0.47,28.57142857142857,0.2543122380002387,"[0, 1]",33.33333333333333,9,3,117.8354338650006,None,,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
LgPun,2000,0,0,0,0,0,14,14,14,,,,,,119.33554881500004,None,2000,121.34433232600077,None,None,121.34433232600077,None,1.53,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255]",15,123.35232746900056,None,None,0,123.35232746900056,None,You lost $5.00!,-15,4,12,0.5,26.666666666666668,0.2543122380002387,[],33.33333333333333,12,3,123.79738508800074,None,Adjusting RT...,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
Triangle,3000,0,0,0,0,0,15,15,15,,,,,,125.29471215800004,None,3000,127.31041487000039,None,None,127.31041487000039,None,1.5,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255]",16,130.31323263100057,None,None,0,130.31323263100057,None,You did not win or lose anything!,-15,3,12,0.5,25.0,0.2543122380002387,[],33.33333333333333,12,3,130.79381237600046,None,,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
SmallPun,1500,0,0,0,0,0,16,16,16,,,,,,132.29414417600037,None,1500,134.31204458900083,None,None,134.31204458900083,None,1.5,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386]",17,135.81141218700031,None,1,1,135.81141218700031,None,You did not lose $0.20!,-15,5,13,0.5,29.411764705882355,0.28122362720023375,[1],33.33333333333333,12,3,136.2945707150002,None,,,0.38886918400021386,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
Triangle,3500,0,0,0,0,0,17,17,17,,,,,,137.79447168800016,None,3500,139.80033416300012,None,None,139.80033416300012,None,1.5,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386]",18,143.3128719490005,None,None,0,143.3128719490005,None,You did not win or lose anything!,-15,3,13,0.5,27.77777777777778,0.28122362720023375,[1],33.33333333333333,12,3,143.79489293000006,None,,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
LgPun,3000,0,0,0,0,0,18,18,18,,,,,,145.29490353000074,None,3000,147.31344140300007,None,1,147.31344140300007,None,1.5,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386]",19,150.31375413100068,None,None,0,150.31375413100068,None,You lost $5.00!,-20,4,14,0.5,26.31578947368421,0.28122362720023375,"[1, 0]",33.33333333333333,12,3,150.79392823200033,None,,1.3888549590001276,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
LgReward,1500,0,0,0,0,0,19,19,19,,,,,,152.29539771700001,None,1500,154.31352606400014,None,None,154.31352606400014,None,1.5,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735]",20,155.8301947610007,None,1,1,155.8301947610007,None,You won $5.00!,-15,1,15,0.5,30.0,0.2908678740003173,[],49.99999999999999,15,3,156.29545639700063,None,Adjusting RT...,,0.339089108000735,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
LgPun,1500,0,0,0,0,0,20,20,20,,,,,,157.79500762099997,None,1500,159.8150253520007,None,None,159.8150253520007,None,1.5,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746]",21,161.31461432300057,None,1,1,161.31461432300057,None,You did not lose $5.00!,-15,4,16,0.5,33.33333333333333,0.30411641857166877,[1],49.99999999999999,15,3,161.79549015000066,None,,,0.38360768599977746,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
LgReward,1500,0,0,0,0,0,21,21,21,,,,,,163.29582617100004,None,1500,165.3151936560007,None,None,165.3151936560007,None,1.5,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634]",22,166.8318623240002,None,1,1,166.8318623240002,None,You won $5.00!,-10,1,17,0.5,36.36363636363637,0.3093888231252322,"[1, 1]",49.99999999999999,15,3,167.29585204200066,None,,,0.34629565500017634,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
LgReward,1500,0,0,0,0,0,22,22,22,,,,,,168.79624210600014,None,1500,170.8160381910002,None,None,170.8160381910002,None,1.5,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096]",23,172.3321534910001,None,1,1,172.3321534910001,None,You won $5.00!,-5,1,18,0.47,39.130434782608695,0.3124661961113209,[],83.33333333333333,18,3,172.79618556600053,None,Adjusting RT...,,0.33708518000003096,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
Triangle,1500,0,0,0,0,0,23,23,23,,,,,,174.29649260400038,None,1500,176.31712163000066,None,None,176.31712163000066,None,1.53,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096]",24,177.81746744300017,None,None,0,177.81746744300017,None,You did not win or lose anything!,-5,3,18,0.47,37.5,0.3124661961113209,[],83.33333333333333,18,3,178.25462217900076,None,,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
SmallReward,3500,0,0,0,0,0,24,24,24,,,,,,179.79653977199996,None,3500,181.8040423730008,None,1,181.8040423730008,None,1.53,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096]",25,185.32579491100023,None,None,0,185.32579491100023,None,You did not win $0.20!,-5,2,19,0.47,36.0,0.3124661961113209,[0],83.33333333333333,18,3,185.75898635300018,None,,0.4002393310001935,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
