Condition,FixationDur,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructFig.started,instructFig.stopped,PrepFixation.started,PrepFixation.stopped,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,rt_list,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedbackMsg.started,feedbackMsg.stopped,AdjRTmsg,fixationResp.rt,probeResp.rt,participant,prac_or_scan,practiceRT,date,expName,psychopyVersion,frameRate,
LgPun,2000,0,0,0,0,0,35,35,35,,,,,,252.2156031330005,None,2000,254.22532611500083,None,None,254.22532611500083,None,1.51,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805, 0.3458193369997389, 0.39781014600066555]",36,256.2264781490003,None,1,1,256.2264781490003,None,You did not lose $5.00!,-9.8,4,26,0.48999999999999994,36.11111111111111,0.32571294269249706,"[1, 1]",33.33333333333333,24,3,256.7201629380006,None,,,0.39781014600066555,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
SmallReward,3000,0,0,0,0,0,36,36,36,,,,,,258.21668084700013,None,3000,260.2276711990007,None,None,260.2276711990007,None,1.51,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805, 0.3458193369997389, 0.39781014600066555, 0.31496547700044175]",37,263.24833722600033,None,1,1,263.24833722600033,None,You won $0.20!,-9.600000000000001,2,27,0.4699999999999999,37.83783783783784,0.32494526657163597,[],66.66666666666666,27,3,263.71878723400005,None,Adjusting RT...,,0.31496547700044175,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
LgReward,3500,0,0,0,0,0,37,37,37,,,,,,265.21865405600056,None,3500,267.22919839800034,None,None,267.22919839800034,None,1.53,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805, 0.3458193369997389, 0.39781014600066555, 0.31496547700044175]",38,270.74628701000074,None,None,0,270.74628701000074,None,You did not win $5.00!,-9.600000000000001,1,28,0.4699999999999999,36.84210526315789,0.32494526657163597,[0],66.66666666666666,27,3,271.179380304,None,,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
SmallPun,2000,0,0,0,0,0,38,38,38,,,,,,272.6752119570001,None,2000,274.69721675800065,None,None,274.69721675800065,None,1.53,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805, 0.3458193369997389, 0.39781014600066555, 0.31496547700044175]",39,276.69736803900014,None,None,0,276.69736803900014,None,You lost $0.20!,-9.8,5,29,0.4699999999999999,35.8974358974359,0.32494526657163597,"[0, 0]",66.66666666666666,27,3,277.13409995300026,None,,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
SmallReward,4000,0,0,0,0,0,39,39,39,,,,,,278.67629069600025,None,4000,280.6832674770003,None,None,280.6832674770003,None,1.53,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805, 0.3458193369997389, 0.39781014600066555, 0.31496547700044175]",40,284.7127935660001,None,None,0,284.7127935660001,None,You did not win $0.20!,-9.8,2,30,0.48999999999999994,35.0,0.32494526657163597,[],50.0,30,3,285.133652814,None,Adjusting RT...,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
SmallPun,1500,0,0,0,0,0,40,40,40,,,,,,286.6760775010007,None,1500,288.6824350480001,None,None,288.6824350480001,None,1.51,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805, 0.3458193369997389, 0.39781014600066555, 0.31496547700044175]",41,290.1985323070003,None,None,0,290.1985323070003,None,You lost $0.20!,-10.0,5,31,0.48999999999999994,34.146341463414636,0.32494526657163597,[0],50.0,30,3,290.6762990490006,None,,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
SmallReward,2000,0,0,0,0,0,41,41,41,,,,,,292.1761657780007,None,2000,294.1839823500004,None,None,294.1839823500004,None,1.51,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805, 0.3458193369997389, 0.39781014600066555, 0.31496547700044175, 0.3662859140004002]",42,296.21500623300017,None,1,1,296.21500623300017,None,You won $0.20!,-9.8,2,32,0.48999999999999994,35.714285714285715,0.3277013097335536,"[0, 1]",50.0,30,3,296.6767464200002,None,,,0.3662859140004002,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
SmallReward,1500,0,0,0,0,0,42,42,42,,,,,,298.1766120450002,None,1500,300.1861869280001,None,None,300.1861869280001,None,1.51,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805, 0.3458193369997389, 0.39781014600066555, 0.31496547700044175, 0.3662859140004002]",43,301.7047101240005,None,None,0,301.7047101240005,None,You did not win $0.20!,-9.8,2,33,0.5,34.883720930232556,0.3277013097335536,[],16.666666666666664,33,3,302.18081599500056,None,Adjusting RT...,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
SmallPun,1500,0,0,0,0,0,43,43,43,,,,,,303.67724181800077,None,1500,305.68294335000064,None,None,305.68294335000064,None,1.5,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805, 0.3458193369997389, 0.39781014600066555, 0.31496547700044175, 0.3662859140004002, 0.3728807429997687]",44,307.20040979700025,None,1,1,307.20040979700025,None,You did not lose $0.20!,-9.8,5,34,0.5,36.36363636363637,0.33052502431269204,[1],16.666666666666664,33,3,307.6772412070004,None,,,0.3728807429997687,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
SmallPun,1500,0,0,0,0,0,44,44,44,,,,,,309.17741799600026,None,1500,311.1853881470006,None,None,311.1853881470006,None,1.5,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805, 0.3458193369997389, 0.39781014600066555, 0.31496547700044175, 0.3662859140004002, 0.3728807429997687]",45,312.7013327500008,None,None,0,312.7013327500008,None,You lost $0.20!,-10.0,5,35,0.5,35.55555555555556,0.33052502431269204,"[1, 0]",16.666666666666664,33,3,313.1767040630002,None,,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
LgReward,2000,0,0,0,0,0,45,45,45,,,,,,314.6773408450008,None,2000,316.6858345010005,None,None,316.6858345010005,None,1.5,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805, 0.3458193369997389, 0.39781014600066555, 0.31496547700044175, 0.3662859140004002, 0.3728807429997687, 0.3450043029997687]",46,318.70825395200063,None,1,1,318.70825395200063,None,You won $5.00!,-5.0,1,36,0.5,36.95652173913043,0.33137674658840244,[],49.99999999999999,36,3,319.1794638630008,None,Adjusting RT...,,0.3450043029997687,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
LgPun,4000,0,0,0,0,0,46,46,46,,,,,,320.67789741600063,None,4000,322.6847855140004,None,1,322.6847855140004,None,1.5,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805, 0.3458193369997389, 0.39781014600066555, 0.31496547700044175, 0.3662859140004002, 0.3728807429997687, 0.3450043029997687]",47,326.6950725660008,None,None,0,326.6950725660008,None,You lost $5.00!,-10.0,4,37,0.5,36.17021276595745,0.33137674658840244,[0],49.99999999999999,36,3,327.17798154200045,None,,3.882501068000238,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
SmallPun,3000,0,0,0,0,0,47,47,47,,,,,,328.67797548700037,None,3000,330.68712742500065,None,None,330.68712742500065,None,1.5,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805, 0.3458193369997389, 0.39781014600066555, 0.31496547700044175, 0.3662859140004002, 0.3728807429997687, 0.3450043029997687]",48,333.69591902499997,None,None,0,333.69591902499997,None,You lost $0.20!,-10.2,5,38,0.5,35.41666666666667,0.33137674658840244,"[0, 0]",49.99999999999999,36,3,334.18018104300063,None,,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
LgReward,2500,0,0,0,0,0,48,48,48,,,,,,335.6805365960008,None,2500,337.688489356,None,None,337.688489356,None,1.5,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805, 0.3458193369997389, 0.39781014600066555, 0.31496547700044175, 0.3662859140004002, 0.3728807429997687, 0.3450043029997687, 0.35807970900077635]",49,340.2082049260007,None,1,1,340.2082049260007,None,You won $5.00!,-5.199999999999999,1,39,0.5,36.734693877551024,0.33286024450020096,[],49.99999999999999,39,3,340.68245986700003,None,Adjusting RT...,,0.35807970900077635,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
SmallPun,3500,0,0,0,0,0,49,49,49,,,,,,342.17873014900033,None,3500,344.18863658900045,None,None,344.18863658900045,None,1.5,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805, 0.3458193369997389, 0.39781014600066555, 0.31496547700044175, 0.3662859140004002, 0.3728807429997687, 0.3450043029997687, 0.35807970900077635]",50,347.70586016200014,None,None,0,347.70586016200014,None,You lost $0.20!,-5.3999999999999995,5,40,0.5,36.0,0.33286024450020096,[0],49.99999999999999,39,3,348.179127675,None,,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
LgReward,1500,1,0,1,0,0,0,0,0,349.6885223320005,None,349.8458847660004,None,TimeVersion1.csv,351.8463229460003,None,1500,353.8577920120006,None,None,353.8577920120006,None,1.5,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805, 0.3458193369997389, 0.39781014600066555, 0.31496547700044175, 0.3662859140004002, 0.3728807429997687, 0.3450043029997687, 0.35807970900077635, 0.3816881689999718]",51,355.3755721010002,None,1,1,355.3755721010002,None,You won $5.00!,-0.39999999999999947,1,41,0.5,37.254901960784316,0.3354301352633468,"[0, 1]",49.99999999999999,39,3,355.8480621230001,None,,,0.3816881689999718,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
Triangle,3500,1,0,1,0,0,1,1,1,,,,,,357.34615679700073,None,3500,359.35571880299995,None,None,359.35571880299995,None,1.5,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805, 0.3458193369997389, 0.39781014600066555, 0.31496547700044175, 0.3662859140004002, 0.3728807429997687, 0.3450043029997687, 0.35807970900077635, 0.3816881689999718]",52,362.86404822200075,None,None,0,362.86404822200075,None,You did not win or lose anything!,-0.39999999999999947,3,41,0.5,36.53846153846153,0.3354301352633468,"[0, 1]",49.99999999999999,39,3,363.34839418699994,None,,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
LgPun,1500,1,0,1,0,0,2,2,2,,,,,,364.848319531,None,1500,366.85907834000045,None,None,366.85907834000045,None,1.5,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805, 0.3458193369997389, 0.39781014600066555, 0.31496547700044175, 0.3662859140004002, 0.3728807429997687, 0.3450043029997687, 0.35807970900077635, 0.3816881689999718]",53,368.3746490550002,None,None,0,368.3746490550002,None,You lost $5.00!,-5.3999999999999995,4,42,0.5,35.84905660377358,0.3354301352633468,[],33.33333333333333,42,3,368.8467889620006,None,Adjusting RT...,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
SmallReward,3500,1,0,1,0,0,3,3,3,,,,,,370.3462704780004,None,3500,372.35982199499995,None,None,372.35982199499995,None,1.5,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805, 0.3458193369997389, 0.39781014600066555, 0.31496547700044175, 0.3662859140004002, 0.3728807429997687, 0.3450043029997687, 0.35807970900077635, 0.3816881689999718]",54,375.8778932790001,None,None,0,375.8778932790001,None,You did not win $0.20!,-5.3999999999999995,2,43,0.5,35.18518518518518,0.3354301352633468,[0],33.33333333333333,42,3,376.34829449300014,None,,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
LgReward,1500,1,0,1,0,0,4,4,4,,,,,,377.849650483,None,1500,379.8524998920002,None,None,379.8524998920002,None,1.5,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805, 0.3458193369997389, 0.39781014600066555, 0.31496547700044175, 0.3662859140004002, 0.3728807429997687, 0.3450043029997687, 0.35807970900077635, 0.3816881689999718]",55,381.37774504500067,None,None,0,381.37774504500067,None,You did not win $5.00!,-5.3999999999999995,1,44,0.5,34.54545454545455,0.3354301352633468,"[0, 0]",33.33333333333333,42,3,381.851017041,None,,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
LgPun,2500,1,0,1,0,0,5,5,5,,,,,,383.34762911600046,None,2500,385.3612351420006,None,None,385.3612351420006,None,1.5,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805, 0.3458193369997389, 0.39781014600066555, 0.31496547700044175, 0.3662859140004002, 0.3728807429997687, 0.3450043029997687, 0.35807970900077635, 0.3816881689999718]",56,387.86496147100024,None,None,0,387.86496147100024,None,You lost $5.00!,-10.399999999999999,4,45,0.5,33.92857142857143,0.3354301352633468,[],16.666666666666664,45,3,388.3469687450006,None,Adjusting RT...,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
LgReward,3500,1,0,1,0,0,6,6,6,,,,,,389.8477379620008,None,3500,391.86232502800067,None,None,391.86232502800067,None,1.5,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805, 0.3458193369997389, 0.39781014600066555, 0.31496547700044175, 0.3662859140004002, 0.3728807429997687, 0.3450043029997687, 0.35807970900077635, 0.3816881689999718]",57,395.3784139980007,None,None,0,395.3784139980007,None,You did not win $5.00!,-10.399999999999999,1,46,0.5,33.33333333333333,0.3354301352633468,[0],16.666666666666664,45,3,395.84972571900016,None,,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
LgPun,2000,1,0,1,0,0,7,7,7,,,,,,397.34987195100075,None,2000,399.36256712400063,None,None,399.36256712400063,None,1.5,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805, 0.3458193369997389, 0.39781014600066555, 0.31496547700044175, 0.3662859140004002, 0.3728807429997687, 0.3450043029997687, 0.35807970900077635, 0.3816881689999718]",58,401.36725295199994,None,None,0,401.36725295199994,None,You lost $5.00!,-15.399999999999999,4,47,0.5,32.758620689655174,0.3354301352633468,"[0, 0]",16.666666666666664,45,3,401.8480065540007,None,,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
Triangle,1500,1,0,1,0,0,8,8,8,,,,,,403.34819544900074,None,1500,405.3528180990006,None,None,405.3528180990006,None,1.5,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805, 0.3458193369997389, 0.39781014600066555, 0.31496547700044175, 0.3662859140004002, 0.3728807429997687, 0.3450043029997687, 0.35807970900077635, 0.3816881689999718]",59,406.8677598840004,None,None,0,406.8677598840004,None,You did not win or lose anything!,-15.399999999999999,3,47,0.5,32.20338983050847,0.3354301352633468,"[0, 0]",16.666666666666664,45,3,407.34843042600005,None,,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
SmallPun,4000,1,0,1,0,0,9,9,9,,,,,,408.8485971,None,4000,410.8644800510001,None,None,410.8644800510001,None,1.5,"[0.2672770990002391, 0.1001334010006758, 0.30220959999951447, 0.3476288520005255, 0.38886918400021386, 0.339089108000735, 0.38360768599977746, 0.34629565500017634, 0.33708518000003096, 0.3304176820001885, 0.3480253249999805, 0.3458193369997389, 0.39781014600066555, 0.31496547700044175, 0.3662859140004002, 0.3728807429997687, 0.3450043029997687, 0.35807970900077635, 0.3816881689999718]",60,414.86586910500046,None,None,0,414.86586910500046,None,You lost $0.20!,-15.599999999999998,5,48,0.5,31.666666666666664,0.3354301352633468,[],0.0,48,3,415.34987299300064,None,Adjusting RT...,,,0001,Scanner,0.31,2019_Aug_15_1401,MID,3.1.5,23.9329252772798,
