TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,trial_order
2,0,[],,0001,practice
1,1,0.2361904540011892,,0001,practice
5,1,0.23129877299652435,,0001,practice
4,0,[],,0001,practice
3,0,[],,0001,practice
2,0,[],,0001,practice
1,1,0.22717877900140593,,0001,practice
5,1,0.23222114199597854,,0001,practice
4,1,0.22996277899801498,,0001,practice
3,1,0.19285226100328146,,0001,practice
1,1,0.2047996039982536,,0001,practice
5,1,0.25262620400462765,,0001,practice
2,1,0.24530673600384034,,0001,practice
3,1,0.23994972700165818,,0001,practice
1,1,0.24731010800314834,,0001,practice
4,0,[],,0001,practice
5,0,[],,0001,practice
2,0,[],,0001,practice
4,0,[],,0001,practice
3,0,[],,0001,practice
