cue,probe,feedbackText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,jitter,jitterTarget,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,2.993,0.13,space,6.587770579964854,,,,001,2019_Apr_08_1146,MID,3.0.7,60.06359135366984,
images/LoseBig.BMP,images/LoseProbe.BMP,You won $5.00,0,0,0,0,2.555,-0.2,,,space,18.46115616505267,,001,2019_Apr_08_1146,MID,3.0.7,60.06359135366984,
images/Neutral.BMP,images/NeutralProbe.BMP,You lost $5.00,0,1,1,2,3.211,0.071,,,space,5.961936749983579,,001,2019_Apr_08_1146,MID,3.0.7,60.06359135366984,
,,,,,,,3.091,0.104,,,,,,,,,,,
