TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,trial_order
5,0,[],,1,1
1,0,[],,1,1
5,1,0.2542431369947735,,1,1
2,1,0.2521261920046527,,1,1
4,1,0.2278964819997782,,1,1
3,1,0.028245911998965312,,1,1
2,1,0.24655221500142943,,1,1
2,1,0.2810867330044857,,1,1
1,1,0.24129695699957665,,1,1
5,1,0.24258045100577874,,1,1
1,0,[],,1,1
4,0,[],,1,1
5,0,[],,1,1
3,0,[],,1,1
4,0,[],,1,1
3,0,[],,1,1
4,1,0.13636809099989478,,1,1
5,0,[],,1,1
1,1,0.2802276790025644,,1,1
5,1,0.24199843099631835,,1,1
2,0,[],,1,1
4,0,[],,1,1
1,1,0.2582734710013028,,1,1
2,0,[],,1,1
3,0,[],,1,1
4,1,0.23398807900230167,,1,1
2,1,0.23995493500115117,,1,1
3,1,0.3234939550020499,,1,1
2,1,0.28956394200213253,,1,1
3,0,[],,1,1
2,1,0.24181299500196474,,1,1
3,0,[],,1,1
4,1,0.30217760000232374,,1,1
3,0,[],,1,1
4,1,0.2379019639993203,,1,1
3,1,0.2749131730015506,,1,1
5,1,0.22509866500331555,,1,1
1,1,0.22097308899537893,,1,1
3,0,[],,1,1
1,1,0.2001992059958866,,1,1
4,0,[],,1,1
1,0,[],,1,1
4,0,[],,1,1
1,0,[],,1,1
2,0,[],,1,1
5,0,[],,1,1
1,0,[],,1,1
5,1,0.2992942499986384,,1,1
2,0,[],,1,1
5,1,0.25094765800167806,,1,1
5,0,[],,1,4
4,1,0.2059631750016706,,1,4
3,1,0.23412706899398472,,1,4
4,0,[],,1,4
2,1,0.2757518889993662,,1,4
1,0,[],,1,4
5,1,0.27056383099989034,,1,4
2,0,[],,1,4
5,0,[],,1,4
5,1,0.23540899199724663,,1,4
1,1,0.30310029599786503,,1,4
1,1,0.25737640500301495,,1,4
3,1,0.34433510700182524,,1,4
1,1,0.27984052499959944,,1,4
2,0,[],,1,4
4,0,[],,1,4
2,0,[],,1,4
2,1,0.2526490759992157,,1,4
3,0,[],,1,4
2,1,0.30607192799652694,,1,4
4,0,[],,1,4
1,1,0.3482226210035151,,1,4
1,0,[],,1,4
3,1,0.2557618279970484,,1,4
4,1,0.301332087998162,,1,4
2,0,[],,1,4
3,1,0.316861268998764,,1,4
5,1,0.3528837800040492,,1,4
3,1,0.26867042400408536,,1,4
5,1,0.250936295997235,,1,4
3,1,0.3264740540034836,,1,4
5,1,0.30952099400019506,,1,4
3,1,0.29471681299764896,,1,4
1,1,0.3106946350017097,,1,4
2,0,[],,1,4
3,1,0.3339910400027293,,1,4
4,0,[],,1,4
1,1,0.2908364499962772,,1,4
4,1,0.3114703230021405,,1,4
3,1,0.35644411200337345,,1,4
1,1,0.2809488750062883,,1,4
4,1,0.3097993299961672,,1,4
2,1,0.27283278099639574,,1,4
5,0,[],,1,4
5,1,0.21941339299519313,,1,4
4,1,0.29473426900221966,,1,4
1,0,[],,1,4
2,0,[],,1,4
5,1,0.2994973180029774,,1,4
4,0,[],,1,4
