Condition,FixationDur,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructFig.started,instructFig.stopped,text_2.started,text_2.stopped,PrepFixation.started,PrepFixation.stopped,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,rt_list,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedbackMsg.started,feedbackMsg.stopped,participant,session,practiceRT,trial Order,date,expName,psychopyVersion,frameRate,
SmallPun,3500,0,0,0,0,0,0,0,0,17.224853526000516,None,18.46230880800431,None,22.212793122998846,None,24.224969216003956,None,3500,26.22964460500225,None,None,26.22964460500225,None,1.5,[],1,29.745548331004102,None,1,0,0.2795510190044297,29.745548331004102,None,You lost $0.20!,-0.2,5,1,0.5,0.0,nan,[0],0,0,3,30.21363219900377,None,1,001,.5,1,2019_Aug_07_1205,MID,3.1.5,59.64619534908123,
,3.0,,,,,,,,,,,,,,,31.69880833299976,None,3.0,33.73043597400101,None,None,33.73043597400101,None,1.5,[],2,36.74502711000241,None,1,0,0.27051850000134436,36.74502711000241,None,You did not win or lose anything!,-0.2,,,,,,,,,,,,,,,,,,,,
