Condition,FixationDur,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructFig.started,instructFig.stopped,text_2.started,text_2.stopped,PrepFixation.started,PrepFixation.stopped,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,rt_list,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedbackMsg.started,feedbackMsg.stopped,AdjRTmsg,fixationResp.rt,polygon.started,polygon.stopped,text.started,text.stopped,participant,session,practiceRT,trial Order,date,expName,psychopyVersion,frameRate,
Triangle,4000,0,0,0,0,0,10,10,10,,,,,,,73.49134128799778,None,4000,75.52276191699639,None,None,75.52276191699639,None,1.6,"[0.27773098099714844, 0.38358042699837824, 0.26019814999744995, 0.25041592799971113, 0.2553734120010631, 0.2550152839976363, 0.2465918150046491, 0.2763600440011942, 0.2289352349980618, 0.24017292800272116]",11,79.53681143099675,None,1,1,0.24017292800272116,79.53681143099675,None,You did not win or lose anything!,5.6000000000000005,3,8,0.4,90.9090909090909,0.26743742039980134,"[1, 0]",100.0,6,3,79.90721039699565,None,,,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
SmallPun,1500,0,0,0,0,0,11,11,11,,,,,,,81.4905634589959,None,1500,83.52458469599515,None,None,83.52458469599515,None,1.6,"[0.27773098099714844, 0.38358042699837824, 0.26019814999744995, 0.25041592799971113, 0.2553734120010631, 0.2550152839976363, 0.2465918150046491, 0.2763600440011942, 0.2289352349980618, 0.24017292800272116, 0.3309272190017509]",12,85.0245839679992,None,1,1,0.3309272190017509,85.0245839679992,None,You did not lose $0.20!,5.6000000000000005,5,9,0.37,91.66666666666666,0.27320922027270583,[],83.33333333333333,9,3,85.40704272799485,None,Adjusting RT...,,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
LgReward,2500,0,0,0,0,0,12,12,12,,,,,,,87.02135568799713,None,2500,89.02450937799586,None,None,89.02450937799586,None,1.63,"[0.27773098099714844, 0.38358042699837824, 0.26019814999744995, 0.25041592799971113, 0.2553734120010631, 0.2550152839976363, 0.2465918150046491, 0.2763600440011942, 0.2289352349980618, 0.24017292800272116, 0.3309272190017509, 0.26651511400268646]",13,91.55235973399977,None,1,1,0.26651511400268646,91.55235973399977,None,You won $5.00!,10.600000000000001,1,10,0.37,92.3076923076923,0.27265137808353757,[1],83.33333333333333,9,3,91.8756088730006,None,,,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
SmallReward,3000,0,0,0,0,0,13,13,13,,,,,,,93.50917715899413,None,3000,95.52602744799515,None,None,95.52602744799515,None,1.63,"[0.27773098099714844, 0.38358042699837824, 0.26019814999744995, 0.25041592799971113, 0.2553734120010631, 0.2550152839976363, 0.2465918150046491, 0.2763600440011942, 0.2289352349980618, 0.24017292800272116, 0.3309272190017509, 0.26651511400268646, 0.2527252040017629]",14,98.55386591299612,None,1,1,0.2527252040017629,98.55386591299612,None,You won $0.20!,10.8,2,11,0.37,92.85714285714286,0.27111859546186257,"[1, 1]",83.33333333333333,9,3,98.8759582279963,None,,,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
SmallPun,1500,0,0,0,0,0,14,14,14,,,,,,,100.4930287229945,None,1500,102.52625952800008,None,None,102.52625952800008,None,1.63,"[0.27773098099714844, 0.38358042699837824, 0.26019814999744995, 0.25041592799971113, 0.2553734120010631, 0.2550152839976363, 0.2465918150046491, 0.2763600440011942, 0.2289352349980618, 0.24017292800272116, 0.3309272190017509, 0.26651511400268646, 0.2527252040017629]",15,104.02734378899913,None,None,0,,104.02734378899913,None,You lost $0.20!,10.600000000000001,5,12,0.35,86.66666666666667,0.27111859546186257,[],66.66666666666666,12,3,104.37674344499828,None,Adjusting RT...,,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
Triangle,2500,0,0,0,0,0,15,15,15,,,,,,,105.99553463899792,None,2500,108.02778265699453,None,1,108.02778265699453,None,1.65,"[0.27773098099714844, 0.38358042699837824, 0.26019814999744995, 0.25041592799971113, 0.2553734120010631, 0.2550152839976363, 0.2465918150046491, 0.2763600440011942, 0.2289352349980618, 0.24017292800272116, 0.3309272190017509, 0.26651511400268646, 0.2527252040017629]",16,110.54079418399488,None,None,0,,110.54079418399488,None,You did not win or lose anything!,10.600000000000001,3,12,0.35,81.25,0.27111859546186257,[],66.66666666666666,12,3,110.86126125299779,None,,1.8787258789961925,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
Triangle,1500,0,0,0,0,0,16,16,16,,,,,,,112.49406987700058,None,1500,114.52879016299994,None,None,114.52879016299994,None,1.65,"[0.27773098099714844, 0.38358042699837824, 0.26019814999744995, 0.25041592799971113, 0.2553734120010631, 0.2550152839976363, 0.2465918150046491, 0.2763600440011942, 0.2289352349980618, 0.24017292800272116, 0.3309272190017509, 0.26651511400268646, 0.2527252040017629]",17,116.02798360699671,None,None,0,,116.02798360699671,None,You did not win or lose anything!,10.600000000000001,3,12,0.35,76.47058823529412,0.27111859546186257,[],66.66666666666666,12,3,116.36196343299525,None,,,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
SmallPun,4000,0,0,0,0,0,17,17,17,,,,,,,117.99716688899935,None,4000,120.02932766099548,None,None,120.02932766099548,None,1.65,"[0.27773098099714844, 0.38358042699837824, 0.26019814999744995, 0.25041592799971113, 0.2553734120010631, 0.2550152839976363, 0.2465918150046491, 0.2763600440011942, 0.2289352349980618, 0.24017292800272116, 0.3309272190017509, 0.26651511400268646, 0.2527252040017629, 0.23252140099793905]",18,124.04236288399989,None,1,1,0.23252140099793905,124.04236288399989,None,You did not lose $0.20!,10.600000000000001,5,13,0.35,77.77777777777779,0.26836165300015374,[1],66.66666666666666,12,3,124.362580393994,None,,,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
LgPun,3500,0,0,0,0,0,18,18,18,,,,,,,125.99602613399475,None,3500,128.0301565109985,None,None,128.0301565109985,None,1.65,"[0.27773098099714844, 0.38358042699837824, 0.26019814999744995, 0.25041592799971113, 0.2553734120010631, 0.2550152839976363, 0.2465918150046491, 0.2763600440011942, 0.2289352349980618, 0.24017292800272116, 0.3309272190017509, 0.26651511400268646, 0.2527252040017629, 0.23252140099793905]",19,131.54363500399631,None,None,0,,131.54363500399631,None,You lost $5.00!,5.600000000000001,4,14,0.35,73.68421052631578,0.26836165300015374,"[1, 0]",66.66666666666666,12,3,131.86402333199658,None,,,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
LgReward,4000,0,0,0,0,0,19,19,19,,,,,,,133.5144746129954,None,4000,135.53100051299407,None,1,135.53100051299407,None,1.65,"[0.27773098099714844, 0.38358042699837824, 0.26019814999744995, 0.25041592799971113, 0.2553734120010631, 0.2550152839976363, 0.2465918150046491, 0.2763600440011942, 0.2289352349980618, 0.24017292800272116, 0.3309272190017509, 0.26651511400268646, 0.2527252040017629, 0.23252140099793905]",20,139.5611719879962,None,None,0,,139.5611719879962,None,You did not win $5.00!,5.600000000000001,1,15,0.37,70.0,0.26836165300015374,[],49.99999999999999,15,3,139.865357046001,None,Adjusting RT...,3.1022023430050467,,,,,1,001,.5,1,2019_Aug_07_1221,MID,3.1.5,59.85288997679131,
