Condition,FixationDur,textPrompt,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructFig.started,instructFig.stopped,text_2.started,text_2.stopped,PrepFixation.started,PrepFixation.stopped,TrialOrder,text.started,text.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,rt_list,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.rt,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedbackMsg.started,feedbackMsg.stopped,AdjRTmsg,fixationResp.rt,polygon.started,polygon.stopped,participant,prac_or_scan,practiceRT,date,expName,psychopyVersion,frameRate,
Triangle,2000,,1,0,1,0,0,4,4,4,,,,,,,,,,,,,99.109273424001,None,2000,101.13393741899927,None,None,101.13393741899927,None,1.73,"[0.22167661099956604, 0.2528359490024741, 0.23657328300032532, 0.2202605679995031, 0.20460017600271385]",10,103.134257153004,None,None,0,,103.134257153004,None,You did not win or lose anything!,5.0,3,8,0.27,50.0,0.22718931740091647,"[0, 0]",83.33333333333333,6,3,103.38313642400317,None,,,,,1,Practice,,2019_Aug_13_1208,MID,3.1.5,59.773236836127154,
LgReward,2000,,1,0,1,0,0,5,5,5,,,,,,,,,,,,,105.12628262399812,None,2000,107.1345244749973,None,None,107.1345244749973,None,1.73,"[0.22167661099956604, 0.2528359490024741, 0.23657328300032532, 0.2202605679995031, 0.20460017600271385]",11,109.1513610740003,None,None,0,,109.1513610740003,None,You did not win $5.00!,5.0,1,9,0.31,45.45454545454545,0.22718931740091647,[],33.33333333333333,9,3,109.38486715799809,None,Adjusting RT...,,,,1,Practice,,2019_Aug_13_1208,MID,3.1.5,59.773236836127154,
SmallPun,2000,,1,0,1,0,0,6,6,6,,,,,,,,,,,,,111.11057172700384,None,2000,113.13485866400151,None,None,113.13485866400151,None,1.69,"[0.22167661099956604, 0.2528359490024741, 0.23657328300032532, 0.2202605679995031, 0.20460017600271385]",12,115.13597810499778,None,None,0,,115.13597810499778,None,You lost $0.20!,4.8,5,10,0.31,41.66666666666667,0.22718931740091647,[0],33.33333333333333,9,3,115.41016234199924,None,,,,,1,Practice,,2019_Aug_13_1208,MID,3.1.5,59.773236836127154,
SmallReward,2000,,1,0,1,0,0,7,7,7,,,,,,,,,,,,,117.10207801299839,None,2000,119.11942044999887,None,None,119.11942044999887,None,1.69,"[0.22167661099956604, 0.2528359490024741, 0.23657328300032532, 0.2202605679995031, 0.20460017600271385]",13,121.1355954430037,None,None,0,,121.1355954430037,None,You did not win $0.20!,4.8,2,11,0.31,38.46153846153847,0.22718931740091647,"[0, 0]",33.33333333333333,9,3,121.40275317600026,None,,,,,1,Practice,,2019_Aug_13_1208,MID,3.1.5,59.773236836127154,
Triangle,2000,,1,0,1,0,0,8,8,8,,,,,,,,,,,,,123.0777739969999,None,2000,125.10380332500063,None,None,125.10380332500063,None,1.69,"[0.22167661099956604, 0.2528359490024741, 0.23657328300032532, 0.2202605679995031, 0.20460017600271385, 0.20883870900433976]",14,127.1033619430018,None,1,1,0.20883870900433976,127.1033619430018,None,You did not win or lose anything!,4.8,3,11,0.31,42.857142857142854,0.2241308826681537,"[0, 0]",33.33333333333333,9,3,127.38658640399808,None,,,,,1,Practice,,2019_Aug_13_1208,MID,3.1.5,59.773236836127154,
LgReward,2000,,1,0,1,0,0,9,9,9,,,,,,,,,,,,,129.07142620399827,None,2000,131.08745792399714,None,None,131.08745792399714,None,1.69,"[0.22167661099956604, 0.2528359490024741, 0.23657328300032532, 0.2202605679995031, 0.20460017600271385, 0.20883870900433976, 0.21606343800522154]",15,133.10424074500042,None,1,1,0.21606343800522154,133.10424074500042,None,You won $5.00!,9.8,1,12,0.36,46.666666666666664,0.2229783905734491,[],16.666666666666664,12,3,133.3613972710009,None,Adjusting RT...,,,,1,Practice,,2019_Aug_13_1208,MID,3.1.5,59.773236836127154,
LgPun,2000,,1,0,1,0,0,10,10,10,,,,,,,,,,,,,135.04503496699908,None,2000,137.07172689800063,None,None,137.07172689800063,None,1.6400000000000001,"[0.22167661099956604, 0.2528359490024741, 0.23657328300032532, 0.2202605679995031, 0.20460017600271385, 0.20883870900433976, 0.21606343800522154, 0.20865813799900934]",16,139.07155769300152,None,1,1,0.20865813799900934,139.07155769300152,None,You did not lose $5.00!,9.8,4,13,0.36,50.0,0.22118835900164413,[1],16.666666666666664,12,3,139.40590079800313,None,,,,,1,Practice,,2019_Aug_13_1208,MID,3.1.5,59.773236836127154,
SmallPun,2000,,1,0,1,0,0,11,11,11,,,,,,,,,,,,,141.0285034039989,None,2000,143.05613051399996,None,None,143.05613051399996,None,1.6400000000000001,"[0.22167661099956604, 0.2528359490024741, 0.23657328300032532, 0.2202605679995031, 0.20460017600271385, 0.20883870900433976, 0.21606343800522154, 0.20865813799900934, 0.2007495329962694]",17,145.05557587100338,None,1,1,0.2007495329962694,145.05557587100338,None,You did not lose $0.20!,9.8,5,14,0.36,52.94117647058824,0.21891737833438027,"[1, 1]",16.666666666666664,12,3,145.3895520570004,None,,,,,1,Practice,,2019_Aug_13_1208,MID,3.1.5,59.773236836127154,
SmallReward,2000,,1,0,1,0,0,12,12,12,,,,,,,,,,,,,147.02240282500134,None,2000,149.03993086399714,None,None,149.03993086399714,None,1.6400000000000001,"[0.22167661099956604, 0.2528359490024741, 0.23657328300032532, 0.2202605679995031, 0.20460017600271385, 0.20883870900433976, 0.21606343800522154, 0.20865813799900934, 0.2007495329962694, 0.23260295399813913]",18,151.05559324099886,None,1,1,0.23260295399813913,151.05559324099886,None,You won $0.20!,10.0,2,15,0.33999999999999997,55.55555555555556,0.22028593590075615,[],66.66666666666666,15,3,151.36214650700276,None,Adjusting RT...,,,,1,Practice,,2019_Aug_13_1208,MID,3.1.5,59.773236836127154,
LgPun,2000,,1,0,1,0,0,13,13,13,,,,,,,,,,,,,152.99570749900158,None,2000,155.02355108500342,None,1,155.02355108500342,None,1.6600000000000001,"[0.22167661099956604, 0.2528359490024741, 0.23657328300032532, 0.2202605679995031, 0.20460017600271385, 0.20883870900433976, 0.21606343800522154, 0.20865813799900934, 0.2007495329962694, 0.23260295399813913]",19,157.0239687680005,None,None,0,,157.0239687680005,None,You lost $5.00!,5.0,4,16,0.33999999999999997,52.63157894736842,0.22028593590075615,[0],66.66666666666666,15,3,157.3293646460006,None,,1.8726388409995707,,,1,Practice,,2019_Aug_13_1208,MID,3.1.5,59.773236836127154,
Triangle,2000,,1,0,1,0,0,14,14,14,,,,,,,,,,,,,158.97912366100354,None,2000,161.00783608799975,None,None,161.00783608799975,None,1.6600000000000001,"[0.22167661099956604, 0.2528359490024741, 0.23657328300032532, 0.2202605679995031, 0.20460017600271385, 0.20883870900433976, 0.21606343800522154, 0.20865813799900934, 0.2007495329962694, 0.23260295399813913]",20,163.0074042760025,None,None,0,,163.0074042760025,None,You did not win or lose anything!,5.0,3,16,0.33999999999999997,50.0,0.22028593590075615,[0],66.66666666666666,15,3,163.3252401369973,None,,,,,1,Practice,,2019_Aug_13_1208,MID,3.1.5,59.773236836127154,
,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Practice,,2019_Aug_13_1208,MID,3.1.5,59.773236836127154,
,,,,,,,,,,,,,,,,,,169.96317093900143,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.96289823300322,None,,,,,,,,
