Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,preinstruc_text.started,preinstruc_text.stopped,instructFig.started,instructFig.stopped,PrepFixation.started,PrepFixation.stopped,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,rt_list,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedbackMsg.started,feedbackMsg.stopped,AdjRTmsg,probeResp.rt,polygon.started,polygon.stopped,text.started,text.stopped,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgReward,1500,0,13,13,13,,,,,,,,131.03389333999803,None,1500,133.04106496999884,None,None,133.04106496999884,None,1.5,"[0.2715647280056146, 0.37146648099587765, 0.3061468789965147, 0.35233363199949963]",14,134.57179546599946,None,None,0,134.57179546599946,None,You did not win $5.00!,-0.20000000000000034,1,11,0.5,28.57142857142857,0.32537792999937665,"[0, 0]",50.0,9,3,135.03386052099813,None,,,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
LgPun,2500,0,14,14,14,,,,,,,,136.53361000199948,None,2500,138.53778119000344,None,None,138.53778119000344,None,1.5,"[0.2715647280056146, 0.37146648099587765, 0.3061468789965147, 0.35233363199949963, 0.2666429620003328]",15,141.0564073409987,None,1,1,141.0564073409987,None,You did not lose $5.00!,-0.20000000000000034,4,12,0.48,33.33333333333333,0.31363093639956785,[],66.66666666666666,12,3,141.53396413600422,None,Adjusting RT...,0.2666429620003328,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
SmallReward,1500,0,15,15,15,,,,,,,,143.034530818004,None,1500,145.04204497400497,None,None,145.04204497400497,None,1.52,"[0.2715647280056146, 0.37146648099587765, 0.3061468789965147, 0.35233363199949963, 0.2666429620003328]",16,146.57214924000436,None,None,0,146.57214924000436,None,You did not win $0.20!,-0.20000000000000034,2,13,0.48,31.25,0.31363093639956785,[0],66.66666666666666,12,3,146.99319735600147,None,,,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
LgReward,1500,0,16,16,16,,,,,,,,148.4926499180001,None,1500,150.50687492600264,None,None,150.50687492600264,None,1.52,"[0.2715647280056146, 0.37146648099587765, 0.3061468789965147, 0.35233363199949963, 0.2666429620003328, 0.33248993800225435]",17,152.0227013160038,None,1,1,152.0227013160038,None,You won $5.00!,4.8,1,14,0.48,35.294117647058826,0.31677410333334893,"[0, 1]",66.66666666666666,12,3,152.45115243700275,None,,0.33248993800225435,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
SmallPun,3500,0,17,17,17,,,,,,,,153.95199204300297,None,3500,155.97456292800052,None,None,155.97456292800052,None,1.52,"[0.2715647280056146, 0.37146648099587765, 0.3061468789965147, 0.35233363199949963, 0.2666429620003328, 0.33248993800225435, 0.27730592800071463]",18,159.47487604599883,None,1,1,159.47487604599883,None,You did not lose $0.20!,4.8,5,15,0.5,38.88888888888889,0.31113579257154406,[],49.99999999999999,15,3,159.90961663000053,None,Adjusting RT...,0.27730592800071463,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
LgPun,1500,0,18,18,18,,,,,,,,161.4102503030008,None,1500,163.4263417129987,None,None,163.4263417129987,None,1.5,"[0.2715647280056146, 0.37146648099587765, 0.3061468789965147, 0.35233363199949963, 0.2666429620003328, 0.33248993800225435, 0.27730592800071463, 0.3525808339982177]",19,164.92847241300478,None,1,1,164.92847241300478,None,You did not lose $5.00!,4.8,4,16,0.5,42.10526315789473,0.31631642274987826,[1],49.99999999999999,15,3,165.4106046490051,None,,0.3525808339982177,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
LgPun,3500,0,19,19,19,,,,,,,,166.91033539400087,None,3500,168.92640794099862,None,None,168.92640794099862,None,1.5,"[0.2715647280056146, 0.37146648099587765, 0.3061468789965147, 0.35233363199949963, 0.2666429620003328, 0.33248993800225435, 0.27730592800071463, 0.3525808339982177, 0.284189673999208]",20,172.42799734700384,None,1,1,172.42799734700384,None,You did not lose $5.00!,4.8,4,17,0.5,45.0,0.31274678399980377,"[1, 1]",49.99999999999999,15,3,172.91280971700326,None,,0.284189673999208,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
SmallReward,2500,0,20,20,20,,,,,,,,174.41259475900006,None,2500,176.4276114960012,None,None,176.4276114960012,None,1.5,"[0.2715647280056146, 0.37146648099587765, 0.3061468789965147, 0.35233363199949963, 0.2666429620003328, 0.33248993800225435, 0.27730592800071463, 0.3525808339982177, 0.284189673999208, 0.3531536509981379]",21,178.94403882500046,None,1,1,178.94403882500046,None,You won $0.20!,5.0,2,18,0.47,47.61904761904761,0.3167874706996372,[],83.33333333333333,18,3,179.4130408630008,None,Adjusting RT...,0.3531536509981379,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
LgPun,2000,0,21,21,21,,,,,,,,180.9129174530026,None,2000,182.92844932200387,None,None,182.92844932200387,None,1.53,"[0.2715647280056146, 0.37146648099587765, 0.3061468789965147, 0.35233363199949963, 0.2666429620003328, 0.33248993800225435, 0.27730592800071463, 0.3525808339982177, 0.284189673999208, 0.3531536509981379, 0.2991101749939844]",22,184.93003507800313,None,1,1,184.93003507800313,None,You did not lose $5.00!,5.0,4,19,0.47,50.0,0.31518044381730514,[1],83.33333333333333,18,3,185.36972041599802,None,,0.2991101749939844,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
Triangle,2000,0,22,22,22,,,,,,,,186.9114949040013,None,2000,188.92937256200094,None,None,188.92937256200094,None,1.53,"[0.2715647280056146, 0.37146648099587765, 0.3061468789965147, 0.35233363199949963, 0.2666429620003328, 0.33248993800225435, 0.27730592800071463, 0.3525808339982177, 0.284189673999208, 0.3531536509981379, 0.2991101749939844, 0.3342433469952084]",23,190.92985604300338,None,1,1,190.92985604300338,None,You did not win or lose anything!,5.0,3,19,0.47,52.17391304347826,0.3167690190821304,[1],83.33333333333333,18,3,191.37010746799933,None,,0.3342433469952084,,,,,0006,Scanner,1,2019_Aug_20_1456,MID,3.1.5,24.005745688472174,
