Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
Triangle,3500,0,17,17,17,,123.45950583499507,None,3500,125.4919870570011,None,None,125.4919870570011,None,1.5,18,129.00530951999826,None,None,0,129.00530951999826,None,You did not win or lose anything!,-25.4,3,13,0.5,0.0,nan,[0],0.0,12,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
LgPun,3000,0,18,18,18,,130.95924441399984,None,3000,132.99301657199976,None,None,132.99301657199976,None,1.5,19,136.0065027739911,None,None,0,136.0065027739911,None,You lost $5.00!,-30.4,4,14,0.5,0.0,nan,"[0, 0]",0.0,12,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
LgReward,1500,0,19,19,19,,137.97702931798995,None,1500,139.99387843599834,None,None,139.99387843599834,None,1.5,20,141.51025548498728,None,None,0,141.51025548498728,None,You did not win $5.00!,-30.4,1,15,0.5,0.0,nan,[],0.0,15,3,Adjusting RT...,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
LgPun,1500,0,20,20,20,,143.4621338040015,None,1500,145.49425207798777,None,None,145.49425207798777,None,1.5,21,147.00763235799968,None,None,0,147.00763235799968,None,You lost $5.00!,-35.4,4,16,0.5,0.0,nan,[0],0.0,15,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
LgReward,1500,0,21,21,21,,148.97865210298914,None,1500,150.9953265919903,None,None,150.9953265919903,None,1.5,22,152.5120605139964,None,None,0,152.5120605139964,None,You did not win $5.00!,-35.4,1,17,0.5,0.0,nan,"[0, 0]",0.0,15,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
LgReward,1500,0,22,22,22,,154.48620441599633,None,1500,156.49597757100128,None,None,156.49597757100128,None,1.5,23,158.02256155500072,None,None,0,158.02256155500072,None,You did not win $5.00!,-35.4,1,18,0.5,0.0,nan,[],0.0,18,3,Adjusting RT...,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
Triangle,1500,0,23,23,23,,159.9630506419926,None,1500,161.99682801899326,None,None,161.99682801899326,None,1.5,24,163.49707636299718,None,None,0,163.49707636299718,None,You did not win or lose anything!,-35.4,3,18,0.5,0.0,nan,[],0.0,18,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
SmallReward,3500,0,24,24,24,,165.48721367999678,None,3500,167.49753234199306,None,None,167.49753234199306,None,1.5,25,171.0248256539926,None,None,0,171.0248256539926,None,You did not win $0.20!,-35.4,2,19,0.5,0.0,nan,[0],0.0,18,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
SmallPun,2000,0,25,25,25,,172.96464396399097,None,2000,174.99856673998875,None,None,174.99856673998875,None,1.5,26,176.99790479399962,None,None,0,176.99790479399962,None,You lost $0.20!,-35.6,5,20,0.5,0.0,nan,"[0, 0]",0.0,18,3,,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
SmallReward,2500,0,26,26,26,,178.9817476419994,None,2500,180.99951003199385,None,None,180.99951003199385,None,1.5,27,183.52696631799336,None,None,0,183.52696631799336,None,You did not win $0.20!,-35.6,2,21,0.5,0.0,nan,[],0.0,21,3,Adjusting RT...,0009,Scanner,1,2019_Aug_21_0939,MID,3.1.5,59.86949061705388,
