cue,probe,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,jitter,fixationResp.keys,fixationResp.rt,jitterTarget,feedbackDur,rt_list,Trial counter,probeResp.keys,probeResp.corr,msg,TrackEarnings,TrialType,probeDur,percentacc,meanrt,probeResp.rt,participant,session,PracticeRT,date,expName,psychopyVersion,frameRate,
images/WinBig.BMP,images/WinProbe.BMP,WinBig,0,0,0,3,2.155,space,1.352164976997301,0.348,1.5,[[]],1,None,0,You did not win $5.00!,0,1,0.5,0.0,nan,,,001,.5,2019_Apr_18_1557,MID,3.0.7,60.6584371453927,
,,,,,,,2.964,None,,0.271,1.5,"[[], 0.2389590399689041]",2,space,1,,,,,,,0.2389590399689041,,,,,,,,
