cue,probe,feedbackText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,jitter,jitterTarget,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,3.551,-0.131,space,12.188963696011342,,,2,001,2019_Apr_08_1143,MID,3.0.7,60.22957247801196,
images/LoseSmall.BMP,images/LoseProbe.BMP,You won $0.20,0,0,0,1,1.942,-0.198,,,space,4.953559224959463,2,001,2019_Apr_08_1143,MID,3.0.7,60.22957247801196,
,,,,,,,3.009,0.077,,,,,,,,,,,
