Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,preinstruc_text.started,preinstruc_text.stopped,instructFig.started,instructFig.stopped,PrepFixation.started,PrepFixation.stopped,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,rt_list,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedbackMsg.started,feedbackMsg.stopped,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallPun,1500,0,0,0,0,58.34337999299896,None,61.37735671100381,None,62.9273990790025,None,TimeVersion11.csv,64.92779901500035,None,1500,66.94425708000199,None,None,66.94425708000199,None,1.5,[],1,68.44647013599752,None,None,0,68.44647013599752,None,You lost $0.20!,-0.2,5,1,0.49999999999999994,0.0,nan,[0],0,0,3,68.92781949799974,None,0005,Scanner,1,2019_Aug_20_1413,MID,3.1.5,60.02727435274241,
,1.5,,,,,,,,,,,,70.4129885700022,None,1.5,72.44521127500047,None,None,72.44521127500047,None,1.5,[],2,73.94610344000102,None,None,0,73.94610344000102,None,You lost $5.00!,-5.2,,,,,,,,,,,,,,,,,,,
