cue,probe,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,jitter,fixationResp.keys,jitterTarget,feedbackDur,rt_list,probeResp.keys,probeResp.corr,probeResp.rt,msg,TrackEarnings,Trial Counter,TrialType,ProbeDur,percentacc,meanrt,participant,session,PracticeRT,date,expName,psychopyVersion,frameRate,
images/LoseSmall.BMP,images/LoseProbe.BMP,LoseSmall,0,0,0,1,2.493,None,0.298,1.5,[],space,1,0.25887176604010165,You did not lose $0.20!,0,1,5,0.15,0,nan,,001,.5,2019_Apr_18_1534,MID,3.0.7,59.83221788571087,
images/WinSmall.BMP,images/WinProbe.BMP,WinSmall,0,1,1,4,1.854,None,0.164,1.5,[],space,1,0.38511509500676766,You won $0.20!,0.2,2,2,0.15,0,nan,,001,.5,2019_Apr_18_1534,MID,3.0.7,59.83221788571087,
images/WinBig.BMP,images/WinProbe.BMP,WinBig,0,2,2,3,3.373,None,0.201,1.5,[],space,1,0.43512473796727136,You won $5.00!,5.2,3,1,0.15,100.0,nan,,001,.5,2019_Apr_18_1534,MID,3.0.7,59.83221788571087,
images/Neutral.BMP,images/NeutralProbe.BMP,Neutral,0,3,3,2,1.527,None,0.314,1.5,[],space,1,0.2854125159792602,You did not win or lose anything!,5.2,4,3,0.15,100.0,nan,,001,.5,2019_Apr_18_1534,MID,3.0.7,59.83221788571087,
images/LoseBig.BMP,images/LoseProbe.BMP,LoseBig,0,4,4,0,3.307,None,0.424,1.5,[],None,0,,You lost $5.00!,0.20000000000000018,5,4,0.15,100.0,nan,,001,.5,2019_Apr_18_1534,MID,3.0.7,59.83221788571087,
images/Neutral.BMP,images/NeutralProbe.BMP,Neutral,1,0,5,2,1.622,None,0.3,1.5,[],space,1,0.43593369203154,You did not win or lose anything!,0.20000000000000018,6,3,0.15,80.0,nan,,001,.5,2019_Apr_18_1534,MID,3.0.7,59.83221788571087,
