Condition,FixationDur,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,FixationDur,fixationResp.keys,probeDur,feedbackDur,rt_list,Trial counter,probeResp.keys,probeResp.corr,probeResp.rt,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,AdjRTmsg,fixationResp.rt,participant,session,practiceRT,trial Order,date,expName,psychopyVersion,frameRate,
Triangle,1500,0,0,0,0,0,13,13,13,1500,None,0.30000000000000004,1.7,"[0.19538517099863384, 0.22002769699975033, 0.23674720900089596, 0.2532281999992847, 0.22061715000018012, 0.21855118600069545, 0.28657272300188197, 0.2695044389984105, 0.2042290690005757, 0.20861607600090792, 0.23665609499948914, 0.3198386459989706]",14,None,0,,You did not win or lose anything!,15.600000000000001,3,12,85.71428571428571,0.23916447174997302,[],100.0,12,3,,,0001,001,.5,1,2019_Aug_05_1628,MID,3.0.7,59.73806043273071,
LgPun,4000,0,0,0,0,0,14,14,14,4000,None,0.30000000000000004,1.7,"[0.19538517099863384, 0.22002769699975033, 0.23674720900089596, 0.2532281999992847, 0.22061715000018012, 0.21855118600069545, 0.28657272300188197, 0.2695044389984105, 0.2042290690005757, 0.20861607600090792, 0.23665609499948914, 0.3198386459989706, 0.20369106599900988]",15,space,1,0.20369106599900988,You did not lose $5.00!,15.600000000000001,4,13,86.66666666666667,0.23643574823066815,[1],100.0,12,3,,,0001,001,.5,1,2019_Aug_05_1628,MID,3.0.7,59.73806043273071,
Triangle,4000,0,0,0,0,0,15,15,15,4000,None,0.30000000000000004,1.7,"[0.19538517099863384, 0.22002769699975033, 0.23674720900089596, 0.2532281999992847, 0.22061715000018012, 0.21855118600069545, 0.28657272300188197, 0.2695044389984105, 0.2042290690005757, 0.20861607600090792, 0.23665609499948914, 0.3198386459989706, 0.20369106599900988, 0.22080264000032912]",16,space,1,0.22080264000032912,You did not win or lose anything!,15.600000000000001,3,13,87.5,0.2353190976427868,[1],100.0,12,3,,,0001,001,.5,1,2019_Aug_05_1628,MID,3.0.7,59.73806043273071,
LgPun,3000,0,0,0,0,0,16,16,16,3000,None,0.30000000000000004,1.7,"[0.19538517099863384, 0.22002769699975033, 0.23674720900089596, 0.2532281999992847, 0.22061715000018012, 0.21855118600069545, 0.28657272300188197, 0.2695044389984105, 0.2042290690005757, 0.20861607600090792, 0.23665609499948914, 0.3198386459989706, 0.20369106599900988, 0.22080264000032912]",17,None,0,,You lost $5.00!,10.600000000000001,4,14,82.35294117647058,0.2353190976427868,"[1, 0]",100.0,12,3,,,0001,001,.5,1,2019_Aug_05_1628,MID,3.0.7,59.73806043273071,
SmallPun,1500,0,0,0,0,0,17,17,17,1500,None,0.28,1.7,"[0.19538517099863384, 0.22002769699975033, 0.23674720900089596, 0.2532281999992847, 0.22061715000018012, 0.21855118600069545, 0.28657272300188197, 0.2695044389984105, 0.2042290690005757, 0.20861607600090792, 0.23665609499948914, 0.3198386459989706, 0.20369106599900988, 0.22080264000032912]",18,None,0,,You lost $0.20!,10.400000000000002,5,15,77.77777777777779,0.2353190976427868,[],66.66666666666666,15,3,Adjusting RT...,,0001,001,.5,1,2019_Aug_05_1628,MID,3.0.7,59.73806043273071,
LgReward,2000,0,0,0,0,0,18,18,18,2000,space,0.28,1.72,"[0.19538517099863384, 0.22002769699975033, 0.23674720900089596, 0.2532281999992847, 0.22061715000018012, 0.21855118600069545, 0.28657272300188197, 0.2695044389984105, 0.2042290690005757, 0.20861607600090792, 0.23665609499948914, 0.3198386459989706, 0.20369106599900988, 0.22080264000032912]",19,None,0,,You did not win $5.00!,10.400000000000002,1,16,73.68421052631578,0.2353190976427868,[0],66.66666666666666,15,3,,1.421949270999903,0001,001,.5,1,2019_Aug_05_1628,MID,3.0.7,59.73806043273071,
SmallPun,4000,0,0,0,0,0,19,19,19,4000,None,0.28,1.72,"[0.19538517099863384, 0.22002769699975033, 0.23674720900089596, 0.2532281999992847, 0.22061715000018012, 0.21855118600069545, 0.28657272300188197, 0.2695044389984105, 0.2042290690005757, 0.20861607600090792, 0.23665609499948914, 0.3198386459989706, 0.20369106599900988, 0.22080264000032912, 0.23704811400239123]",20,space,1,0.23704811400239123,You did not lose $0.20!,10.400000000000002,5,17,75.0,0.23543436540009377,"[0, 1]",66.66666666666666,15,3,,,0001,001,.5,1,2019_Aug_05_1628,MID,3.0.7,59.73806043273071,
SmallReward,1500,0,0,0,0,0,20,20,20,1500,None,0.30000000000000004,1.72,"[0.19538517099863384, 0.22002769699975033, 0.23674720900089596, 0.2532281999992847, 0.22061715000018012, 0.21855118600069545, 0.28657272300188197, 0.2695044389984105, 0.2042290690005757, 0.20861607600090792, 0.23665609499948914, 0.3198386459989706, 0.20369106599900988, 0.22080264000032912, 0.23704811400239123, 0.23713120500178775]",21,space,1,0.23713120500178775,You won $0.20!,10.600000000000001,2,18,76.19047619047619,0.23554041787519964,[],49.99999999999999,18,3,Adjusting RT...,,0001,001,.5,1,2019_Aug_05_1628,MID,3.0.7,59.73806043273071,
LgPun,1500,0,0,0,0,0,21,21,21,1500,None,0.30000000000000004,1.7,"[0.19538517099863384, 0.22002769699975033, 0.23674720900089596, 0.2532281999992847, 0.22061715000018012, 0.21855118600069545, 0.28657272300188197, 0.2695044389984105, 0.2042290690005757, 0.20861607600090792, 0.23665609499948914, 0.3198386459989706, 0.20369106599900988, 0.22080264000032912, 0.23704811400239123, 0.23713120500178775, 0.23663794999811216]",22,space,1,0.23663794999811216,You did not lose $5.00!,10.600000000000001,4,19,77.27272727272727,0.23560497858831214,[1],49.99999999999999,18,3,,,0001,001,.5,1,2019_Aug_05_1628,MID,3.0.7,59.73806043273071,
LgReward,3500,0,0,0,0,0,22,22,22,3500,None,0.30000000000000004,1.7,"[0.19538517099863384, 0.22002769699975033, 0.23674720900089596, 0.2532281999992847, 0.22061715000018012, 0.21855118600069545, 0.28657272300188197, 0.2695044389984105, 0.2042290690005757, 0.20861607600090792, 0.23665609499948914, 0.3198386459989706, 0.20369106599900988, 0.22080264000032912, 0.23704811400239123, 0.23713120500178775, 0.23663794999811216, 0.25325548999899183]",23,space,1,0.25325548999899183,You won $5.00!,15.600000000000001,1,20,78.26086956521739,0.23658556255557212,"[1, 1]",49.99999999999999,18,3,,,0001,001,.5,1,2019_Aug_05_1628,MID,3.0.7,59.73806043273071,
SmallReward,4000,0,0,0,0,0,23,23,23,4000,None,0.27,1.7,"[0.19538517099863384, 0.22002769699975033, 0.23674720900089596, 0.2532281999992847, 0.22061715000018012, 0.21855118600069545, 0.28657272300188197, 0.2695044389984105, 0.2042290690005757, 0.20861607600090792, 0.23665609499948914, 0.3198386459989706, 0.20369106599900988, 0.22080264000032912, 0.23704811400239123, 0.23713120500178775, 0.23663794999811216, 0.25325548999899183, 0.23688453400245635]",24,space,1,0.23688453400245635,You won $0.20!,15.8,2,21,79.16666666666666,0.23660129789488182,[],83.33333333333333,21,3,Adjusting RT...,,0001,001,.5,1,2019_Aug_05_1628,MID,3.0.7,59.73806043273071,
Triangle,2000,0,0,0,0,0,24,24,24,2000,None,0.27,1.73,"[0.19538517099863384, 0.22002769699975033, 0.23674720900089596, 0.2532281999992847, 0.22061715000018012, 0.21855118600069545, 0.28657272300188197, 0.2695044389984105, 0.2042290690005757, 0.20861607600090792, 0.23665609499948914, 0.3198386459989706, 0.20369106599900988, 0.22080264000032912, 0.23704811400239123, 0.23713120500178775, 0.23663794999811216, 0.25325548999899183, 0.23688453400245635, 0.23704725899733603]",25,space,1,0.23704725899733603,You did not win or lose anything!,15.8,3,21,80.0,0.23662359595000454,[],83.33333333333333,21,3,,,0001,001,.5,1,2019_Aug_05_1628,MID,3.0.7,59.73806043273071,
LgPun,2000,0,0,0,0,0,25,25,25,2000,None,0.27,1.73,"[0.19538517099863384, 0.22002769699975033, 0.23674720900089596, 0.2532281999992847, 0.22061715000018012, 0.21855118600069545, 0.28657272300188197, 0.2695044389984105, 0.2042290690005757, 0.20861607600090792, 0.23665609499948914, 0.3198386459989706, 0.20369106599900988, 0.22080264000032912, 0.23704811400239123, 0.23713120500178775, 0.23663794999811216, 0.25325548999899183, 0.23688453400245635, 0.23704725899733603]",26,None,0,,You lost $5.00!,10.8,4,22,76.92307692307693,0.23662359595000454,[0],83.33333333333333,21,3,,,0001,001,.5,1,2019_Aug_05_1628,MID,3.0.7,59.73806043273071,
SmallReward,2000,0,0,0,0,0,26,26,26,2000,None,0.27,1.73,"[0.19538517099863384, 0.22002769699975033, 0.23674720900089596, 0.2532281999992847, 0.22061715000018012, 0.21855118600069545, 0.28657272300188197, 0.2695044389984105, 0.2042290690005757, 0.20861607600090792, 0.23665609499948914, 0.3198386459989706, 0.20369106599900988, 0.22080264000032912, 0.23704811400239123, 0.23713120500178775, 0.23663794999811216, 0.25325548999899183, 0.23688453400245635, 0.23704725899733603]",27,None,0,,You did not win $0.20!,10.8,2,23,74.07407407407408,0.23662359595000454,"[0, 0]",83.33333333333333,21,3,,,0001,001,.5,1,2019_Aug_05_1628,MID,3.0.7,59.73806043273071,
Triangle,3000,0,0,0,0,0,27,27,27,3000,None,0.27,1.73,"[0.19538517099863384, 0.22002769699975033, 0.23674720900089596, 0.2532281999992847, 0.22061715000018012, 0.21855118600069545, 0.28657272300188197, 0.2695044389984105, 0.2042290690005757, 0.20861607600090792, 0.23665609499948914, 0.3198386459989706, 0.20369106599900988, 0.22080264000032912, 0.23704811400239123, 0.23713120500178775, 0.23663794999811216, 0.25325548999899183, 0.23688453400245635, 0.23704725899733603]",28,None,0,,You did not win or lose anything!,10.8,3,23,71.42857142857143,0.23662359595000454,"[0, 0]",83.33333333333333,21,3,,,0001,001,.5,1,2019_Aug_05_1628,MID,3.0.7,59.73806043273071,
SmallReward,3500,0,0,0,0,0,28,28,28,3500,space,0.29000000000000004,1.73,"[0.19538517099863384, 0.22002769699975033, 0.23674720900089596, 0.2532281999992847, 0.22061715000018012, 0.21855118600069545, 0.28657272300188197, 0.2695044389984105, 0.2042290690005757, 0.20861607600090792, 0.23665609499948914, 0.3198386459989706, 0.20369106599900988, 0.22080264000032912, 0.23704811400239123, 0.23713120500178775, 0.23663794999811216, 0.25325548999899183, 0.23688453400245635, 0.23704725899733603]",29,None,0,,You did not win $0.20!,10.8,2,24,68.96551724137932,0.23662359595000454,[],50.0,24,3,Adjusting RT...,2.604828068997449,0001,001,.5,1,2019_Aug_05_1628,MID,3.0.7,59.73806043273071,
Triangle,1500,0,0,0,0,0,29,29,29,1500,None,0.29000000000000004,1.71,"[0.19538517099863384, 0.22002769699975033, 0.23674720900089596, 0.2532281999992847, 0.22061715000018012, 0.21855118600069545, 0.28657272300188197, 0.2695044389984105, 0.2042290690005757, 0.20861607600090792, 0.23665609499948914, 0.3198386459989706, 0.20369106599900988, 0.22080264000032912, 0.23704811400239123, 0.23713120500178775, 0.23663794999811216, 0.25325548999899183, 0.23688453400245635, 0.23704725899733603]",30,None,0,,You did not win or lose anything!,10.8,3,24,66.66666666666666,0.23662359595000454,[],50.0,24,3,,,0001,001,.5,1,2019_Aug_05_1628,MID,3.0.7,59.73806043273071,
