Condition,FixationDur,run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,FixationDur,fixationResp.keys,jitterTarget,feedbackDur,rt_list,Trial counter,probeResp.keys,probeResp.corr,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,probeResp.rt,participant,session,practiceRT,trial Order,date,expName,psychopyVersion,frameRate,
LgReward,2000,0,0,0,0,0,18,18,18,2000,None,0.34,1.5,"[0.34652671300136717, 0.3414394560004439]",19,None,0,You did not win $5.00!,-11.0,1,16,0.5,10.526315789473683,0.34398308450090553,[0],16.666666666666664,15,3,,0001,001,.5,1,2019_Aug_06_1216,MID,3.0.7,59.97024624198146,
SmallPun,4000,0,0,0,0,0,19,19,19,4000,None,0.418,1.5,"[0.34652671300136717, 0.3414394560004439]",20,None,0,You lost $0.20!,-11.2,5,17,0.5,10.0,0.34398308450090553,"[0, 0]",16.666666666666664,15,3,,0001,001,.5,1,2019_Aug_06_1216,MID,3.0.7,59.97024624198146,
SmallReward,1500,0,0,0,0,0,20,20,20,1500,None,0.156,1.5,"[0.34652671300136717, 0.3414394560004439, 0.40336509099870455]",21,space,1,You won $0.20!,-11.0,2,18,0.5,14.285714285714285,0.36377708666683856,[],16.666666666666664,18,3,0.40336509099870455,0001,001,.5,1,2019_Aug_06_1216,MID,3.0.7,59.97024624198146,
LgPun,1500,0,0,0,0,0,21,21,21,1500,None,0.363,1.5,"[0.34652671300136717, 0.3414394560004439, 0.40336509099870455, 0.41900236299989047]",22,space,1,You did not lose $5.00!,-11.0,4,19,0.5,18.181818181818183,0.3775834057501015,[1],16.666666666666664,18,3,0.41900236299989047,0001,001,.5,1,2019_Aug_06_1216,MID,3.0.7,59.97024624198146,
LgReward,3500,0,0,0,0,0,22,22,22,3500,None,0.205,1.5,"[0.34652671300136717, 0.3414394560004439, 0.40336509099870455, 0.41900236299989047, 0.2801252490007755]",23,space,1,You won $5.00!,-6.0,1,20,0.5,21.73913043478261,0.3580917744002363,"[1, 1]",16.666666666666664,18,3,0.2801252490007755,0001,001,.5,1,2019_Aug_06_1216,MID,3.0.7,59.97024624198146,
SmallReward,4000,0,0,0,0,0,23,23,23,4000,None,0.19,1.5,"[0.34652671300136717, 0.3414394560004439, 0.40336509099870455, 0.41900236299989047, 0.2801252490007755]",24,None,0,You did not win $0.20!,-6.0,2,21,0.5,20.833333333333336,0.3580917744002363,[],49.99999999999999,21,3,,0001,001,.5,1,2019_Aug_06_1216,MID,3.0.7,59.97024624198146,
Triangle,2000,0,0,0,0,0,24,24,24,2000,None,0.326,1.5,"[0.34652671300136717, 0.3414394560004439, 0.40336509099870455, 0.41900236299989047, 0.2801252490007755]",25,None,0,You did not win or lose anything!,-6.0,3,21,0.5,20.0,0.3580917744002363,[],49.99999999999999,21,3,,0001,001,.5,1,2019_Aug_06_1216,MID,3.0.7,59.97024624198146,
LgPun,2000,0,0,0,0,0,25,25,25,2000,None,0.434,1.5,"[0.34652671300136717, 0.3414394560004439, 0.40336509099870455, 0.41900236299989047, 0.2801252490007755]",26,None,0,You lost $5.00!,-11.0,4,22,0.5,19.230769230769234,0.3580917744002363,[0],49.99999999999999,21,3,,0001,001,.5,1,2019_Aug_06_1216,MID,3.0.7,59.97024624198146,
SmallReward,2000,0,0,0,0,0,26,26,26,2000,None,0.466,1.5,"[0.34652671300136717, 0.3414394560004439, 0.40336509099870455, 0.41900236299989047, 0.2801252490007755, 0.4197403980015224]",27,space,1,You won $0.20!,-10.8,2,23,0.5,22.22222222222222,0.3683665450004507,"[0, 1]",49.99999999999999,21,3,0.4197403980015224,0001,001,.5,1,2019_Aug_06_1216,MID,3.0.7,59.97024624198146,
,3.0,,,,,,,,,3.0,None,0.319,1.5,"[0.34652671300136717, 0.3414394560004439, 0.40336509099870455, 0.41900236299989047, 0.2801252490007755, 0.4197403980015224]",28,None,0,You did not win or lose anything!,-10.8,,,,,,,,,,,,,,,,,,,
