TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,trial_order
2,1,0.2560034759953851,,0005,practice
1,0,[],,0005,practice
5,1,0.27092712400190067,,0005,practice
4,0,[],,0005,practice
3,0,[],,0005,practice
1,0,[],,0005,practice
5,1,0.2460032430026331,,0005,practice
2,0,[],,0005,practice
3,0,[],,0005,practice
1,1,0.24863844700303162,,0005,practice
4,0,[],,0005,practice
5,1,0.24330946400004905,,0005,practice
2,1,0.24771515199972782,,0005,practice
4,1,0.21758191000117222,,0005,practice
3,1,0.290710499000852,,0005,practice
