Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,preinstruc_text.started,preinstruc_text.stopped,instructFig.started,instructFig.stopped,PrepFixation.started,PrepFixation.stopped,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,rt_list,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedbackMsg.started,feedbackMsg.stopped,AdjRTmsg,probeResp.rt,polygon.started,polygon.stopped,text.started,text.stopped,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
LgPun,2500,0,0,0,0,11.704699483001605,None,14.739471047003462,None,43.13880759099993,None,TimeVersion6.csv,45.13913767100166,None,2500,47.144060129001446,None,None,47.144060129001446,None,1.6300000000000001,[],1,49.677157201003865,None,None,0,49.677157201003865,None,You lost $5.00!,-5,4,1,0.36999999999999994,0.0,nan,[0],0,0,3,50.01581989500119,None,,,,,,,0006,Scanner,1,2019_Aug_20_1449,MID,3.1.5,23.98257430025033,
LgReward,1500,0,1,1,1,,,,,,,,51.637699021004664,None,1500,53.64427682499809,None,None,53.64427682499809,None,1.6300000000000001,[],2,55.17683461300476,None,None,0,55.17683461300476,None,You did not win $5.00!,-5,1,2,0.36999999999999994,0.0,nan,"[0, 0]",0,0,3,55.51283888200123,None,,,,,,,0006,Scanner,1,2019_Aug_20_1449,MID,3.1.5,23.98257430025033,
LgPun,1500,0,2,2,2,,,,,,,,57.13801156300178,None,1500,59.14615305500047,None,None,59.14615305500047,None,1.6300000000000001,[],3,60.662021051997726,None,None,0,60.662021051997726,None,You lost $5.00!,-10,4,3,0.43999999999999995,0.0,nan,[],0.0,3,3,61.0130236890036,None,Adjusting RT...,,,,,,0006,Scanner,1,2019_Aug_20_1449,MID,3.1.5,23.98257430025033,
SmallReward,2000,0,3,3,3,,,,,,,,62.63765458299895,None,2000,64.64842886500264,None,None,64.64842886500264,None,1.56,[],4,66.67018601100426,None,None,0,66.67018601100426,None,You did not win $0.20!,-10,2,4,0.43999999999999995,0.0,nan,[0],0.0,3,3,67.0566854159988,None,,,,,,,0006,Scanner,1,2019_Aug_20_1449,MID,3.1.5,23.98257430025033,
Triangle,2000,0,4,4,4,,,,,,,,68.59737563999806,None,2000,70.61300414099969,None,None,70.61300414099969,None,1.56,[],5,72.61270223400061,None,None,0,72.61270223400061,None,You did not win or lose anything!,-10,3,4,0.43999999999999995,0.0,nan,[0],0.0,3,3,73.01361327400082,None,,,,,,,0006,Scanner,1,2019_Aug_20_1449,MID,3.1.5,23.98257430025033,
SmallReward,1500,0,5,5,5,,,,,,,,74.55720706000284,None,1500,76.56824649099872,None,None,76.56824649099872,None,1.56,[],6,78.08922838100261,None,None,0,78.08922838100261,None,You did not win $0.20!,-10,2,5,0.43999999999999995,0.0,nan,"[0, 0]",0.0,3,3,78.4720027250005,None,,,,,,,0006,Scanner,1,2019_Aug_20_1449,MID,3.1.5,23.98257430025033,
Triangle,1500,0,6,6,6,,,,,,,,80.01414065000426,None,1500,82.03151275600248,None,None,82.03151275600248,None,1.56,[],7,83.53034830999968,None,None,0,83.53034830999968,None,You did not win or lose anything!,-10,3,5,0.43999999999999995,0.0,nan,"[0, 0]",0.0,3,3,83.93115791599848,None,,,,,,,0006,Scanner,1,2019_Aug_20_1449,MID,3.1.5,23.98257430025033,
LgPun,1500,0,7,7,7,,,,,,,,85.47301297200465,None,1500,87.49859964300413,None,None,87.49859964300413,None,1.56,[],8,88.99833894200128,None,None,0,88.99833894200128,None,You lost $5.00!,-15,4,6,0.5,0.0,nan,[],0.0,6,3,89.38955245200486,None,Adjusting RT...,,,,,,0006,Scanner,1,2019_Aug_20_1449,MID,3.1.5,23.98257430025033,
LgReward,2000,0,8,8,8,,,,,,,,90.93173822799872,None,2000,92.95036159400479,None,None,92.95036159400479,None,1.5,[0.2984565310034668],9,94.96597084699897,None,1,1,94.96597084699897,None,You won $5.00!,-10,1,7,0.5,11.11111111111111,0.2984565310034668,[1],0.0,6,3,95.43146368100133,None,,0.2984565310034668,,,,,0006,Scanner,1,2019_Aug_20_1449,MID,3.1.5,23.98257430025033,
SmallPun,4000,0,9,9,9,,,,,,,,96.93207551500382,None,4000,98.95113941599993,None,None,98.95113941599993,None,1.5,"[0.2984565310034668, 0.33806888200342655]",10,102.95148669600167,None,1,1,102.95148669600167,None,You did not lose $0.20!,-10,5,8,0.5,20.0,0.3182627065034467,"[1, 1]",0.0,6,3,103.43204803400295,None,,0.33806888200342655,,,,,0006,Scanner,1,2019_Aug_20_1449,MID,3.1.5,23.98257430025033,
