Condition,FixationDur,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,preinstruc_text.started,preinstruc_text.stopped,instructFig.started,instructFig.stopped,PrepFixation.started,PrepFixation.stopped,TrialOrder,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.started,fixationResp.stopped,feedbackDur,rt_list,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedbackMsg.started,feedbackMsg.stopped,AdjRTmsg,polygon.started,polygon.stopped,text.started,text.stopped,participant,prac_or_scan,run,date,expName,psychopyVersion,frameRate,
SmallReward,4000,0,14,14,14,,,,,,,,113.709892374005,None,4000,115.72606477900263,None,None,115.72606477900263,None,1.5,[],15,119.74355382800422,None,None,0,119.74355382800422,None,You did not win $0.20!,-10.399999999999999,2,10,0.5,0.0,nan,[0],0.0,9,3,120.1936158430035,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
LgReward,1500,0,15,15,15,,,,,,,,121.72593865400268,None,1500,123.72745073600527,None,None,123.72745073600527,None,1.5,[],16,125.2474495320057,None,None,0,125.2474495320057,None,You did not win $5.00!,-10.399999999999999,1,11,0.5,0.0,nan,"[0, 0]",0.0,9,3,125.71110434900038,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
LgReward,3000,0,16,16,16,,,,,,,,127.21136395600479,None,3000,129.22804012300185,None,None,129.22804012300185,None,1.5,[],17,132.24538865900104,None,None,0,132.24538865900104,None,You did not win $5.00!,-10.399999999999999,1,12,0.5,0.0,nan,[],0.0,12,3,132.69441932300106,None,Adjusting RT...,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
SmallReward,1500,0,17,17,17,,,,,,,,134.21278814400284,None,1500,136.2285194980068,None,None,136.2285194980068,None,1.5,[],18,137.74595253400184,None,None,0,137.74595253400184,None,You did not win $0.20!,-10.399999999999999,2,13,0.5,0.0,nan,[0],0.0,12,3,138.21238089800318,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
LgPun,1500,0,18,18,18,,,,,,,,139.7006300810026,None,1500,141.72956698800408,None,None,141.72956698800408,None,1.5,[],19,143.2301420990043,None,None,0,143.2301420990043,None,You lost $5.00!,-15.399999999999999,4,14,0.5,0.0,nan,"[0, 0]",0.0,12,3,143.7132188720061,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
SmallReward,2000,0,19,19,19,,,,,,,,145.21466083600535,None,2000,147.23033416100225,None,None,147.23033416100225,None,1.5,[],20,149.24747145100264,None,None,0,149.24747145100264,None,You did not win $0.20!,-15.399999999999999,2,15,0.5,0.0,nan,[],0.0,15,3,149.71388108800602,None,Adjusting RT...,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
SmallPun,3000,0,20,20,20,,,,,,,,151.2001560100034,None,3000,153.2310786320013,None,None,153.2310786320013,None,1.5,[],21,156.23260760300036,None,None,0,156.23260760300036,None,You lost $0.20!,-15.599999999999998,5,16,0.5,0.0,nan,[0],0.0,15,3,156.7148309470067,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
LgReward,3500,0,21,21,21,,,,,,,,158.21550139500323,None,3500,160.23240305100626,None,None,160.23240305100626,None,1.5,[],22,163.75050114300393,None,None,0,163.75050114300393,None,You did not win $5.00!,-15.599999999999998,1,17,0.5,0.0,nan,"[0, 0]",0.0,15,3,164.21583962200384,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
LgPun,4000,0,22,22,22,,,,,,,,165.70431092200306,None,4000,167.73258923200046,None,None,167.73258923200046,None,1.5,[],23,171.73327274400071,None,None,0,171.73327274400071,None,You lost $5.00!,-20.599999999999998,4,18,0.5,0.0,nan,[],0.0,18,3,172.2166365890007,None,Adjusting RT...,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
Triangle,2000,0,23,23,23,,,,,,,,173.70552744900488,None,2000,175.73415507400205,None,None,175.73415507400205,None,1.5,[],24,177.735359530001,None,None,0,177.735359530001,None,You did not win or lose anything!,-20.599999999999998,3,18,0.5,0.0,nan,[],0.0,18,3,178.21766787800152,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
LgReward,4000,0,24,24,24,,,,,,,,179.72019670100417,None,4000,181.73386592600582,None,None,181.73386592600582,None,1.5,[],25,185.75227090400585,None,None,0,185.75227090400585,None,You did not win $5.00!,-20.599999999999998,1,19,0.5,0.0,nan,[0],0.0,18,3,186.2188483400023,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
LgPun,3000,0,25,25,25,,,,,,,,187.70740402100637,None,3000,189.73606136200397,None,None,189.73606136200397,None,1.5,[],26,192.7364401550003,None,None,0,192.7364401550003,None,You lost $5.00!,-25.599999999999998,4,20,0.5,0.0,nan,"[0, 0]",0.0,18,3,193.21952103000513,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
Triangle,1500,0,26,26,26,,,,,,,,194.70867899400037,None,1500,196.73702116700588,None,None,196.73702116700588,None,1.5,[],27,198.23791473400343,None,None,0,198.23791473400343,None,You did not win or lose anything!,-25.599999999999998,3,20,0.5,0.0,nan,"[0, 0]",0.0,18,3,198.72058323400415,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
LgPun,1500,0,27,27,27,,,,,,,,200.20910100300534,None,1500,202.23714651600312,None,None,202.23714651600312,None,1.5,[],28,203.7384952930006,None,None,0,203.7384952930006,None,You lost $5.00!,-30.599999999999998,4,21,0.5,0.0,nan,[],0.0,21,3,204.22092963100295,None,Adjusting RT...,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
SmallReward,2000,0,28,28,28,,,,,,,,205.7210854740042,None,2000,207.73841701300262,None,None,207.73841701300262,None,1.5,[],29,209.75540537700726,None,None,0,209.75540537700726,None,You did not win $0.20!,-30.599999999999998,2,22,0.5,0.0,nan,[0],0.0,21,3,210.2215463350003,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
LgPun,1500,0,29,29,29,,,,,,,,211.71043794400612,None,1500,213.7395058730035,None,None,213.7395058730035,None,1.5,[],30,215.24002390100213,None,None,0,215.24002390100213,None,You lost $5.00!,-35.599999999999994,4,23,0.5,0.0,nan,"[0, 0]",0.0,21,3,215.7223214580008,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
SmallReward,1500,0,30,30,30,,,,,,,,217.22793189700315,None,1500,219.2399538630052,None,None,219.2399538630052,None,1.5,[],31,220.7592098410023,None,None,0,220.7592098410023,None,You did not win $0.20!,-35.599999999999994,2,24,0.5,0.0,nan,[],0.0,24,3,221.22297489900666,None,Adjusting RT...,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
SmallPun,3500,0,31,31,31,,,,,,,,222.70956567000394,None,3500,224.74031678400206,None,None,224.74031678400206,None,1.5,[],32,228.2410733400029,None,None,0,228.2410733400029,None,You lost $0.20!,-35.8,5,25,0.5,0.0,nan,[0],0.0,24,3,228.7239970600058,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
Triangle,4000,0,32,32,32,,,,,,,,230.21261733200663,None,4000,232.24199224500626,None,None,232.24199224500626,None,1.5,[],33,236.24237689700385,None,None,0,236.24237689700385,None,You did not win or lose anything!,-35.8,3,25,0.5,0.0,nan,[0],0.0,24,3,236.7246088890024,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
SmallPun,2000,0,33,33,33,,,,,,,,238.2136675840011,None,2000,240.24300900500384,None,None,240.24300900500384,None,1.5,[],34,242.24299905000225,None,None,0,242.24299905000225,None,You lost $0.20!,-36.0,5,26,0.5,0.0,nan,"[0, 0]",0.0,24,3,242.72592001500016,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
LgReward,1500,0,34,34,34,,,,,,,,244.2268942100054,None,1500,246.24352432300657,None,None,246.24352432300657,None,1.5,[],35,247.7598397000038,None,None,0,247.7598397000038,None,You did not win $5.00!,-36.0,1,27,0.5,0.0,nan,[],0.0,27,3,248.22680619900348,None,Adjusting RT...,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
SmallPun,1500,0,35,35,35,,,,,,,,249.7153675100053,None,1500,251.7437558380043,None,None,251.7437558380043,None,1.5,[],36,253.2444408260053,None,None,0,253.2444408260053,None,You lost $0.20!,-36.2,5,28,0.5,0.0,nan,[0],0.0,27,3,253.72711907800112,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
LgReward,2000,0,36,36,36,,,,,,,,255.2300111040022,None,2000,257.24458561800566,None,None,257.24458561800566,None,1.5,[],37,259.26141355300206,None,None,0,259.26141355300206,None,You did not win $5.00!,-36.2,1,29,0.5,0.0,nan,"[0, 0]",0.0,27,3,259.72752206200676,None,,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
LgReward,1500,0,37,37,37,,,,,,,,261.2297540530053,None,1500,263.2456280770057,None,None,263.2456280770057,None,1.5,[],38,264.7626068180034,None,None,0,264.7626068180034,None,You did not win $5.00!,-36.2,1,30,0.5,0.0,nan,[],0.0,30,3,265.2123958690063,None,Adjusting RT...,,,,,0005,Scanner,1,2019_Aug_20_1227,MID,3.1.5,60.11706692493159,
