trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,cue,probe,feedbackText,condition,corrResp,jitter,jitterTarget,ready.keys,ready.rt,feedbackDur,resp.keys,resp.corr,resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,1.651,0.495,space,2.4999604990007356,,,,,,001,2019_Apr_10_1137,MID,3.0.7,60.032926619703304,
,,,,,,,,,2.836,0.361,,,1.639,space,0,2.7637551620136946,,,,,,,
