Condition,FixationDur,textPrompt,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructFig.started,instructFig.stopped,PrepFixation.started,PrepFixation.stopped,TrialOrder,text.started,text.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,cueImage.started,cueImage.stopped,FixationDur,fixation.started,fixation.stopped,fixationResp.keys,fixationResp.rt,fixationResp.started,fixationResp.stopped,feedbackDur,rt_list,Trial counter,Target.started,Target.stopped,probeResp.keys,probeResp.corr,probeResp.started,probeResp.stopped,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc_total,meanrt,UserAcc,Acc,AdjTrial,AdjTrialInc,feedbackMsg.started,feedbackMsg.stopped,probeResp.rt,AdjRTmsg,polygon.started,polygon.stopped,participant,prac_or_scan,practiceRT,date,expName,psychopyVersion,frameRate,
LgReward,2000,,1,0,1,0,0,5,5,5,,,,,,,,,,,233.743289603,None,2000,235.75974382200002,None,None,,235.75974382200002,None,1.59,"[0.24470825399976093, 0.2548118340000656, 0.2852350899997873, 0.25170401299965306, 0.2939837650001209, 0.28998609800009945]",11,237.77670102000002,None,1,1,237.77670102000002,None,You won $5.00!,14.8,1,9,0.38,54.54545454545454,0.27007150899991456,[],83.33333333333333,9,3,238.1433270990001,None,0.28998609800009945,Adjusting RT...,,,0001,Practice,0.35,2019_Aug_15_1302,MID,3.1.5,59.98111698476315,
SmallPun,2000,,1,0,1,0,0,6,6,6,,,,,,,,,,,239.73174694800036,None,2000,241.76057031100027,None,None,,241.76057031100027,None,1.62,"[0.24470825399976093, 0.2548118340000656, 0.2852350899997873, 0.25170401299965306, 0.2939837650001209, 0.28998609800009945, 0.25022487700016427]",12,243.7603443410003,None,1,1,243.7603443410003,None,You did not lose $0.20!,14.8,5,10,0.38,58.333333333333336,0.2672362758570931,[1],83.33333333333333,9,3,244.1273030110001,None,0.25022487700016427,,,,0001,Practice,0.35,2019_Aug_15_1302,MID,3.1.5,59.98111698476315,
SmallReward,2000,,1,0,1,0,0,7,7,7,,,,,,,,,,,245.74475867800038,None,2000,247.76078633900033,None,None,,247.76078633900033,None,1.62,"[0.24470825399976093, 0.2548118340000656, 0.2852350899997873, 0.25170401299965306, 0.2939837650001209, 0.28998609800009945, 0.25022487700016427, 0.2533986870002991]",13,249.76092874000005,None,1,1,249.76092874000005,None,You won $0.20!,15.0,2,11,0.38,61.53846153846154,0.2655065772499938,"[1, 1]",83.33333333333333,9,3,250.12742565100007,None,0.2533986870002991,,,,0001,Practice,0.35,2019_Aug_15_1302,MID,3.1.5,59.98111698476315,
Triangle,2000,,1,0,1,0,0,8,8,8,,,,,,,,,,,251.73335367300024,None,2000,253.7614635150003,None,None,,253.7614635150003,None,1.62,"[0.24470825399976093, 0.2548118340000656, 0.2852350899997873, 0.25170401299965306, 0.2939837650001209, 0.28998609800009945, 0.25022487700016427, 0.2533986870002991]",14,255.76145415200017,None,None,0,255.76145415200017,None,You did not win or lose anything!,15.0,3,11,0.38,57.14285714285714,0.2655065772499938,"[1, 1]",83.33333333333333,9,3,256.12880991500015,None,,,,,0001,Practice,0.35,2019_Aug_15_1302,MID,3.1.5,59.98111698476315,
LgReward,2000,,1,0,1,0,0,9,9,9,,,,,,,,,,,257.7461017280002,None,2000,259.7630258170002,None,None,,259.7630258170002,None,1.62,"[0.24470825399976093, 0.2548118340000656, 0.2852350899997873, 0.25170401299965306, 0.2939837650001209, 0.28998609800009945, 0.25022487700016427, 0.2533986870002991, 0.26798041199981526]",15,261.77962902200034,None,1,1,261.77962902200034,None,You won $5.00!,20.0,1,12,0.33,60.0,0.26578144777775176,[],100.0,12,3,262.129668732,None,0.26798041199981526,Adjusting RT...,,,0001,Practice,0.35,2019_Aug_15_1302,MID,3.1.5,59.98111698476315,
LgPun,2000,,1,0,1,0,0,10,10,10,,,,,,,,,,,263.7345269460002,None,2000,265.763143226,None,None,,265.763143226,None,1.67,"[0.24470825399976093, 0.2548118340000656, 0.2852350899997873, 0.25170401299965306, 0.2939837650001209, 0.28998609800009945, 0.25022487700016427, 0.2533986870002991, 0.26798041199981526]",16,267.7640854610004,None,None,0,267.7640854610004,None,You lost $5.00!,15.0,4,13,0.33,56.25,0.26578144777775176,[0],100.0,12,3,268.0798205150004,None,,,,,0001,Practice,0.35,2019_Aug_15_1302,MID,3.1.5,59.98111698476315,
SmallPun,2000,,1,0,1,0,0,11,11,11,,,,,,,,,,,269.7360258100002,None,2000,271.7639802820004,None,None,,271.7639802820004,None,1.67,"[0.24470825399976093, 0.2548118340000656, 0.2852350899997873, 0.25170401299965306, 0.2939837650001209, 0.28998609800009945, 0.25022487700016427, 0.2533986870002991, 0.26798041199981526]",17,273.7650607970004,None,None,0,273.7650607970004,None,You lost $0.20!,14.8,5,14,0.33,52.94117647058824,0.26578144777775176,"[0, 0]",100.0,12,3,274.0814124340004,None,,,,,0001,Practice,0.35,2019_Aug_15_1302,MID,3.1.5,59.98111698476315,
SmallReward,2000,,1,0,1,0,0,12,12,12,,,,,,,,,,,275.7507685740002,None,2000,277.7651899430002,None,None,,277.7651899430002,None,1.67,"[0.24470825399976093, 0.2548118340000656, 0.2852350899997873, 0.25170401299965306, 0.2939837650001209, 0.28998609800009945, 0.25022487700016427, 0.2533986870002991, 0.26798041199981526, 0.2619732510001995]",18,279.7651514930003,None,1,1,279.7651514930003,None,You won $0.20!,15.0,2,15,0.31,55.55555555555556,0.26540062809999654,[],66.66666666666666,15,3,280.0818084040002,None,0.2619732510001995,Adjusting RT...,,,0001,Practice,0.35,2019_Aug_15_1302,MID,3.1.5,59.98111698476315,
LgPun,2000,,1,0,1,0,0,13,13,13,,,,,,,,,,,281.7375994420004,None,2000,283.7655613630004,None,None,,283.7655613630004,None,1.69,"[0.24470825399976093, 0.2548118340000656, 0.2852350899997873, 0.25170401299965306, 0.2939837650001209, 0.28998609800009945, 0.25022487700016427, 0.2533986870002991, 0.26798041199981526, 0.2619732510001995, 0.2198265890001494]",19,285.7661985210002,None,1,1,285.7661985210002,None,You did not lose $5.00!,15.0,4,16,0.31,57.89473684210527,0.26125753363637405,[1],66.66666666666666,15,3,286.04960823400006,None,0.2198265890001494,,,,0001,Practice,0.35,2019_Aug_15_1302,MID,3.1.5,59.98111698476315,
Triangle,2000,,1,0,1,0,0,14,14,14,,,,,,,,,,,287.73814784000024,None,2000,289.76687074300025,None,None,,289.76687074300025,None,1.69,"[0.24470825399976093, 0.2548118340000656, 0.2852350899997873, 0.25170401299965306, 0.2939837650001209, 0.28998609800009945, 0.25022487700016427, 0.2533986870002991, 0.26798041199981526, 0.2619732510001995, 0.2198265890001494]",20,291.76696694300017,None,None,0,291.76696694300017,None,You did not win or lose anything!,15.0,3,16,0.31,55.00000000000001,0.26125753363637405,[1],66.66666666666666,15,3,292.04992166700004,None,,,,,0001,Practice,0.35,2019_Aug_15_1302,MID,3.1.5,59.98111698476315,
,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0001,Practice,0.35,2019_Aug_15_1302,MID,3.1.5,59.98111698476315,
,,,,,,,,,,,,,,,,298.7179920630001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.71696570500035,None,,,,,,,,
