TrialType,probeResp.keys,probeResp.corr,probeResp.rt,participant,trial_order
2,0,[],,0006,practice
1,1,0.2552101660039625,,0006,practice
5,1,0.23896878200321225,,0006,practice
4,1,0.245585327000299,,0006,practice
3,0,[],,0006,practice
1,1,0.24387607599783223,,0006,practice
5,0,[],,0006,practice
2,0,[],,0006,practice
3,0,[],,0006,practice
1,0,[],,0006,practice
4,0,[],,0006,practice
5,1,0.23304383199865697,,0006,practice
2,1,0.23267023199878167,,0006,practice
4,1,0.21653117299865698,,0006,practice
3,1,0.2383079409992206,,0006,practice
