cue,probe,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,jitter,fixationResp.keys,fixationResp.rt,jitterTarget,feedbackDur,rt_list,Trial counter,probeResp.keys,probeResp.corr,msg,TrackEarnings,TrialType,NonNeutralTrialsNum,probeDur,percentacc,meanrt,UserAcc,AdjTrial,AdjTrialInc,probeResp.rt,participant,session,PracticeRT,date,expName,psychopyVersion,frameRate,
images/LoseBig.BMP,images/LoseProbe.BMP,LoseBig,2,3,13,0,2.73,None,,0.334,1.52,"[0.30029363703215495, 0.2872531120083295, 0.26592280698241666, 0.2564606699743308, 0.3351792070316151, 0.46990579599514604, 0.23664667102275416]",14,None,0,You lost $5.00!,-5.0,4,12,0.5,50.0,0.3073802714352496,[],12,3,,,001,.5,2019_Apr_22_1110,MID,3.0.7,59.96490457079962,
images/Neutral.BMP,images/NeutralProbe.BMP,Neutral,2,4,14,2,1.683,None,,0.413,1.5,"[0.30029363703215495, 0.2872531120083295, 0.26592280698241666, 0.2564606699743308, 0.3351792070316151, 0.46990579599514604, 0.23664667102275416]",15,None,0,You did not win or lose anything!,-5.0,3,12,0.5,46.666666666666664,0.3073802714352496,[],12,3,,,001,.5,2019_Apr_22_1110,MID,3.0.7,59.96490457079962,
images/WinSmall.BMP,images/WinProbe.BMP,WinSmall,3,0,15,4,3.095,None,,0.441,1.5,"[0.30029363703215495, 0.2872531120083295, 0.26592280698241666, 0.2564606699743308, 0.3351792070316151, 0.46990579599514604, 0.23664667102275416]",16,None,0,You did not win $0.20!,-5.0,2,13,0.5,43.75,0.3073802714352496,[0],12,3,,,001,.5,2019_Apr_22_1110,MID,3.0.7,59.96490457079962,
images/WinBig.BMP,images/WinProbe.BMP,WinBig,3,1,16,3,2.312,None,,0.302,1.5,"[0.30029363703215495, 0.2872531120083295, 0.26592280698241666, 0.2564606699743308, 0.3351792070316151, 0.46990579599514604, 0.23664667102275416, 0.2847724079620093]",17,space,1,You won $5.00!,0.0,1,14,0.5,47.05882352941176,0.30455428850109456,"[0, 1]",12,3,0.2847724079620093,,001,.5,2019_Apr_22_1110,MID,3.0.7,59.96490457079962,
images/LoseBig.BMP,images/LoseProbe.BMP,LoseBig,3,2,17,0,3.679,None,,0.219,1.5,"[0.30029363703215495, 0.2872531120083295, 0.26592280698241666, 0.2564606699743308, 0.3351792070316151, 0.46990579599514604, 0.23664667102275416, 0.2847724079620093, 0.2701565779861994]",18,space,1,You did not lose $5.00!,0.0,4,15,0.5,50.0,0.3007323206661062,[],15,3,0.2701565779861994,,001,.5,2019_Apr_22_1110,MID,3.0.7,59.96490457079962,
images/Neutral.BMP,images/NeutralProbe.BMP,Neutral,3,3,18,2,3.962,None,,0.262,1.5,"[0.30029363703215495, 0.2872531120083295, 0.26592280698241666, 0.2564606699743308, 0.3351792070316151, 0.46990579599514604, 0.23664667102275416, 0.2847724079620093, 0.2701565779861994, 0.23624849400948733]",19,space,1,You did not win or lose anything!,0.0,3,15,0.5,52.63157894736842,0.29428393800044433,[],15,3,0.23624849400948733,,001,.5,2019_Apr_22_1110,MID,3.0.7,59.96490457079962,
images/LoseSmall.BMP,images/LoseProbe.BMP,LoseSmall,3,4,19,1,2.237,None,,0.265,1.5,"[0.30029363703215495, 0.2872531120083295, 0.26592280698241666, 0.2564606699743308, 0.3351792070316151, 0.46990579599514604, 0.23664667102275416, 0.2847724079620093, 0.2701565779861994, 0.23624849400948733, 0.3526220030034892]",20,space,1,You did not lose $0.20!,0.0,5,16,0.5,55.00000000000001,0.2995873984552666,[1],15,3,0.3526220030034892,,001,.5,2019_Apr_22_1110,MID,3.0.7,59.96490457079962,
images/WinBig.BMP,images/WinProbe.BMP,WinBig,4,0,20,3,1.737,None,,0.395,1.5,"[0.30029363703215495, 0.2872531120083295, 0.26592280698241666, 0.2564606699743308, 0.3351792070316151, 0.46990579599514604, 0.23664667102275416, 0.2847724079620093, 0.2701565779861994, 0.23624849400948733, 0.3526220030034892, 0.26886738900793716]",21,space,1,You won $5.00!,5.0,1,17,0.5,57.14285714285714,0.29702739766798913,"[1, 1]",15,3,0.26886738900793716,,001,.5,2019_Apr_22_1110,MID,3.0.7,59.96490457079962,
images/Neutral.BMP,images/NeutralProbe.BMP,Neutral,4,1,21,2,3.962,None,,0.271,1.5,"[0.30029363703215495, 0.2872531120083295, 0.26592280698241666, 0.2564606699743308, 0.3351792070316151, 0.46990579599514604, 0.23664667102275416, 0.2847724079620093, 0.2701565779861994, 0.23624849400948733, 0.3526220030034892, 0.26886738900793716]",22,None,0,You did not win or lose anything!,5.0,3,17,0.5,54.54545454545454,0.29702739766798913,"[1, 1]",15,3,,,001,.5,2019_Apr_22_1110,MID,3.0.7,59.96490457079962,
images/LoseSmall.BMP,images/LoseProbe.BMP,LoseSmall,4,2,22,1,1.813,None,,0.204,1.5,"[0.30029363703215495, 0.2872531120083295, 0.26592280698241666, 0.2564606699743308, 0.3351792070316151, 0.46990579599514604, 0.23664667102275416, 0.2847724079620093, 0.2701565779861994, 0.23624849400948733, 0.3526220030034892, 0.26886738900793716, 0.2839682140038349]",23,space,1,You did not lose $0.20!,5.0,5,18,0.47,56.52173913043478,0.2960228450784388,[],18,3,0.2839682140038349,,001,.5,2019_Apr_22_1110,MID,3.0.7,59.96490457079962,
images/WinSmall.BMP,images/WinProbe.BMP,WinSmall,4,3,23,4,2.399,None,,0.482,1.53,"[0.30029363703215495, 0.2872531120083295, 0.26592280698241666, 0.2564606699743308, 0.3351792070316151, 0.46990579599514604, 0.23664667102275416, 0.2847724079620093, 0.2701565779861994, 0.23624849400948733, 0.3526220030034892, 0.26886738900793716, 0.2839682140038349, 0.32036081701517105]",24,space,1,You won $0.20!,5.2,2,19,0.47,58.333333333333336,0.29776127164534827,[1],18,3,0.32036081701517105,,001,.5,2019_Apr_22_1110,MID,3.0.7,59.96490457079962,
images/LoseBig.BMP,images/LoseProbe.BMP,LoseBig,4,4,24,0,2.998,None,,0.228,1.53,"[0.30029363703215495, 0.2872531120083295, 0.26592280698241666, 0.2564606699743308, 0.3351792070316151, 0.46990579599514604, 0.23664667102275416, 0.2847724079620093, 0.2701565779861994, 0.23624849400948733, 0.3526220030034892, 0.26886738900793716, 0.2839682140038349, 0.32036081701517105, 0.33680940099293366]",25,space,1,You did not lose $5.00!,5.2,4,20,0.47,60.0,0.30036448026852064,"[1, 1]",18,3,0.33680940099293366,,001,.5,2019_Apr_22_1110,MID,3.0.7,59.96490457079962,
images/WinSmall.BMP,images/WinProbe.BMP,WinSmall,5,0,25,4,2.511,None,,0.184,1.53,"[0.30029363703215495, 0.2872531120083295, 0.26592280698241666, 0.2564606699743308, 0.3351792070316151, 0.46990579599514604, 0.23664667102275416, 0.2847724079620093, 0.2701565779861994, 0.23624849400948733, 0.3526220030034892, 0.26886738900793716, 0.2839682140038349, 0.32036081701517105, 0.33680940099293366, 0.2547055769828148]",26,space,1,You won $0.20!,5.4,2,21,0.42,61.53846153846154,0.297510798813164,[],21,3,0.2547055769828148,,001,.5,2019_Apr_22_1110,MID,3.0.7,59.96490457079962,
images/LoseSmall.BMP,images/LoseProbe.BMP,LoseSmall,5,1,26,1,3.109,None,,0.167,1.58,"[0.30029363703215495, 0.2872531120083295, 0.26592280698241666, 0.2564606699743308, 0.3351792070316151, 0.46990579599514604, 0.23664667102275416, 0.2847724079620093, 0.2701565779861994, 0.23624849400948733, 0.3526220030034892, 0.26886738900793716, 0.2839682140038349, 0.32036081701517105, 0.33680940099293366, 0.2547055769828148, 0.2671628780080937]",27,space,1,You did not lose $0.20!,5.4,5,22,0.42,62.96296296296296,0.29572562700110105,[1],21,3,0.2671628780080937,,001,.5,2019_Apr_22_1110,MID,3.0.7,59.96490457079962,
